timestamp,ef_kg_per_kwh
2025-01-01 00:00:00,0.505249
2025-01-01 00:05:00,0.508853
2025-01-01 00:10:00,0.504575
2025-01-01 00:15:00,0.501592
2025-01-01 00:20:00,0.502242
2025-01-01 00:25:00,0.499075
2025-01-01 00:30:00,0.505202
2025-01-01 00:35:00,0.499846
2025-01-01 00:40:00,0.502654
2025-01-01 00:45:00,0.50704
2025-01-01 00:50:00,0.506262
2025-01-01 00:55:00,0.500683
2025-01-01 01:00:00,0.516425
2025-01-01 01:05:00,0.508038
2025-01-01 01:10:00,0.508403
2025-01-01 01:15:00,0.505477
2025-01-01 01:20:00,0.517416
2025-01-01 01:25:00,0.508408
2025-01-01 01:30:00,0.507372
2025-01-01 01:35:00,0.50466
2025-01-01 01:40:00,0.508281
2025-01-01 01:45:00,0.505438
2025-01-01 01:50:00,0.516733
2025-01-01 01:55:00,0.506387
2025-01-01 02:00:00,0.517752
2025-01-01 02:05:00,0.516275
2025-01-01 02:10:00,0.519582
2025-01-01 02:15:00,0.510751
2025-01-01 02:20:00,0.509581
2025-01-01 02:25:00,0.509229
2025-01-01 02:30:00,0.509246
2025-01-01 02:35:00,0.511158
2025-01-01 02:40:00,0.513682
2025-01-01 02:45:00,0.519312
2025-01-01 02:50:00,0.510298
2025-01-01 02:55:00,0.517383
2025-01-01 03:00:00,0.513233
2025-01-01 03:05:00,0.510488
2025-01-01 03:10:00,0.517928
2025-01-01 03:15:00,0.517514
2025-01-01 03:20:00,0.514689
2025-01-01 03:25:00,0.526456
2025-01-01 03:30:00,0.525981
2025-01-01 03:35:00,0.521433
2025-01-01 03:40:00,0.513503
2025-01-01 03:45:00,0.517179
2025-01-01 03:50:00,0.515773
2025-01-01 03:55:00,0.515069
2025-01-01 04:00:00,0.526308
2025-01-01 04:05:00,0.517115
2025-01-01 04:10:00,0.528321
2025-01-01 04:15:00,0.522018
2025-01-01 04:20:00,0.523127
2025-01-01 04:25:00,0.521907
2025-01-01 04:30:00,0.519353
2025-01-01 04:35:00,0.524073
2025-01-01 04:40:00,0.523385
2025-01-01 04:45:00,0.529272
2025-01-01 04:50:00,0.538721
2025-01-01 04:55:00,0.524962
2025-01-01 05:00:00,0.528851
2025-01-01 05:05:00,0.522608
2025-01-01 05:10:00,0.518887
2025-01-01 05:15:00,0.527988
2025-01-01 05:20:00,0.530788
2025-01-01 05:25:00,0.518583
2025-01-01 05:30:00,0.534279
2025-01-01 05:35:00,0.531248
2025-01-01 05:40:00,0.529293
2025-01-01 05:45:00,0.522204
2025-01-01 05:50:00,0.529704
2025-01-01 05:55:00,0.531938
2025-01-01 06:00:00,0.523842
2025-01-01 06:05:00,0.532778
2025-01-01 06:10:00,0.5276
2025-01-01 06:15:00,0.533529
2025-01-01 06:20:00,0.527381
2025-01-01 06:25:00,0.524957
2025-01-01 06:30:00,0.530187
2025-01-01 06:35:00,0.525684
2025-01-01 06:40:00,0.5361
2025-01-01 06:45:00,0.528421
2025-01-01 06:50:00,0.528579
2025-01-01 06:55:00,0.548277
2025-01-01 07:00:00,0.54035
2025-01-01 07:05:00,0.532927
2025-01-01 07:10:00,0.53273
2025-01-01 07:15:00,0.540126
2025-01-01 07:20:00,0.531202
2025-01-01 07:25:00,0.535591
2025-01-01 07:30:00,0.537841
2025-01-01 07:35:00,0.536046
