timestamp,vehicle_id,job_id,due_time,priority,yard_block,berth_id
2025-01-01 00:00:00,AGV_022,JOB_AGV_022_01010000,2025-01-01 01:31:00,0,B4,BR1
2025-01-01 00:00:00,AGV_024,JOB_AGV_024_01010000,2025-01-01 00:59:00,0,B7,BR4
2025-01-01 00:00:00,AGV_075,JOB_AGV_075_01010000,2025-01-01 00:10:00,2,B5,BR4
2025-01-01 00:00:00,AGV_086,JOB_AGV_086_01010000,2025-01-01 00:01:00,0,B4,BR3
2025-01-01 00:00:00,AGV_101,JOB_AGV_101_01010000,2025-01-01 00:02:00,1,B2,BR1
2025-01-01 00:00:00,AGV_117,JOB_AGV_117_01010000,2025-01-01 00:07:00,0,B3,BR1
2025-01-01 00:05:00,AGV_032,JOB_AGV_032_01010005,2025-01-01 00:45:00,2,B5,BR3
2025-01-01 00:05:00,AGV_062,JOB_AGV_062_01010005,2025-01-01 00:38:00,0,B6,BR1
2025-01-01 00:05:00,AGV_068,JOB_AGV_068_01010005,2025-01-01 00:13:00,2,B3,BR4
2025-01-01 00:05:00,AGV_078,JOB_AGV_078_01010005,2025-01-01 00:52:00,0,B4,BR2
2025-01-01 00:05:00,AGV_079,JOB_AGV_079_01010005,2025-01-01 00:56:00,2,B4,BR2
2025-01-01 00:05:00,AGV_102,JOB_AGV_102_01010005,2025-01-01 00:27:00,0,B4,BR2
2025-01-01 00:05:00,AGV_117,JOB_AGV_117_01010005,2025-01-01 01:03:00,0,B5,BR3
2025-01-01 00:10:00,AGV_002,JOB_AGV_002_01010010,2025-01-01 00:14:00,1,B3,BR3
2025-01-01 00:10:00,AGV_030,JOB_AGV_030_01010010,2025-01-01 00:38:00,2,B4,BR4
2025-01-01 00:10:00,AGV_059,JOB_AGV_059_01010010,2025-01-01 00:38:00,0,B8,BR3
2025-01-01 00:10:00,AGV_102,JOB_AGV_102_01010010,2025-01-01 01:43:00,2,B5,BR3
2025-01-01 00:15:00,AGV_063,JOB_AGV_063_01010015,2025-01-01 00:23:00,1,B8,BR1
2025-01-01 00:15:00,AGV_094,JOB_AGV_094_01010015,2025-01-01 00:17:00,1,B8,BR1
2025-01-01 00:15:00,AGV_121,JOB_AGV_121_01010015,2025-01-01 01:08:00,2,B6,BR3
2025-01-01 00:20:00,AGV_006,JOB_AGV_006_01010020,2025-01-01 00:20:00,0,B1,BR2
2025-01-01 00:20:00,AGV_026,JOB_AGV_026_01010020,2025-01-01 00:49:00,0,B1,BR1
2025-01-01 00:20:00,AGV_031,JOB_AGV_031_01010020,2025-01-01 00:22:00,0,B8,BR4
2025-01-01 00:25:00,AGV_082,JOB_AGV_082_01010025,2025-01-01 00:46:00,1,B5,BR4
2025-01-01 00:25:00,AGV_088,JOB_AGV_088_01010025,2025-01-01 00:54:00,1,B5,BR3
2025-01-01 00:25:00,AGV_130,JOB_AGV_130_01010025,2025-01-01 00:53:00,1,B8,BR3
2025-01-01 00:30:00,AGV_055,JOB_AGV_055_01010030,2025-01-01 01:07:00,2,B3,BR2
2025-01-01 00:35:00,AGV_090,JOB_AGV_090_01010035,2025-01-01 00:46:00,0,B5,BR1
2025-01-01 00:40:00,AGV_044,JOB_AGV_044_01010040,2025-01-01 01:30:00,1,B1,BR3
