timestamp,vehicle_id,soc,available,priority,eta_min,temp
2025-01-01 00:00:00,AGV_001,0.742546,1,0,115.75,25.0
2025-01-01 00:00:00,AGV_002,0.808425,0,2,47.21,25.0
2025-01-01 00:00:00,AGV_003,0.721463,0,1,12.74,25.0
2025-01-01 00:00:00,AGV_004,0.527502,1,0,15.92,25.0
2025-01-01 00:00:00,AGV_005,0.738599,1,1,6.52,25.0
2025-01-01 00:00:00,AGV_006,0.561292,1,1,9.17,25.0
2025-01-01 00:00:00,AGV_007,0.678508,1,0,26.98,25.0
2025-01-01 00:00:00,AGV_008,0.671506,0,1,9.76,25.0
2025-01-01 00:00:00,AGV_009,0.584577,0,0,30.85,25.0
2025-01-01 00:00:00,AGV_010,0.604436,1,1,48.37,25.0
2025-01-01 00:00:00,AGV_011,0.771865,1,0,33.44,25.0
2025-01-01 00:00:00,AGV_012,0.648277,0,1,0.81,25.0
2025-01-01 00:00:00,AGV_013,0.443454,0,1,25.12,25.0
2025-01-01 00:00:00,AGV_014,0.540971,0,2,4.52,25.0
2025-01-01 00:00:00,AGV_015,0.603608,0,1,4.39,25.0
2025-01-01 00:00:00,AGV_016,0.752415,1,1,11.01,25.0
2025-01-01 00:00:00,AGV_017,0.715186,1,0,8.16,25.0
2025-01-01 00:00:00,AGV_018,0.798661,0,0,1.3,25.0
2025-01-01 00:00:00,AGV_019,0.72718,1,0,121.69,25.0
2025-01-01 00:00:00,AGV_020,0.73814,0,0,38.29,25.0
2025-01-01 00:00:00,AGV_021,0.784502,1,1,30.09,25.0
2025-01-01 00:00:00,AGV_022,0.831846,1,0,91.78,25.0
2025-01-01 00:00:00,AGV_023,0.600744,1,0,13.97,25.0
2025-01-01 00:00:00,AGV_024,0.786143,1,0,59.71,25.0
2025-01-01 00:00:00,AGV_025,0.523978,1,0,6.83,25.0
2025-01-01 00:00:00,AGV_026,0.641483,1,1,10.76,25.0
2025-01-01 00:00:00,AGV_027,0.652975,1,1,108.24,25.0
2025-01-01 00:00:00,AGV_028,0.35069584501928286,1,1,6.29,25.0
2025-01-01 00:00:00,AGV_029,0.53715,0,1,1.11,25.0
2025-01-01 00:00:00,AGV_030,0.704176,1,0,30.65,25.0
2025-01-01 00:00:00,AGV_031,0.725694,1,0,3.25,25.0
2025-01-01 00:00:00,AGV_032,0.799263,1,0,1.71,25.0
2025-01-01 00:00:00,AGV_033,0.523145,1,2,62.17,25.0
2025-01-01 00:00:00,AGV_034,0.696127,1,0,1.19,25.0
2025-01-01 00:00:00,AGV_035,0.793249,1,0,36.55,25.0
2025-01-01 00:00:00,AGV_036,0.63531,1,2,63.0,25.0
2025-01-01 00:00:00,AGV_037,0.592784,1,2,185.41,25.0
2025-01-01 00:00:00,AGV_038,0.529948,0,0,2.48,25.0
2025-01-01 00:00:00,AGV_039,0.540806,0,0,3.59,25.0
2025-01-01 00:00:00,AGV_040,0.635305,1,1,24.67,25.0
2025-01-01 00:00:00,AGV_041,0.804118,1,0,33.37,25.0
2025-01-01 00:00:00,AGV_042,0.627291,0,1,3.29,25.0
2025-01-01 00:00:00,AGV_043,0.753918,1,2,17.44,25.0
2025-01-01 00:00:00,AGV_044,0.710203,1,0,50.67,25.0
2025-01-01 00:00:00,AGV_045,0.622798,0,0,27.59,25.0
2025-01-01 00:00:00,AGV_046,0.558414,1,1,27.39,25.0
2025-01-01 00:00:00,AGV_047,0.610721,1,1,61.16,25.0
2025-01-01 00:00:00,AGV_048,0.734215,1,2,51.52,25.0
2025-01-01 00:00:00,AGV_049,0.491141,0,1,3.35,25.0
2025-01-01 00:00:00,AGV_050,0.745532,1,0,53.03,25.0
2025-01-01 00:00:00,AGV_051,0.517484,0,1,30.42,25.0
2025-01-01 00:00:00,AGV_052,0.672169,0,1,40.15,25.0
2025-01-01 00:00:00,AGV_053,0.534345,0,0,49.26,25.0
2025-01-01 00:00:00,AGV_054,0.647758,0,1,11.87,25.0
2025-01-01 00:00:00,AGV_055,0.802245,1,0,72.04,25.0
2025-01-01 00:00:00,AGV_056,0.690758,0,0,5.61,25.0
2025-01-01 00:00:00,AGV_057,0.745809,1,0,4.78,25.0
2025-01-01 00:00:00,AGV_058,0.707842,1,0,16.52,25.0
2025-01-01 00:00:00,AGV_059,0.601467,1,1,4.94,25.0
2025-01-01 00:00:00,AGV_060,0.581602,1,0,1.89,25.0
2025-01-01 00:00:00,AGV_061,0.566045,1,0,7.86,25.0
2025-01-01 00:00:00,AGV_062,0.553593,0,0,6.54,25.0
2025-01-01 00:00:00,AGV_063,0.664985,0,1,22.27,25.0
2025-01-01 00:00:00,AGV_064,0.748431,1,1,25.68,25.0
2025-01-01 00:00:00,AGV_065,0.823564,1,1,42.37,25.0
2025-01-01 00:00:00,AGV_066,0.60273,0,1,7.03,25.0
2025-01-01 00:00:00,AGV_067,0.577217,1,0,8.76,25.0
2025-01-01 00:00:00,AGV_068,0.710378,1,1,124.3,25.0
2025-01-01 00:00:00,AGV_069,0.521436,1,0,6.47,25.0
2025-01-01 00:00:00,AGV_070,0.554039,1,1,88.95,25.0
2025-01-01 00:00:00,AGV_071,0.73796,1,0,38.13,25.0
2025-01-01 00:00:00,AGV_072,0.588319,1,0,63.73,25.0
2025-01-01 00:00:00,AGV_073,0.739824,1,2,34.33,25.0
2025-01-01 00:00:00,AGV_074,0.733865,0,1,1.46,25.0
2025-01-01 00:00:00,AGV_075,0.758775,1,2,10.73,25.0
2025-01-01 00:00:00,AGV_076,0.669509,1,2,97.0,25.0
2025-01-01 00:00:00,AGV_077,0.744088,0,1,3.06,25.0
2025-01-01 00:00:00,AGV_078,0.598503,1,0,125.3,25.0
2025-01-01 00:00:00,AGV_079,0.627098,0,0,19.41,25.0
2025-01-01 00:00:00,AGV_080,0.663603,1,0,37.7,25.0
2025-01-01 00:00:00,AGV_081,0.471406,0,0,37.93,25.0
2025-01-01 00:00:00,AGV_082,0.751126,1,1,62.9,25.0
2025-01-01 00:00:00,AGV_083,0.802307,1,2,34.5,25.0
2025-01-01 00:00:00,AGV_084,0.787334,1,2,2.35,25.0
2025-01-01 00:00:00,AGV_085,0.824108,0,1,36.97,25.0
2025-01-01 00:00:00,AGV_086,0.494392,0,0,1.9,25.0
2025-01-01 00:00:00,AGV_087,0.773115,1,0,209.72,25.0
2025-01-01 00:00:00,AGV_088,0.815292,0,0,10.94,25.0
2025-01-01 00:00:00,AGV_089,0.848157,1,1,4.14,25.0
2025-01-01 00:00:00,AGV_090,0.815865,1,0,144.14,25.0
2025-01-01 00:00:00,AGV_091,0.694,1,0,3.57,25.0
2025-01-01 00:00:00,AGV_092,0.743196,0,1,92.32,25.0
2025-01-01 00:00:00,AGV_093,0.726668,1,0,33.26,25.0
2025-01-01 00:00:00,AGV_094,0.625667,1,1,28.69,25.0
2025-01-01 00:00:00,AGV_095,0.724632,1,0,57.27,25.0
2025-01-01 00:00:00,AGV_096,0.63197,1,0,5.8,25.0
2025-01-01 00:00:00,AGV_097,0.728349,1,1,11.31,25.0
2025-01-01 00:00:00,AGV_098,0.715935,1,0,63.74,25.0
2025-01-01 00:00:00,AGV_099,0.799061,0,0,0.84,25.0
2025-01-01 00:00:00,AGV_100,0.751055,0,0,4.31,25.0
2025-01-01 00:00:00,AGV_101,0.455072,0,1,2.6,25.0
2025-01-01 00:00:00,AGV_102,0.462853,0,2,0.99,25.0
2025-01-01 00:00:00,AGV_103,0.594452,1,1,32.52,25.0
2025-01-01 00:00:00,AGV_104,0.544702,0,0,0.25,25.0
2025-01-01 00:00:00,AGV_105,0.775494,1,1,47.08,25.0
2025-01-01 00:00:00,AGV_106,0.37092400938220843,1,1,1.14,25.0
2025-01-01 00:00:00,AGV_107,0.794836,1,1,65.4,25.0
2025-01-01 00:00:00,AGV_108,0.689572,0,1,5.46,25.0
2025-01-01 00:00:00,AGV_109,0.727887,1,0,19.85,25.0
2025-01-01 00:00:00,AGV_110,0.536316,0,0,10.37,25.0
2025-01-01 00:00:00,AGV_111,0.570635,0,0,33.05,25.0
2025-01-01 00:00:00,AGV_112,0.3245201361024015,1,2,0.0,25.0
2025-01-01 00:00:00,AGV_113,0.513243,0,1,7.9,25.0
2025-01-01 00:00:00,AGV_114,0.721835,0,0,5.46,25.0
2025-01-01 00:00:00,AGV_115,0.646871,0,0,2.08,25.0
2025-01-01 00:00:00,AGV_116,0.723511,1,0,60.65,25.0
2025-01-01 00:00:00,AGV_117,0.717134,1,0,7.17,25.0
2025-01-01 00:00:00,AGV_118,0.655841,1,1,14.08,25.0
2025-01-01 00:00:00,AGV_119,0.643555,1,0,72.27,25.0
2025-01-01 00:00:00,AGV_120,0.736663,1,0,50.38,25.0
2025-01-01 00:00:00,AGV_121,0.521379,1,0,3.98,25.0
2025-01-01 00:00:00,AGV_122,0.806634,0,1,8.1,25.0
2025-01-01 00:00:00,AGV_123,0.543786,1,1,15.28,25.0
2025-01-01 00:00:00,AGV_124,0.686613,1,0,94.29,25.0
2025-01-01 00:00:00,AGV_125,0.538859,1,0,106.2,25.0
2025-01-01 00:00:00,AGV_126,0.734999,1,0,44.05,25.0
2025-01-01 00:00:00,AGV_127,0.654475,1,1,100.13,25.0
2025-01-01 00:00:00,AGV_128,0.750788,1,1,5.34,25.0
2025-01-01 00:00:00,AGV_129,0.743027,1,0,46.21,25.0
2025-01-01 00:00:00,AGV_130,0.700352,1,2,37.16,25.0
2025-01-01 00:05:00,AGV_001,0.742546,1,0,40.79,25.0
2025-01-01 00:05:00,AGV_002,0.808425,1,0,73.89,25.0
2025-01-01 00:05:00,AGV_003,0.721463,1,1,12.73,25.0
2025-01-01 00:05:00,AGV_004,0.514239,0,0,1.79,25.0
2025-01-01 00:05:00,AGV_005,0.730582,0,1,15.02,25.0
2025-01-01 00:05:00,AGV_006,0.561292,1,0,35.77,25.0
