vehicle_id,battery_kwh,p_charge_max_kw,soc_min,soc_max,soc_target,can_swap
AGV_001,186.1,157.2,0.15,0.95,0.8,0
AGV_002,235.31,156.2,0.15,0.95,0.8,0
AGV_003,201.92,149.7,0.15,0.95,0.8,0
AGV_004,187.43,158.2,0.15,0.95,0.8,0
AGV_005,213.53,155.9,0.15,0.95,0.8,0
AGV_006,216.53,174.1,0.15,0.95,0.8,0
AGV_007,200.84,152.7,0.15,0.95,0.8,0
AGV_008,223.57,142.5,0.15,0.95,0.8,0
AGV_009,202.36,161.0,0.15,0.95,0.8,0
AGV_010,203.11,164.4,0.15,0.95,0.8,0
AGV_011,175.61,156.7,0.15,0.95,0.8,0
AGV_012,210.68,158.6,0.15,0.95,0.8,0
AGV_013,201.44,155.7,0.15,0.95,0.8,0
AGV_014,223.61,159.6,0.15,0.95,0.8,0
AGV_015,178.76,157.7,0.15,0.95,0.8,0
AGV_016,203.87,159.7,0.15,0.95,0.8,0
AGV_017,213.78,164.0,0.15,0.95,0.8,0
AGV_018,210.77,145.6,0.15,0.95,0.8,0
AGV_019,203.29,166.1,0.15,0.95,0.8,0
AGV_020,186.93,155.3,0.15,0.95,0.8,0
AGV_021,207.15,165.1,0.15,0.95,0.8,0
AGV_022,209.07,155.5,0.15,0.95,0.8,0
AGV_023,199.6,158.0,0.15,0.95,0.8,0
AGV_024,187.75,164.1,0.15,0.95,0.8,0
AGV_025,195.07,169.2,0.15,0.95,0.8,0
AGV_026,177.68,146.0,0.15,0.95,0.8,0
AGV_027,172.64,166.7,0.15,0.95,0.8,0
AGV_028,194.14,141.0,0.15,0.95,0.8,0
AGV_029,196.03,140.0,0.15,0.95,0.8,0
AGV_030,204.06,156.9,0.15,0.95,0.8,0
AGV_031,191.63,176.2,0.15,0.95,0.8,0
AGV_032,183.28,143.4,0.15,0.95,0.8,0
AGV_033,209.08,153.0,0.15,0.95,0.8,0
AGV_034,208.16,159.1,0.15,0.95,0.8,0
AGV_035,216.53,167.4,0.15,0.95,0.8,0
AGV_036,217.44,153.2,0.15,0.95,0.8,0
AGV_037,196.46,165.9,0.15,0.95,0.8,0
AGV_038,189.54,150.8,0.15,0.95,0.8,0
AGV_039,203.84,160.1,0.15,0.95,0.8,0
AGV_040,188.75,157.9,0.15,0.95,0.8,0
AGV_041,207.95,156.8,0.15,0.95,0.8,0
AGV_042,219.93,154.5,0.15,0.95,0.8,0
AGV_043,214.96,169.7,0.15,0.95,0.8,0
AGV_044,191.08,156.4,0.15,0.95,0.8,0
AGV_045,201.17,147.7,0.15,0.95,0.8,0
AGV_046,200.37,178.7,0.15,0.95,0.8,0
AGV_047,203.43,176.5,0.15,0.95,0.8,0
AGV_048,230.58,171.9,0.15,0.95,0.8,0
AGV_049,209.09,155.9,0.15,0.95,0.8,0
AGV_050,209.62,144.5,0.15,0.95,0.8,0
AGV_051,209.71,165.7,0.15,0.95,0.8,0
AGV_052,198.94,161.2,0.15,0.95,0.8,0
AGV_053,220.11,166.7,0.15,0.95,0.8,0
AGV_054,202.73,151.7,0.15,0.95,0.8,0
AGV_055,201.42,163.1,0.15,0.95,0.8,0
AGV_056,186.06,162.2,0.15,0.95,0.8,0
AGV_057,164.9,166.6,0.15,0.95,0.8,0
AGV_058,208.88,157.6,0.15,0.95,0.8,0
AGV_059,207.89,149.4,0.15,0.95,0.8,0
