timestamp,ef_kg_per_kwh
2025-01-01 00:00:00,0.52909
2025-01-01 00:05:00,0.52213
2025-01-01 00:10:00,0.53395
2025-01-01 00:15:00,0.52899
2025-01-01 00:20:00,0.52395
2025-01-01 00:25:00,0.53329
2025-01-01 00:30:00,0.53259
2025-01-01 00:35:00,0.52286
2025-01-01 00:40:00,0.5331
2025-01-01 00:45:00,0.52621
2025-01-01 00:50:00,0.52474
2025-01-01 00:55:00,0.53159
2025-01-01 01:00:00,0.52413
2025-01-01 01:05:00,0.52118
2025-01-01 01:10:00,0.52465
2025-01-01 01:15:00,0.5253
2025-01-01 01:20:00,0.5269
2025-01-01 01:25:00,0.52382
2025-01-01 01:30:00,0.52787
2025-01-01 01:35:00,0.52829
2025-01-01 01:40:00,0.5269
2025-01-01 01:45:00,0.52689
2025-01-01 01:50:00,0.51672
2025-01-01 01:55:00,0.52785
2025-01-01 02:00:00,0.5209
2025-01-01 02:05:00,0.51838
2025-01-01 02:10:00,0.52425
2025-01-01 02:15:00,0.51812
2025-01-01 02:20:00,0.52549
2025-01-01 02:25:00,0.532
2025-01-01 02:30:00,0.52963
2025-01-01 02:35:00,0.52348
2025-01-01 02:40:00,0.51949
2025-01-01 02:45:00,0.52556
2025-01-01 02:50:00,0.52342
2025-01-01 02:55:00,0.52827
2025-01-01 03:00:00,0.51914
2025-01-01 03:05:00,0.51959
2025-01-01 03:10:00,0.5201
2025-01-01 03:15:00,0.5271
2025-01-01 03:20:00,0.5268
2025-01-01 03:25:00,0.52157
2025-01-01 03:30:00,0.52551
2025-01-01 03:35:00,0.52036
2025-01-01 03:40:00,0.52356
2025-01-01 03:45:00,0.51843
2025-01-01 03:50:00,0.52325
2025-01-01 03:55:00,0.52136
2025-01-01 04:00:00,0.5211
2025-01-01 04:05:00,0.51942
2025-01-01 04:10:00,0.51847
2025-01-01 04:15:00,0.52479
2025-01-01 04:20:00,0.51734
2025-01-01 04:25:00,0.51371
2025-01-01 04:30:00,0.52145
2025-01-01 04:35:00,0.51633
2025-01-01 04:40:00,0.51851
