timestamp,q_cooling_forecast_kw_p50,q_cooling_forecast_kw_p90,ambient_temp_forecast_C,ambient_rh_forecast_pct
2025-01-01 00:00:00,1573.6,1653.6,5.97,81.0
2025-01-01 00:15:00,1568.2,1739.9,6.65,71.4
2025-01-01 00:30:00,1595.0,1675.0,6.61,82.9
2025-01-01 00:45:00,1677.2,1757.2,6.72,80.3
2025-01-01 01:00:00,1805.4,1885.4,8.26,71.9
2025-01-01 01:15:00,1771.3,1851.3,8.89,74.2
2025-01-01 01:30:00,1899.3,2192.8,8.79,74.6
2025-01-01 01:45:00,2124.8,2204.8,9.12,70.6
2025-01-01 02:00:00,1947.5,2027.5,8.0,69.4
2025-01-01 02:15:00,2089.1,2169.1,8.15,72.2
2025-01-01 02:30:00,2161.9,2241.9,8.74,67.5
2025-01-01 02:45:00,2091.6,2197.7,8.07,67.9
2025-01-01 03:00:00,2052.9,2132.9,8.89,66.2
2025-01-01 03:15:00,1937.6,2034.6,7.6,57.3
2025-01-01 03:30:00,1812.8,1892.8,8.62,59.9
2025-01-01 03:45:00,1948.5,2028.5,8.92,62.3
2025-01-01 04:00:00,1879.4,1959.4,8.88,56.7
2025-01-01 04:15:00,1713.0,1793.0,8.89,59.6
2025-01-01 04:30:00,1540.3,1620.3,8.36,61.0
2025-01-01 04:45:00,1484.6,1589.6,8.52,57.9
2025-01-01 05:00:00,1497.3,1577.3,8.32,61.1
2025-01-01 05:15:00,1466.8,1546.8,8.66,63.3
2025-01-01 05:30:00,1308.9,1432.8,7.63,61.7
2025-01-01 05:45:00,1453.8,1533.8,7.88,62.2
2025-01-01 06:00:00,1400.1,1532.1,8.31,62.7
2025-01-01 06:15:00,1471.9,1551.9,8.41,57.4
2025-01-01 06:30:00,1444.2,1524.2,8.91,61.7
2025-01-01 06:45:00,1490.0,1570.0,7.61,64.5
2025-01-01 07:00:00,1410.0,1490.0,9.64,59.2
2025-01-01 07:15:00,1358.9,1523.0,8.87,55.7
2025-01-01 07:30:00,1395.6,1625.1,8.48,52.3
2025-01-01 07:45:00,1530.6,1610.6,9.35,58.2
2025-01-01 08:00:00,1421.4,1501.4,9.31,66.7
2025-01-01 08:15:00,1387.4,1559.0,8.63,58.9
2025-01-01 08:30:00,1356.9,1436.9,8.86,59.6
2025-01-01 08:45:00,1338.0,1418.0,7.57,59.1
2025-01-01 09:00:00,1387.9,1467.9,7.68,53.8
2025-01-01 09:15:00,1400.9,1480.9,8.57,63.0
2025-01-01 09:30:00,1439.2,1519.2,7.21,56.9
2025-01-01 09:45:00,1273.9,1420.8,7.7,61.5
2025-01-01 10:00:00,1408.5,1488.5,8.25,58.7
2025-01-01 10:15:00,1260.9,1340.9,8.56,62.4
2025-01-01 10:30:00,1396.9,1503.2,7.11,59.8
2025-01-01 10:45:00,1436.6,1516.6,7.87,60.2
2025-01-01 11:00:00,1361.1,1441.1,6.84,61.8
2025-01-01 11:15:00,1349.1,1429.1,6.54,63.8
2025-01-01 11:30:00,1398.1,1478.1,6.5,63.7
2025-01-01 11:45:00,1421.9,1501.9,6.17,62.7
2025-01-01 12:00:00,1296.2,1376.2,6.79,67.8
2025-01-01 12:15:00,1428.4,1508.4,6.25,66.3
2025-01-01 12:30:00,1355.5,1528.1,6.46,66.1
2025-01-01 12:45:00,1405.8,1485.8,7.71,69.6
2025-01-01 13:00:00,1542.7,1628.8,5.29,71.4
2025-01-01 13:15:00,1559.3,1639.3,6.83,70.3
2025-01-01 13:30:00,1440.3,1520.3,6.7,73.8
2025-01-01 13:45:00,1488.7,1568.7,6.97,71.4
2025-01-01 14:00:00,1399.5,1496.1,5.47,67.1
2025-01-01 14:15:00,1370.5,1501.6,6.08,66.1
2025-01-01 14:30:00,1471.9,1551.9,6.22,65.6
2025-01-01 14:45:00,1368.1,1570.1,6.2,65.5
2025-01-01 15:00:00,1351.3,1431.3,5.24,71.4
2025-01-01 15:15:00,1344.0,1436.3,5.17,70.2
2025-01-01 15:30:00,1400.1,1480.1,4.11,76.1
2025-01-01 15:45:00,1368.8,1448.8,5.04,77.3
2025-01-01 16:00:00,1373.7,1453.7,4.81,76.4
2025-01-01 16:15:00,1375.0,1455.0,6.11,84.8
2025-01-01 16:30:00,1411.8,1491.8,4.35,81.4
2025-01-01 16:45:00,1316.0,1465.6,5.19,80.3
2025-01-01 17:00:00,1350.7,1430.7,4.66,82.9
2025-01-01 17:15:00,1355.1,1512.0,4.71,84.3
2025-01-01 17:30:00,1406.6,1518.0,6.02,90.7
2025-01-01 17:45:00,1319.3,1502.3,5.19,82.4
2025-01-01 18:00:00,1343.9,1423.9,5.57,85.3
2025-01-01 18:15:00,1361.3,1441.3,6.01,84.4
2025-01-01 18:30:00,1295.7,1375.7,5.91,79.4
2025-01-01 18:45:00,1128.1,1208.1,4.51,80.4
2025-01-01 19:00:00,1268.7,1348.7,5.38,85.2
2025-01-01 19:15:00,1488.1,1568.1,5.52,77.6
2025-01-01 19:30:00,1404.7,1484.7,4.72,78.8
2025-01-01 19:45:00,1326.4,1406.4,4.72,81.2
2025-01-01 20:00:00,1336.7,1416.7,4.91,98.4
2025-01-01 20:15:00,1354.0,1456.2,5.42,87.9
2025-01-01 20:30:00,1243.5,1323.5,5.35,87.7
2025-01-01 20:45:00,1452.5,1532.5,5.59,82.3
2025-01-01 21:00:00,1391.1,1611.6,5.94,90.3
2025-01-01 21:15:00,1421.6,1501.6,5.56,84.6
2025-01-01 21:30:00,1399.8,1486.0,5.99,79.0
2025-01-01 21:45:00,1398.5,1478.5,6.18,85.9
2025-01-01 22:00:00,1320.1,1539.1,5.66,84.9
2025-01-01 22:15:00,1419.8,1553.3,5.72,88.9
2025-01-01 22:30:00,1318.9,1430.6,5.32,78.9
2025-01-01 22:45:00,1439.4,1540.1,6.98,83.8
2025-01-01 23:00:00,1286.9,1415.3,6.37,80.8
2025-01-01 23:15:00,1359.7,1508.7,7.11,86.0
2025-01-01 23:30:00,1509.3,1589.3,7.9,79.1
2025-01-01 23:45:00,1474.3,1624.2,6.77,80.4
2025-01-02 00:00:00,1559.0,1639.0,7.31,89.7
2025-01-02 00:15:00,1607.1,1784.4,7.23,73.1
2025-01-02 00:30:00,1777.5,1857.5,7.38,73.4
2025-01-02 00:45:00,1782.3,1910.2,6.96,74.1
2025-01-02 01:00:00,1846.4,2019.2,8.26,78.9
2025-01-02 01:15:00,1958.2,2038.2,8.69,72.8
2025-01-02 01:30:00,2017.8,2173.9,9.04,70.7
2025-01-02 01:45:00,2047.8,2127.8,8.3,69.7
2025-01-02 02:00:00,2179.4,2259.4,6.74,72.9
2025-01-02 02:15:00,2167.4,2346.5,8.93,66.3
2025-01-02 02:30:00,2135.1,2215.1,7.83,69.7
2025-01-02 02:45:00,2192.8,2272.8,8.88,66.0
2025-01-02 03:00:00,1995.6,2126.7,9.51,66.1
2025-01-02 03:15:00,2084.3,2164.3,7.23,68.0
2025-01-02 03:30:00,1959.1,2039.1,9.21,67.2
2025-01-02 03:45:00,1817.9,1897.9,8.56,61.6
2025-01-02 04:00:00,1691.5,1861.2,9.76,63.5
2025-01-02 04:15:00,1682.1,1762.1,7.51,63.3
2025-01-02 04:30:00,1593.0,1803.7,8.33,59.9
2025-01-02 04:45:00,1685.6,1765.6,9.32,49.9
2025-01-02 05:00:00,1514.8,1618.1,8.5,55.9
2025-01-02 05:15:00,1390.6,1727.4,9.58,52.0
2025-01-02 05:30:00,1535.3,1615.3,8.99,61.9
2025-01-02 05:45:00,1416.0,1496.0,8.64,59.8
2025-01-02 06:00:00,1233.3,1338.4,9.98,55.2
2025-01-02 06:15:00,1430.5,1510.5,9.51,61.7
2025-01-02 06:30:00,1367.4,1447.4,9.17,58.0
2025-01-02 06:45:00,1498.6,1578.6,9.28,61.3
2025-01-02 07:00:00,1393.8,1570.2,10.32,51.5
2025-01-02 07:15:00,1426.6,1506.6,9.48,58.2
2025-01-02 07:30:00,1476.1,1556.1,9.47,54.2
2025-01-02 07:45:00,1478.0,1558.0,8.84,59.6
2025-01-02 08:00:00,1447.8,1527.8,9.56,58.3
2025-01-02 08:15:00,1585.5,1665.5,9.11,58.4
2025-01-02 08:30:00,1511.7,1591.7,8.66,54.6
2025-01-02 08:45:00,1544.5,1624.5,9.52,49.3
2025-01-02 09:00:00,1472.4,1552.4,9.6,49.5
2025-01-02 09:15:00,1423.1,1578.1,9.66,52.3
2025-01-02 09:30:00,1509.6,1608.9,9.42,60.4
2025-01-02 09:45:00,1243.1,1323.1,8.75,54.5
2025-01-02 10:00:00,1365.7,1466.5,8.39,60.7
