wetbulb_C,plr,cop
10.0,0.3,4.45
10.0,0.35,4.425
10.0,0.4,4.4
10.0,0.45,4.375
10.0,0.5,4.35
10.0,0.55,4.325
10.0,0.6,4.3
10.0,0.65,4.275
10.0,0.7,4.25
10.0,0.75,4.225
10.0,0.8,4.2
10.0,0.85,4.175
10.0,0.9,4.15
10.0,0.95,4.125
10.0,1.0,4.1
12.0,0.3,4.45
12.0,0.35,4.425
12.0,0.4,4.4
12.0,0.45,4.375
12.0,0.5,4.35
12.0,0.55,4.325
12.0,0.6,4.3
12.0,0.65,4.275
12.0,0.7,4.25
12.0,0.75,4.225
12.0,0.8,4.2
12.0,0.85,4.175
12.0,0.9,4.15
12.0,0.95,4.125
12.0,1.0,4.1
14.0,0.3,4.45
14.0,0.35,4.425
14.0,0.4,4.4
14.0,0.45,4.375
14.0,0.5,4.35
14.0,0.55,4.325
14.0,0.6,4.3
14.0,0.65,4.275
14.0,0.7,4.25
14.0,0.75,4.225
14.0,0.8,4.2
14.0,0.85,4.175
14.0,0.9,4.15
14.0,0.95,4.125
14.0,1.0,4.1
16.0,0.3,4.45
16.0,0.35,4.425
16.0,0.4,4.4
16.0,0.45,4.375
16.0,0.5,4.35
16.0,0.55,4.325
16.0,0.6,4.3
16.0,0.65,4.275
16.0,0.7,4.25
16.0,0.75,4.225
16.0,0.8,4.2
16.0,0.85,4.175
16.0,0.9,4.15
16.0,0.95,4.125
16.0,1.0,4.1
18.0,0.3,4.45
18.0,0.35,4.425
18.0,0.4,4.4
18.0,0.45,4.375
18.0,0.5,4.35
18.0,0.55,4.325
18.0,0.6,4.3
18.0,0.65,4.275
18.0,0.7,4.25
18.0,0.75,4.225
18.0,0.8,4.2
18.0,0.85,4.175
18.0,0.9,4.15
18.0,0.95,4.125
18.0,1.0,4.1
20.0,0.3,4.45
20.0,0.35,4.425
20.0,0.4,4.4
20.0,0.45,4.375
20.0,0.5,4.35
20.0,0.55,4.325
20.0,0.6,4.3
20.0,0.65,4.275
20.0,0.7,4.25
20.0,0.75,4.225
20.0,0.8,4.2
20.0,0.85,4.175
20.0,0.9,4.15
20.0,0.95,4.125
20.0,1.0,4.1
22.0,0.3,4.426
22.0,0.35,4.401
22.0,0.4,4.376
22.0,0.45,4.351
22.0,0.5,4.326
22.0,0.55,4.301
22.0,0.6,4.276
22.0,0.65,4.251
22.0,0.7,4.226
22.0,0.75,4.201
22.0,0.8,4.176
22.0,0.85,4.151
22.0,0.9,4.126
22.0,0.95,4.101
22.0,1.0,4.076
24.0,0.3,4.402
24.0,0.35,4.377
24.0,0.4,4.352
24.0,0.45,4.327
24.0,0.5,4.302
24.0,0.55,4.277
24.0,0.6,4.252
24.0,0.65,4.227
24.0,0.7,4.202
24.0,0.75,4.177
24.0,0.8,4.152
24.0,0.85,4.127
24.0,0.9,4.102
24.0,0.95,4.077
24.0,1.0,4.052
26.0,0.3,4.378
26.0,0.35,4.353
26.0,0.4,4.328
26.0,0.45,4.303
26.0,0.5,4.278
26.0,0.55,4.253
26.0,0.6,4.228
26.0,0.65,4.203
26.0,0.7,4.178
26.0,0.75,4.153
26.0,0.8,4.128
26.0,0.85,4.103
26.0,0.9,4.078
26.0,0.95,4.053
26.0,1.0,4.028
28.0,0.3,4.354
28.0,0.35,4.329
28.0,0.4,4.304
28.0,0.45,4.279
28.0,0.5,4.254
28.0,0.55,4.229
28.0,0.6,4.204
28.0,0.65,4.179
28.0,0.7,4.154
28.0,0.75,4.129
28.0,0.8,4.104
28.0,0.85,4.079
28.0,0.9,4.054
28.0,0.95,4.029
28.0,1.0,4.004
30.0,0.3,4.33
30.0,0.35,4.305
30.0,0.4,4.28
30.0,0.45,4.255
30.0,0.5,4.23
30.0,0.55,4.205
30.0,0.6,4.18
30.0,0.65,4.155
30.0,0.7,4.13
30.0,0.75,4.105
30.0,0.8,4.08
30.0,0.85,4.055
30.0,0.9,4.03
30.0,0.95,4.005
30.0,1.0,3.98
