timestamp,ambient_temp_forecast_C_p50,ambient_temp_forecast_C_p90,ambient_rh_forecast_pct_p50,ambient_rh_forecast_pct_p90,wetbulb_forecast_C_p50,wetbulb_forecast_C_p90,cloud_cover_0_1_p50,cloud_cover_0_1_p90,hourofday_local,dayofweek_local,is_weekend
2025-01-01 00:00:00,6.91,7.34,80.5,83.8,3.0,4.1,0.688,0.702,8,2,0
2025-01-01 00:15:00,6.95,7.09,77.4,77.7,2.43,2.63,0.58,0.715,8,2,0
2025-01-01 00:30:00,7.24,7.78,81.0,84.9,3.43,4.76,0.696,0.802,8,2,0
2025-01-01 00:45:00,7.57,7.65,79.3,80.8,3.44,3.81,0.606,0.649,8,2,0
2025-01-01 01:00:00,8.26,8.49,73.2,78.8,2.9,4.24,0.519,0.582,9,2,0
2025-01-01 01:15:00,8.67,9.2,71.1,73.2,2.89,3.84,0.468,0.487,9,2,0
2025-01-01 01:30:00,8.48,8.81,70.4,73.6,2.57,3.53,0.589,0.662,9,2,0
2025-01-01 01:45:00,8.51,8.56,71.9,78.4,2.89,4.24,0.603,0.657,9,2,0
2025-01-01 02:00:00,8.72,9.05,72.6,75.6,3.24,4.17,0.544,0.572,10,2,0
2025-01-01 02:15:00,8.07,8.25,72.9,77.8,2.66,3.81,0.574,0.582,10,2,0
2025-01-01 02:30:00,8.49,8.97,67.8,69.4,2.04,2.85,0.502,0.554,10,2,0
2025-01-01 02:45:00,8.25,8.81,69.4,71.0,2.12,3.01,0.504,0.589,10,2,0
2025-01-01 03:00:00,8.84,9.37,67.1,68.3,2.25,3.02,0.372,0.406,11,2,0
2025-01-01 03:15:00,8.3,9.02,62.0,63.7,0.7,1.75,0.367,0.534,11,2,0
2025-01-01 03:30:00,8.68,8.85,61.0,61.7,0.87,1.2,0.344,0.365,11,2,0
2025-01-01 03:45:00,8.57,8.86,64.5,68.4,1.48,2.55,0.459,0.478,11,2,0
2025-01-01 04:00:00,8.46,8.63,60.8,62.3,0.63,1.09,0.358,0.431,12,2,0
2025-01-01 04:15:00,8.83,9.06,62.8,63.8,1.38,1.83,0.429,0.51,12,2,0
2025-01-01 04:30:00,8.6,8.97,60.4,61.5,0.68,1.26,0.342,0.442,12,2,0
2025-01-01 04:45:00,8.62,9.22,59.4,61.1,0.62,1.44,0.286,0.307,12,2,0
2025-01-01 05:00:00,8.36,8.49,59.1,62.0,0.36,0.9,0.292,0.292,13,2,0
2025-01-01 05:15:00,8.6,9.1,61.4,63.6,0.88,1.83,0.378,0.429,13,2,0
2025-01-01 05:30:00,7.76,8.05,58.7,60.6,-0.24,0.17,0.362,0.394,13,2,0
2025-01-01 05:45:00,8.65,8.82,61.6,65.9,0.98,2.0,0.327,0.368,13,2,0
2025-01-01 06:00:00,8.58,9.04,59.4,59.8,0.58,1.04,0.27,0.27,14,2,0
2025-01-01 06:15:00,9.01,9.56,60.2,64.0,1.05,2.35,0.404,0.446,14,2,0
2025-01-01 06:30:00,8.87,8.97,63.3,65.9,1.54,2.16,0.429,0.429,14,2,0
2025-01-01 06:45:00,8.12,8.94,60.4,61.4,0.2,1.21,0.301,0.392,14,2,0
2025-01-01 07:00:00,9.25,9.44,60.8,60.8,1.41,1.61,0.301,0.34,15,2,0
2025-01-01 07:15:00,9.0,9.73,58.5,61.8,1.0,2.1,0.376,0.448,15,2,0
2025-01-01 07:30:00,8.7,9.16,53.4,54.4,0.7,1.16,0.295,0.347,15,2,0
2025-01-01 07:45:00,9.12,9.72,57.5,58.5,1.12,1.72,0.324,0.405,15,2,0
2025-01-01 08:00:00,9.22,9.3,61.9,65.3,1.61,2.35,0.422,0.568,16,2,0
2025-01-01 08:15:00,8.77,9.69,54.4,56.1,0.77,1.69,0.32,0.344,16,2,0
2025-01-01 08:30:00,8.49,8.56,59.7,60.1,0.49,0.58,0.289,0.352,16,2,0
2025-01-01 08:45:00,8.17,8.31,57.2,59.9,0.17,0.31,0.182,0.182,16,2,0
2025-01-01 09:00:00,7.66,8.23,58.0,61.7,-0.34,0.58,0.31,0.31,17,2,0
2025-01-01 09:15:00,8.1,8.45,56.2,58.0,0.1,0.45,0.282,0.42,17,2,0
2025-01-01 09:30:00,8.11,8.32,59.4,64.3,0.11,1.17,0.381,0.412,17,2,0
2025-01-01 09:45:00,7.38,7.94,58.8,60.9,-0.62,0.12,0.195,0.244,17,2,0
2025-01-01 10:00:00,7.58,8.04,58.8,60.2,-0.42,0.07,0.326,0.364,18,2,0
2025-01-01 10:15:00,7.59,7.76,64.1,66.2,0.41,1.01,0.4,0.459,18,2,0
2025-01-01 10:30:00,6.77,7.09,64.7,67.8,-0.29,0.64,0.451,0.526,18,2,0
2025-01-01 10:45:00,7.65,7.87,64.3,65.6,0.52,0.99,0.419,0.445,18,2,0
2025-01-01 11:00:00,6.94,7.04,62.5,64.9,-0.56,0.01,0.396,0.488,19,2,0
2025-01-01 11:15:00,6.44,6.88,65.0,66.4,-0.57,0.16,0.403,0.403,19,2,0
2025-01-01 11:30:00,6.56,6.8,61.0,63.5,-1.25,-0.51,0.292,0.292,19,2,0
2025-01-01 11:45:00,6.61,6.91,61.0,63.7,-1.2,-0.35,0.359,0.472,19,2,0
2025-01-01 12:00:00,6.89,7.45,64.2,64.6,-0.27,0.36,0.425,0.484,20,2,0
2025-01-01 12:15:00,6.93,7.27,67.2,72.8,0.38,1.83,0.417,0.542,20,2,0
2025-01-01 12:30:00,6.67,6.71,65.0,67.3,-0.33,0.16,0.399,0.455,20,2,0
2025-01-01 12:45:00,7.36,7.49,66.6,69.0,0.68,1.28,0.472,0.562,20,2,0
2025-01-01 13:00:00,6.16,6.6,66.2,68.6,-0.61,0.32,0.498,0.498,21,2,0
2025-01-01 13:15:00,6.91,7.77,69.7,72.6,0.85,2.28,0.495,0.529,21,2,0
2025-01-01 13:30:00,6.67,7.17,73.2,75.8,1.32,2.33,0.504,0.57,21,2,0
2025-01-01 13:45:00,6.64,6.91,69.0,71.7,0.45,1.24,0.503,0.511,21,2,0
2025-01-01 14:00:00,5.4,5.45,68.4,71.1,-0.92,-0.32,0.478,0.48,22,2,0
2025-01-01 14:15:00,5.47,5.53,67.0,67.4,-1.13,-1.0,0.487,0.563,22,2,0
2025-01-01 14:30:00,5.77,6.32,68.2,70.8,-0.59,0.49,0.497,0.538,22,2,0
2025-01-01 14:45:00,6.02,6.77,67.5,67.7,-0.47,0.32,0.472,0.472,22,2,0
2025-01-01 15:00:00,5.26,5.57,70.1,72.2,-0.72,-0.0,0.402,0.402,23,2,0
2025-01-01 15:15:00,5.61,6.08,72.1,76.1,0.02,1.31,0.499,0.621,23,2,0
2025-01-01 15:30:00,4.93,5.0,74.2,77.0,-0.23,0.41,0.545,0.598,23,2,0
2025-01-01 15:45:00,5.21,5.71,79.3,83.7,1.07,2.44,0.675,0.787,23,2,0
2025-01-01 16:00:00,4.92,4.93,77.2,78.0,0.37,0.53,0.601,0.689,0,3,0
2025-01-01 16:15:00,5.64,6.09,79.8,81.8,1.6,2.46,0.69,0.748,0,3,0
2025-01-01 16:30:00,4.76,5.29,77.4,79.4,0.23,1.17,0.602,0.684,0,3,0
2025-01-01 16:45:00,5.08,5.47,79.3,82.9,0.95,2.05,0.605,0.684,0,3,0
2025-01-01 17:00:00,4.98,5.56,82.5,82.7,1.47,2.1,0.572,0.635,1,3,0
2025-01-01 17:15:00,5.13,5.61,85.6,88.9,2.25,3.38,0.664,0.741,1,3,0
2025-01-01 17:30:00,5.51,5.98,86.4,88.8,2.79,3.73,0.715,0.715,1,3,0
