timestamp,crane_id,yard_block,crane_type,mode,moves,power_kw,energy_kwh_step,price_yuan_per_kwh,ef_kg_per_kwh,cost_yuan_per_step,carbon_kg_per_step,backlog_after_step
2025-01-01 00:00:00+00:00,CR_01,YB_01,RMG,eco,0,47.1,11.779,0.78,0.5287,9.19,6.227,3.0
2025-01-01 00:00:00+00:00,CR_02,YB_02,RTG,eco,0,47.4,11.86,0.78,0.5287,9.25,6.27,3.0
2025-01-01 00:00:00+00:00,CR_03,YB_03,RMG,eco,0,49.1,12.271,0.78,0.5287,9.57,6.487,7.0
2025-01-01 00:00:00+00:00,CR_04,YB_04,RMG,eco,0,49.8,12.442,0.78,0.5287,9.7,6.577,1.0
2025-01-01 00:00:00+00:00,CR_05,YB_05,RTG,idle,0,82.0,20.492,0.78,0.5287,15.98,10.833,5.0
2025-01-01 00:00:00+00:00,CR_06,YB_06,RTG,eco,0,77.2,19.31,0.78,0.5287,15.06,10.208,2.0
2025-01-01 00:00:00+00:00,CR_07,YB_07,RTG,idle,0,82.6,20.661,0.78,0.5287,16.12,10.922,4.0
2025-01-01 00:00:00+00:00,CR_08,YB_08,RTG,idle,0,69.4,17.35,0.78,0.5287,13.53,9.172,4.0
2025-01-01 00:00:00+00:00,CR_09,YB_09,RMG,idle,0,74.6,18.644,0.78,0.5287,14.54,9.856,5.0
2025-01-01 00:00:00+00:00,CR_10,YB_10,RTG,idle,0,85.9,21.482,0.78,0.5287,16.76,11.357,4.0
2025-01-01 00:00:00+00:00,CR_11,YB_11,RMG,eco,0,45.0,11.249,0.78,0.5287,8.77,5.947,0.0
2025-01-01 00:00:00+00:00,CR_12,YB_12,RTG,eco,0,55.3,13.831,0.78,0.5287,10.79,7.312,2.0
2025-01-01 00:00:00+00:00,CR_13,YB_01,RTG,eco,0,71.9,17.987,0.78,0.5287,14.03,9.509,3.0
2025-01-01 00:00:00+00:00,CR_14,YB_02,RMG,eco,0,51.2,12.794,0.78,0.5287,9.98,6.763,3.0
2025-01-01 00:00:00+00:00,CR_15,YB_03,RMG,idle,0,71.0,17.742,0.78,0.5287,13.84,9.379,7.0
2025-01-01 00:00:00+00:00,CR_16,YB_04,RTG,eco,0,58.0,14.489,0.78,0.5287,11.3,7.66,1.0
2025-01-01 00:15:00+00:00,CR_01,YB_01,RMG,eco,0,50.0,12.49,0.78,0.5287,9.74,6.603,6.0
2025-01-01 00:15:00+00:00,CR_02,YB_02,RTG,eco,0,42.8,10.7,0.78,0.5287,8.35,5.657,4.0
2025-01-01 00:15:00+00:00,CR_03,YB_03,RMG,idle,0,76.9,19.227,0.78,0.5287,15.0,10.165,11.0
2025-01-01 00:15:00+00:00,CR_04,YB_04,RMG,eco,0,56.0,13.995,0.78,0.5287,10.92,7.399,3.0
2025-01-01 00:15:00+00:00,CR_05,YB_05,RTG,active,7,405.4,101.339,0.78,0.5287,79.04,53.574,1.0
2025-01-01 00:15:00+00:00,CR_06,YB_06,RTG,active,6,453.1,113.286,0.78,0.5287,88.36,59.89,0.0
2025-01-01 00:15:00+00:00,CR_07,YB_07,RTG,active,4,450.3,112.575,0.78,0.5287,87.81,59.514,6.0
2025-01-01 00:15:00+00:00,CR_08,YB_08,RTG,active,8,436.2,109.055,0.78,0.5287,85.06,57.653,0.0
2025-01-01 00:15:00+00:00,CR_09,YB_09,RMG,active,9,461.3,115.32,0.78,0.5287,89.95,60.965,0.0
2025-01-01 00:15:00+00:00,CR_10,YB_10,RTG,active,8,417.1,104.267,0.78,0.5287,81.33,55.122,0.0
2025-01-01 00:15:00+00:00,CR_11,YB_11,RMG,eco,0,46.5,11.631,0.78,0.5287,9.07,6.149,0.0
2025-01-01 00:15:00+00:00,CR_12,YB_12,RTG,idle,0,86.5,21.632,0.78,0.5287,16.87,11.436,4.0
2025-01-01 00:15:00+00:00,CR_13,YB_01,RTG,eco,0,68.5,17.134,0.78,0.5287,13.36,9.058,6.0
2025-01-01 00:15:00+00:00,CR_14,YB_02,RMG,eco,0,54.5,13.623,0.78,0.5287,10.63,7.202,4.0
2025-01-01 00:15:00+00:00,CR_15,YB_03,RMG,idle,0,64.7,16.18,0.78,0.5287,12.62,8.554,11.0
2025-01-01 00:15:00+00:00,CR_16,YB_04,RTG,eco,0,61.2,15.292,0.78,0.5287,11.93,8.084,3.0
2025-01-01 00:30:00+00:00,CR_01,YB_01,RMG,idle,0,65.6,16.412,0.78,0.5287,12.8,8.676,10.0
2025-01-01 00:30:00+00:00,CR_02,YB_02,RTG,eco,0,45.7,11.43,0.78,0.5287,8.92,6.042,6.0
2025-01-01 00:30:00+00:00,CR_03,YB_03,RMG,idle,0,78.9,19.727,0.78,0.5287,15.39,10.429,16.0
2025-01-01 00:30:00+00:00,CR_04,YB_04,RMG,eco,0,56.0,13.99,0.78,0.5287,10.91,7.396,4.0
2025-01-01 00:30:00+00:00,CR_05,YB_05,RTG,active,6,402.1,100.534,0.78,0.5287,78.42,53.148,0.0
2025-01-01 00:30:00+00:00,CR_06,YB_06,RTG,eco,0,77.3,19.337,0.78,0.5287,15.08,10.223,2.0
2025-01-01 00:30:00+00:00,CR_07,YB_07,RTG,active,8,468.1,117.016,0.78,0.5287,91.27,61.862,2.0
2025-01-01 00:30:00+00:00,CR_08,YB_08,RTG,eco,0,71.6,17.893,0.78,0.5287,13.96,9.459,1.0
2025-01-01 00:30:00+00:00,CR_09,YB_09,RMG,eco,0,50.0,12.501,0.78,0.5287,9.75,6.609,1.0
2025-01-01 00:30:00+00:00,CR_10,YB_10,RTG,eco,0,43.5,10.869,0.78,0.5287,8.48,5.746,3.0
2025-01-01 00:30:00+00:00,CR_11,YB_11,RMG,idle,0,72.4,18.106,0.78,0.5287,14.12,9.572,5.0
2025-01-01 00:30:00+00:00,CR_12,YB_12,RTG,idle,0,85.6,21.397,0.78,0.5287,16.69,11.312,6.0
2025-01-01 00:30:00+00:00,CR_13,YB_01,RTG,idle,0,75.8,18.941,0.78,0.5287,14.77,10.013,10.0
2025-01-01 00:30:00+00:00,CR_14,YB_02,RMG,idle,0,72.7,18.172,0.78,0.5287,14.17,9.607,6.0
2025-01-01 00:30:00+00:00,CR_15,YB_03,RMG,active,10,402.8,100.695,0.78,0.5287,78.54,53.234,6.0
2025-01-01 00:30:00+00:00,CR_16,YB_04,RTG,eco,0,61.2,15.31,0.78,0.5287,11.94,8.094,4.0
2025-01-01 00:45:00+00:00,CR_01,YB_01,RMG,active,9,384.1,96.015,0.78,0.5287,74.89,50.759,7.0
2025-01-01 00:45:00+00:00,CR_02,YB_02,RTG,idle,0,54.0,13.51,0.78,0.5287,10.54,7.142,8.0
2025-01-01 00:45:00+00:00,CR_03,YB_03,RMG,idle,0,79.9,19.968,0.78,0.5287,15.57,10.556,9.0
2025-01-01 00:45:00+00:00,CR_04,YB_04,RMG,idle,0,73.3,18.316,0.78,0.5287,14.29,9.683,6.0
2025-01-01 00:45:00+00:00,CR_05,YB_05,RTG,eco,0,52.1,13.028,0.78,0.5287,10.16,6.887,2.0
2025-01-01 00:45:00+00:00,CR_06,YB_06,RTG,idle,0,81.8,20.442,0.78,0.5287,15.94,10.807,5.0
2025-01-01 00:45:00+00:00,CR_07,YB_07,RTG,eco,0,56.4,14.107,0.78,0.5287,11.0,7.458,2.0
2025-01-01 00:45:00+00:00,CR_08,YB_08,RTG,idle,0,67.8,16.944,0.78,0.5287,13.22,8.957,5.0
2025-01-01 00:45:00+00:00,CR_09,YB_09,RMG,idle,0,81.4,20.346,0.78,0.5287,15.87,10.756,6.0
2025-01-01 00:45:00+00:00,CR_10,YB_10,RTG,active,9,422.7,105.686,0.78,0.5287,82.43,55.872,0.0
2025-01-01 00:45:00+00:00,CR_11,YB_11,RMG,active,7,501.5,125.378,0.78,0.5287,97.8,66.282,0.0
2025-01-01 00:45:00+00:00,CR_12,YB_12,RTG,active,6,460.4,115.109,0.78,0.5287,89.78,60.853,3.0
2025-01-01 00:45:00+00:00,CR_13,YB_01,RTG,idle,0,68.2,17.039,0.78,0.5287,13.29,9.008,7.0
2025-01-01 00:45:00+00:00,CR_14,YB_02,RMG,idle,0,71.1,17.772,0.78,0.5287,13.86,9.396,8.0
2025-01-01 00:45:00+00:00,CR_15,YB_03,RMG,idle,0,68.0,16.995,0.78,0.5287,13.26,8.985,9.0
2025-01-01 00:45:00+00:00,CR_16,YB_04,RTG,idle,0,93.2,23.291,0.78,0.5287,18.17,12.313,6.0
2025-01-01 01:00:00+00:00,CR_01,YB_01,RMG,idle,0,60.0,15.007,1.12,0.5271,16.81,7.91,13.0
2025-01-01 01:00:00+00:00,CR_02,YB_02,RTG,active,8,559.8,139.94,1.12,0.5271,156.73,73.758,9.0
2025-01-01 01:00:00+00:00,CR_03,YB_03,RMG,idle,0,83.7,20.934,1.12,0.5271,23.45,11.034,16.0
2025-01-01 01:00:00+00:00,CR_04,YB_04,RMG,idle,0,78.5,19.624,1.12,0.5271,21.98,10.343,10.0
2025-01-01 01:00:00+00:00,CR_05,YB_05,RTG,active,8,414.9,103.713,1.12,0.5271,116.16,54.664,2.0
2025-01-01 01:00:00+00:00,CR_06,YB_06,RTG,active,6,452.6,113.138,1.12,0.5271,126.71,59.632,7.0
2025-01-01 01:00:00+00:00,CR_07,YB_07,RTG,active,8,471.0,117.761,1.12,0.5271,131.89,62.069,6.0
2025-01-01 01:00:00+00:00,CR_08,YB_08,RTG,active,7,431.1,107.784,1.12,0.5271,120.72,56.81,4.0
2025-01-01 01:00:00+00:00,CR_09,YB_09,RMG,active,9,456.4,114.11,1.12,0.5271,127.8,60.144,3.0
2025-01-01 01:00:00+00:00,CR_10,YB_10,RTG,idle,0,87.8,21.951,1.12,0.5271,24.59,11.57,5.0
2025-01-01 01:00:00+00:00,CR_11,YB_11,RMG,idle,0,74.0,18.496,1.12,0.5271,20.72,9.749,4.0
2025-01-01 01:00:00+00:00,CR_12,YB_12,RTG,idle,0,90.1,22.519,1.12,0.5271,25.22,11.869,6.0
2025-01-01 01:00:00+00:00,CR_13,YB_01,RTG,idle,0,70.0,17.494,1.12,0.5271,19.59,9.22,13.0
2025-01-01 01:00:00+00:00,CR_14,YB_02,RMG,active,9,438.8,109.704,1.12,0.5271,122.87,57.822,0.0
2025-01-01 01:00:00+00:00,CR_15,YB_03,RMG,active,7,386.8,96.69,1.12,0.5271,108.29,50.963,9.0
2025-01-01 01:00:00+00:00,CR_16,YB_04,RTG,idle,0,98.5,24.617,1.12,0.5271,27.57,12.975,10.0
2025-01-01 01:15:00+00:00,CR_01,YB_01,RMG,active,10,387.5,96.878,1.12,0.5271,108.5,51.061,10.0
2025-01-01 01:15:00+00:00,CR_02,YB_02,RTG,eco,0,50.3,12.565,1.12,0.5271,14.07,6.623,5.0
2025-01-01 01:15:00+00:00,CR_03,YB_03,RMG,idle,0,81.5,20.368,1.12,0.5271,22.81,10.735,16.0
2025-01-01 01:15:00+00:00,CR_04,YB_04,RMG,active,6,313.7,78.414,1.12,0.5271,87.82,41.33,9.0
2025-01-01 01:15:00+00:00,CR_05,YB_05,RTG,idle,0,75.4,18.846,1.12,0.5271,21.11,9.933,5.0
2025-01-01 01:15:00+00:00,CR_06,YB_06,RTG,active,4,439.6,109.909,1.12,0.5271,123.1,57.93,7.0
2025-01-01 01:15:00+00:00,CR_07,YB_07,RTG,active,5,455.1,113.785,1.12,0.5271,127.44,59.973,7.0
2025-01-01 01:15:00+00:00,CR_08,YB_08,RTG,active,9,442.7,110.683,1.12,0.5271,123.96,58.338,4.0
2025-01-01 01:15:00+00:00,CR_09,YB_09,RMG,active,8,461.0,115.261,1.12,0.5271,129.09,60.751,0.0
2025-01-01 01:15:00+00:00,CR_10,YB_10,RTG,active,12,437.2,109.307,1.12,0.5271,122.42,57.613,1.0
2025-01-01 01:15:00+00:00,CR_11,YB_11,RMG,active,6,496.5,124.129,1.12,0.5271,139.02,65.425,3.0
2025-01-01 01:15:00+00:00,CR_12,YB_12,RTG,active,6,454.7,113.681,1.12,0.5271,127.32,59.918,2.0
2025-01-01 01:15:00+00:00,CR_13,YB_01,RTG,active,10,501.1,125.276,1.12,0.5271,140.31,66.029,0.0
2025-01-01 01:15:00+00:00,CR_14,YB_02,RMG,eco,0,47.4,11.843,1.12,0.5271,13.26,6.242,5.0
2025-01-01 01:15:00+00:00,CR_15,YB_03,RMG,active,12,407.3,101.829,1.12,0.5271,114.05,53.671,4.0
2025-01-01 01:15:00+00:00,CR_16,YB_04,RTG,active,9,446.9,111.716,1.12,0.5271,125.12,58.882,0.0
2025-01-01 01:30:00+00:00,CR_01,YB_01,RMG,idle,0,52.0,13.004,1.12,0.5271,14.56,6.854,11.0
2025-01-01 01:30:00+00:00,CR_02,YB_02,RTG,idle,0,57.5,14.387,1.12,0.5271,16.11,7.583,13.0
2025-01-01 01:30:00+00:00,CR_03,YB_03,RMG,eco,0,49.0,12.24,1.12,0.5271,13.71,6.451,6.0
2025-01-01 01:30:00+00:00,CR_04,YB_04,RMG,eco,0,49.7,12.417,1.12,0.5271,13.91,6.545,4.0
2025-01-01 01:30:00+00:00,CR_05,YB_05,RTG,active,7,409.2,102.29,1.12,0.5271,114.56,53.914,5.0
2025-01-01 01:30:00+00:00,CR_06,YB_06,RTG,active,5,447.6,111.897,1.12,0.5271,125.32,58.978,7.0
2025-01-01 01:30:00+00:00,CR_07,YB_07,RTG,active,7,471.0,117.752,1.12,0.5271,131.88,62.064,12.0
2025-01-01 01:30:00+00:00,CR_08,YB_08,RTG,active,8,436.5,109.132,1.12,0.5271,122.23,57.52,2.0
2025-01-01 01:30:00+00:00,CR_09,YB_09,RMG,active,8,458.4,114.59,1.12,0.5271,128.34,60.397,3.0
2025-01-01 01:30:00+00:00,CR_10,YB_10,RTG,idle,0,89.3,22.335,1.12,0.5271,25.01,11.772,7.0
2025-01-01 01:30:00+00:00,CR_11,YB_11,RMG,active,5,488.7,122.176,1.12,0.5271,136.84,64.395,4.0
2025-01-01 01:30:00+00:00,CR_12,YB_12,RTG,active,8,465.8,116.447,1.12,0.5271,130.42,61.376,2.0
2025-01-01 01:30:00+00:00,CR_13,YB_01,RTG,idle,0,69.4,17.352,1.12,0.5271,19.43,9.146,11.0
2025-01-01 01:30:00+00:00,CR_14,YB_02,RMG,active,5,415.8,103.96,1.12,0.5271,116.44,54.794,8.0
2025-01-01 01:30:00+00:00,CR_15,YB_03,RMG,eco,0,51.7,12.923,1.12,0.5271,14.47,6.811,6.0
2025-01-01 01:30:00+00:00,CR_16,YB_04,RTG,eco,0,59.6,14.911,1.12,0.5271,16.7,7.859,4.0
2025-01-01 01:45:00+00:00,CR_01,YB_01,RMG,active,11,392.8,98.195,1.12,0.5271,109.98,51.756,6.0
2025-01-01 01:45:00+00:00,CR_02,YB_02,RTG,idle,0,54.5,13.627,1.12,0.5271,15.26,7.182,10.0
2025-01-01 01:45:00+00:00,CR_03,YB_03,RMG,idle,0,79.7,19.919,1.12,0.5271,22.31,10.499,9.0
2025-01-01 01:45:00+00:00,CR_04,YB_04,RMG,idle,0,77.3,19.331,1.12,0.5271,21.65,10.189,10.0
