crane_id,crane_type,yard_block,rated_active_kw,idle_kw,eco_kw,move_capacity_per_step,min_dwell_min,min_interval_min,ramp_kw_per_min,switch_cost_yuan
CR_01,RMG,YB_01,338.5,62.2,52.4,11,15,10,80.0,1.2
CR_02,RTG,YB_02,515.7,55.9,45.8,11,15,10,80.0,1.2
CR_03,RMG,YB_03,313.2,80.8,53.2,12,15,10,80.0,1.2
CR_04,RMG,YB_04,280.3,77.4,52.6,10,15,10,80.0,1.2
CR_05,RTG,YB_05,370.9,80.8,54.3,8,15,10,80.0,1.2
CR_06,RTG,YB_06,422.3,84.7,75.2,8,15,10,80.0,1.2
CR_07,RTG,YB_07,430.1,82.0,61.4,9,15,10,80.0,1.2
CR_08,RTG,YB_08,397.3,69.1,72.7,10,15,10,80.0,1.2
CR_09,RMG,YB_09,415.9,77.0,48.5,11,15,10,80.0,1.2
CR_10,RTG,YB_10,380.9,86.2,46.5,11,15,10,80.0,1.2
CR_11,RMG,YB_11,464.7,72.7,47.7,9,15,10,80.0,1.2
CR_12,RTG,YB_12,429.1,88.5,60.9,11,15,10,80.0,1.2
CR_13,RTG,YB_01,442.8,74.2,73.7,12,15,10,80.0,1.2
CR_14,RMG,YB_02,391.9,72.5,51.5,9,15,10,80.0,1.2
CR_15,RMG,YB_03,348.5,68.0,51.0,11,15,10,80.0,1.2
CR_16,RTG,YB_04,404.3,98.3,59.2,9,15,10,80.0,1.2
