job_id,crane_id,yard_block,job_type,moves_planned,moves_min_accept,start_time_utc,end_time_utc
JOB_000012,CR_14,YB_02,stacking,19,14,2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00
JOB_000101,CR_08,YB_08,stacking,15,13,2025-01-01 06:00:00+00:00,2025-01-01 06:45:00+00:00
JOB_000039,CR_16,YB_04,stacking,21,18,2025-01-01 07:00:00+00:00,2025-01-01 08:30:00+00:00
JOB_000031,CR_15,YB_03,retrieval,13,8,2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00
JOB_000042,CR_16,YB_04,retrieval,13,8,2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00
JOB_000102,CR_08,YB_08,retrieval,10,8,2025-01-01 07:00:00+00:00,2025-01-01 07:30:00+00:00
JOB_000084,CR_07,YB_07,retrieval,23,20,2025-01-01 07:00:00+00:00,2025-01-01 07:45:00+00:00
JOB_000040,CR_16,YB_04,retrieval,30,26,2025-01-01 08:00:00+00:00,2025-01-01 08:45:00+00:00
JOB_000082,CR_07,YB_07,stacking,22,18,2025-01-01 08:00:00+00:00,2025-01-01 09:15:00+00:00
JOB_000130,CR_11,YB_11,retrieval,29,26,2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00
JOB_000076,CR_06,YB_06,retrieval,20,16,2025-01-01 08:00:00+00:00,2025-01-01 08:45:00+00:00
JOB_000017,CR_02,YB_02,retrieval,23,19,2025-01-01 08:00:00+00:00,2025-01-01 08:30:00+00:00
JOB_000022,CR_03,YB_03,retrieval,16,11,2025-01-01 09:00:00+00:00,2025-01-01 09:15:00+00:00
JOB_000086,CR_07,YB_07,retrieval,24,19,2025-01-01 09:00:00+00:00,2025-01-01 09:45:00+00:00
JOB_000137,CR_12,YB_12,stacking,12,8,2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00
JOB_000043,CR_04,YB_04,stacking,14,12,2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00
JOB_000127,CR_11,YB_11,retrieval,20,17,2025-01-01 09:00:00+00:00,2025-01-01 09:45:00+00:00
JOB_000073,CR_06,YB_06,retrieval,19,16,2025-01-01 10:00:00+00:00,2025-01-01 11:30:00+00:00
JOB_000036,CR_04,YB_04,retrieval,12,9,2025-01-01 10:00:00+00:00,2025-01-01 11:30:00+00:00
JOB_000120,CR_10,YB_10,stacking,10,8,2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00
JOB_000139,CR_12,YB_12,stacking,15,12,2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00
JOB_000069,CR_06,YB_06,shuttle,16,11,2025-01-01 11:00:00+00:00,2025-01-01 12:15:00+00:00
JOB_000029,CR_15,YB_03,shuttle,27,24,2025-01-01 11:00:00+00:00,2025-01-01 12:15:00+00:00
JOB_000070,CR_06,YB_06,retrieval,13,10,2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00
JOB_000094,CR_08,YB_08,retrieval,18,16,2025-01-01 11:00:00+00:00,2025-01-01 11:30:00+00:00
JOB_000078,CR_07,YB_07,stacking,27,22,2025-01-01 11:00:00+00:00,2025-01-01 12:30:00+00:00
JOB_000129,CR_11,YB_11,stacking,18,14,2025-01-01 11:00:00+00:00,2025-01-01 11:30:00+00:00
JOB_000025,CR_15,YB_03,retrieval,20,15,2025-01-01 12:00:00+00:00,2025-01-01 12:30:00+00:00
JOB_000133,CR_11,YB_11,retrieval,26,24,2025-01-01 12:00:00+00:00,2025-01-01 13:30:00+00:00
JOB_000018,CR_02,YB_02,retrieval,13,10,2025-01-01 12:00:00+00:00,2025-01-01 12:15:00+00:00
JOB_000088,CR_07,YB_07,stacking,14,9,2025-01-01 12:00:00+00:00,2025-01-01 13:30:00+00:00
JOB_000058,CR_05,YB_05,stacking,10,8,2025-01-01 12:00:00+00:00,2025-01-01 13:30:00+00:00
JOB_000134,CR_11,YB_11,shuttle,15,13,2025-01-01 12:00:00+00:00,2025-01-01 13:30:00+00:00
JOB_000061,CR_05,YB_05,retrieval,21,19,2025-01-01 12:00:00+00:00,2025-01-01 12:45:00+00:00
JOB_000024,CR_03,YB_03,retrieval,8,8,2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00
JOB_000064,CR_05,YB_05,retrieval,17,15,2025-01-01 12:00:00+00:00,2025-01-01 13:15:00+00:00
JOB_000135,CR_12,YB_12,stacking,11,8,2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00
JOB_000141,CR_12,YB_12,retrieval,12,10,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00
JOB_000059,CR_05,YB_05,stacking,10,8,2025-01-01 13:00:00+00:00,2025-01-01 13:30:00+00:00
JOB_000006,CR_13,YB_01,retrieval,27,22,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00
JOB_000145,CR_12,YB_12,stacking,14,10,2025-01-01 13:00:00+00:00,2025-01-01 13:45:00+00:00
JOB_000138,CR_12,YB_12,stacking,10,8,2025-01-01 13:00:00+00:00,2025-01-01 14:15:00+00:00
JOB_000047,CR_16,YB_04,retrieval,17,13,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00
JOB_000075,CR_06,YB_06,stacking,24,19,2025-01-01 13:00:00+00:00,2025-01-01 13:45:00+00:00
JOB_000077,CR_07,YB_07,stacking,22,20,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00
JOB_000114,CR_10,YB_10,stacking,10,8,2025-01-01 13:00:00+00:00,2025-01-01 14:15:00+00:00
JOB_000100,CR_08,YB_08,retrieval,15,11,2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00
JOB_000124,CR_11,YB_11,retrieval,22,18,2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00
JOB_000128,CR_11,YB_11,stacking,14,10,2025-01-01 14:00:00+00:00,2025-01-01 15:30:00+00:00
JOB_000068,CR_06,YB_06,stacking,15,12,2025-01-01 14:00:00+00:00,2025-01-01 14:15:00+00:00
JOB_000085,CR_07,YB_07,retrieval,15,11,2025-01-01 14:00:00+00:00,2025-01-01 14:45:00+00:00
JOB_000066,CR_05,YB_05,retrieval,18,15,2025-01-01 14:00:00+00:00,2025-01-01 14:30:00+00:00
JOB_000122,CR_11,YB_11,stacking,15,10,2025-01-01 14:00:00+00:00,2025-01-01 14:15:00+00:00
JOB_000057,CR_05,YB_05,retrieval,20,15,2025-01-01 14:00:00+00:00,2025-01-01 14:45:00+00:00
JOB_000063,CR_05,YB_05,stacking,17,14,2025-01-01 14:00:00+00:00,2025-01-01 15:15:00+00:00
JOB_000106,CR_09,YB_09,retrieval,29,24,2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00
JOB_000028,CR_03,YB_03,stacking,13,10,2025-01-01 15:00:00+00:00,2025-01-01 16:15:00+00:00
JOB_000125,CR_11,YB_11,stacking,14,10,2025-01-01 15:00:00+00:00,2025-01-01 15:30:00+00:00
JOB_000144,CR_12,YB_12,retrieval,19,16,2025-01-01 15:00:00+00:00,2025-01-01 15:30:00+00:00
JOB_000095,CR_08,YB_08,retrieval,8,8,2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00
JOB_000019,CR_14,YB_02,stacking,8,8,2025-01-01 15:00:00+00:00,2025-01-01 15:45:00+00:00
JOB_000016,CR_02,YB_02,retrieval,16,14,2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00
JOB_000090,CR_08,YB_08,retrieval,15,13,2025-01-01 15:00:00+00:00,2025-01-01 16:30:00+00:00
JOB_000009,CR_01,YB_01,stacking,27,24,2025-01-01 15:00:00+00:00,2025-01-01 16:30:00+00:00
JOB_000041,CR_04,YB_04,retrieval,14,12,2025-01-01 16:00:00+00:00,2025-01-01 17:30:00+00:00
JOB_000072,CR_06,YB_06,retrieval,8,8,2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00
JOB_000143,CR_12,YB_12,shuttle,11,8,2025-01-01 16:00:00+00:00,2025-01-01 16:45:00+00:00
JOB_000060,CR_05,YB_05,retrieval,17,13,2025-01-01 16:00:00+00:00,2025-01-01 16:45:00+00:00
JOB_000098,CR_08,YB_08,shuttle,24,22,2025-01-01 16:00:00+00:00,2025-01-01 16:45:00+00:00
JOB_000038,CR_04,YB_04,stacking,21,16,2025-01-01 16:00:00+00:00,2025-01-01 17:30:00+00:00
JOB_000062,CR_05,YB_05,retrieval,8,8,2025-01-01 16:00:00+00:00,2025-01-01 16:15:00+00:00
JOB_000091,CR_08,YB_08,shuttle,16,13,2025-01-01 16:00:00+00:00,2025-01-01 16:15:00+00:00
JOB_000109,CR_09,YB_09,stacking,8,8,2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00
JOB_000099,CR_08,YB_08,retrieval,16,13,2025-01-01 17:00:00+00:00,2025-01-01 18:30:00+00:00
JOB_000131,CR_11,YB_11,shuttle,8,8,2025-01-01 17:00:00+00:00,2025-01-01 18:30:00+00:00
JOB_000113,CR_10,YB_10,retrieval,21,16,2025-01-01 17:00:00+00:00,2025-01-01 18:30:00+00:00
JOB_000146,CR_12,YB_12,stacking,17,12,2025-01-01 17:00:00+00:00,2025-01-01 18:15:00+00:00
JOB_000001,CR_01,YB_01,retrieval,12,9,2025-01-01 17:00:00+00:00,2025-01-01 17:30:00+00:00
JOB_000033,CR_03,YB_03,retrieval,9,8,2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00
JOB_000005,CR_01,YB_01,retrieval,16,11,2025-01-01 17:00:00+00:00,2025-01-01 18:30:00+00:00
JOB_000044,CR_16,YB_04,retrieval,16,12,2025-01-01 17:00:00+00:00,2025-01-01 17:30:00+00:00
JOB_000054,CR_05,YB_05,retrieval,20,18,2025-01-01 17:00:00+00:00,2025-01-01 17:30:00+00:00
JOB_000013,CR_02,YB_02,stacking,8,8,2025-01-01 17:00:00+00:00,2025-01-01 17:15:00+00:00
JOB_000116,CR_10,YB_10,stacking,18,14,2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00
JOB_000035,CR_03,YB_03,retrieval,8,8,2025-01-01 18:00:00+00:00,2025-01-01 19:15:00+00:00
JOB_000112,CR_10,YB_10,retrieval,17,13,2025-01-01 18:00:00+00:00,2025-01-01 19:15:00+00:00
JOB_000026,CR_15,YB_03,retrieval,18,14,2025-01-01 18:00:00+00:00,2025-01-01 18:30:00+00:00
JOB_000104,CR_09,YB_09,retrieval,12,9,2025-01-01 18:00:00+00:00,2025-01-01 19:30:00+00:00
JOB_000048,CR_04,YB_04,stacking,30,25,2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00
JOB_000096,CR_08,YB_08,retrieval,13,10,2025-01-01 18:00:00+00:00,2025-01-01 18:45:00+00:00
JOB_000119,CR_10,YB_10,retrieval,26,23,2025-01-01 18:00:00+00:00,2025-01-01 19:30:00+00:00
JOB_000065,CR_05,YB_05,retrieval,28,26,2025-01-01 18:00:00+00:00,2025-01-01 18:45:00+00:00
JOB_000002,CR_01,YB_01,retrieval,8,8,2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00
JOB_000056,CR_05,YB_05,stacking,16,12,2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00
JOB_000003,CR_13,YB_01,retrieval,11,9,2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00
JOB_000136,CR_12,YB_12,retrieval,8,8,2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00
JOB_000037,CR_04,YB_04,retrieval,15,13,2025-01-01 19:00:00+00:00,2025-01-01 20:30:00+00:00
JOB_000081,CR_07,YB_07,retrieval,24,21,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00
JOB_000111,CR_09,YB_09,stacking,8,8,2025-01-01 19:00:00+00:00,2025-01-01 19:45:00+00:00
JOB_000071,CR_06,YB_06,stacking,13,11,2025-01-01 19:00:00+00:00,2025-01-01 19:30:00+00:00
JOB_000032,CR_15,YB_03,stacking,17,14,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00
JOB_000030,CR_03,YB_03,stacking,10,8,2025-01-01 19:00:00+00:00,2025-01-01 20:15:00+00:00
JOB_000027,CR_15,YB_03,shuttle,22,17,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00
