yard_block,feeder_id,priority,quay_distance_m,has_reefer,reefer_ratio,transformer_kva,voltage_v,is_critical,noise_restriction_flag,quiet_hours_start_local,quiet_hours_end_local
YB_01,FD_A,1,440.9,1,0.077,3200,33000,0,0,0,5
YB_02,FD_B,2,251.4,1,0.061,3400,33000,0,0,0,5
YB_03,FD_C,3,176.7,1,0.263,2300,11000,0,0,0,5
YB_04,FD_D,4,221.8,1,0.167,3500,10000,1,0,22,5
YB_05,FD_A,5,312.1,1,0.243,1900,10000,0,0,22,6
YB_06,FD_B,6,303.2,1,0.128,2300,11000,1,0,22,6
YB_07,FD_C,7,306.6,1,0.33,2400,10000,0,0,22,6
YB_08,FD_D,8,435.9,1,0.208,1900,10000,0,1,22,5
YB_09,FD_A,9,297.3,1,0.221,3000,33000,0,0,22,6
YB_10,FD_B,10,412.7,1,0.105,2900,33000,0,1,22,6
YB_11,FD_C,11,379.8,1,0.134,1800,10000,1,0,0,6
YB_12,FD_D,12,307.0,1,0.078,2400,10000,0,1,0,6
