timestamp,ef_kg_kWh,ef_kg_per_kwh,ef_p90
2025-10-11 11:50:00+00:00,0.74,0.74,0.82
2025-10-11 11:55:00+00:00,0.68,0.68,0.76
2025-10-11 12:00:00+00:00,0.62,0.62,0.70
2025-10-11 12:05:00+00:00,0.63,0.63,0.71
2025-10-11 12:10:00+00:00,0.65,0.65,0.73
2025-10-11 12:15:00+00:00,0.65,0.65,0.73
2025-10-11 12:20:00+00:00,0.66,0.66,0.74
2025-10-11 12:25:00+00:00,0.65,0.65,0.73
2025-10-11 12:30:00+00:00,0.63,0.63,0.71
2025-10-11 12:35:00+00:00,0.64,0.64,0.72
2025-10-11 12:40:00+00:00,0.65,0.65,0.73
2025-10-11 12:45:00+00:00,0.64,0.64,0.72
2025-10-11 12:50:00+00:00,0.63,0.63,0.71
2025-10-11 12:55:00+00:00,0.63,0.63,0.71
2025-10-11 13:00:00+00:00,0.62,0.62,0.70
2025-10-11 13:05:00+00:00,0.62,0.62,0.70
2025-10-11 13:10:00+00:00,0.62,0.62,0.70
2025-10-11 13:15:00+00:00,0.62,0.62,0.70
2025-10-11 13:20:00+00:00,0.62,0.62,0.70
2025-10-11 13:25:00+00:00,0.61,0.61,0.69
2025-10-11 13:30:00+00:00,0.60,0.60,0.68
2025-10-11 13:35:00+00:00,0.61,0.61,0.69
2025-10-11 13:40:00+00:00,0.62,0.62,0.70
2025-10-11 13:45:00+00:00,0.63,0.63,0.71
2025-10-11 13:50:00+00:00,0.63,0.63,0.71
2025-10-11 13:55:00+00:00,0.62,0.62,0.70
2025-10-11 14:00:00+00:00,0.60,0.60,0.68
2025-10-11 14:05:00+00:00,0.62,0.62,0.70
2025-10-11 14:10:00+00:00,0.64,0.64,0.72
2025-10-11 14:15:00+00:00,0.63,0.63,0.71
2025-10-11 14:20:00+00:00,0.62,0.62,0.70
2025-10-11 14:25:00+00:00,0.62,0.62,0.70
2025-10-11 14:30:00+00:00,0.61,0.61,0.69
2025-10-11 14:35:00+00:00,0.61,0.61,0.69
2025-10-11 14:40:00+00:00,0.61,0.61,0.69
2025-10-11 14:45:00+00:00,0.61,0.61,0.69
2025-10-11 14:50:00+00:00,0.62,0.62,0.70
2025-10-11 14:55:00+00:00,0.64,0.64,0.72
2025-10-11 15:00:00+00:00,0.66,0.66,0.74
2025-10-11 15:05:00+00:00,0.63,0.63,0.71
