timestamp,price_yuan_kWh,price_yuan_per_kwh,price_p90
2025-10-11 11:50:00+00:00,1.08,1.08,1.20
2025-10-11 11:55:00+00:00,0.90,0.90,1.02
2025-10-11 12:00:00+00:00,0.72,0.72,0.84
2025-10-11 12:05:00+00:00,0.73,0.73,0.85
2025-10-11 12:10:00+00:00,0.74,0.74,0.86
2025-10-11 12:15:00+00:00,0.75,0.75,0.87
2025-10-11 12:20:00+00:00,0.76,0.76,0.88
2025-10-11 12:25:00+00:00,0.74,0.74,0.86
2025-10-11 12:30:00+00:00,0.73,0.73,0.85
2025-10-11 12:35:00+00:00,0.74,0.74,0.86
2025-10-11 12:40:00+00:00,0.74,0.74,0.86
2025-10-11 12:45:00+00:00,0.75,0.75,0.87
2025-10-11 12:50:00+00:00,0.75,0.75,0.87
2025-10-11 12:55:00+00:00,0.75,0.75,0.87
2025-10-11 13:00:00+00:00,0.75,0.75,0.87
2025-10-11 13:05:00+00:00,0.77,0.77,0.89
2025-10-11 13:10:00+00:00,0.78,0.78,0.90
2025-10-11 13:15:00+00:00,0.76,0.76,0.88
2025-10-11 13:20:00+00:00,0.73,0.73,0.85
2025-10-11 13:25:00+00:00,0.74,0.74,0.86
2025-10-11 13:30:00+00:00,0.75,0.75,0.87
2025-10-11 13:35:00+00:00,0.75,0.75,0.87
2025-10-11 13:40:00+00:00,0.76,0.76,0.88
2025-10-11 13:45:00+00:00,0.77,0.77,0.89
2025-10-11 13:50:00+00:00,0.78,0.78,0.90
2025-10-11 13:55:00+00:00,0.76,0.76,0.88
2025-10-11 14:00:00+00:00,0.74,0.74,0.86
2025-10-11 14:05:00+00:00,0.75,0.75,0.87
2025-10-11 14:10:00+00:00,0.76,0.76,0.88
2025-10-11 14:15:00+00:00,0.76,0.76,0.88
2025-10-11 14:20:00+00:00,0.75,0.75,0.87
2025-10-11 14:25:00+00:00,0.74,0.74,0.86
2025-10-11 14:30:00+00:00,0.73,0.73,0.85
2025-10-11 14:35:00+00:00,0.74,0.74,0.86
2025-10-11 14:40:00+00:00,0.74,0.74,0.86
2025-10-11 14:45:00+00:00,0.74,0.74,0.86
2025-10-11 14:50:00+00:00,0.74,0.74,0.86
2025-10-11 14:55:00+00:00,0.75,0.75,0.87
2025-10-11 15:00:00+00:00,0.76,0.76,0.88
2025-10-11 15:05:00+00:00,0.74,0.74,0.86
2025-10-11 15:10:00+00:00,0.72,0.72,0.84
2025-10-11 15:15:00+00:00,0.73,0.73,0.85
2025-10-11 15:20:00+00:00,0.75,0.75,0.87
2025-10-11 15:25:00+00:00,0.75,0.75,0.87
2025-10-11 15:30:00+00:00,0.75,0.75,0.87
2025-10-11 15:35:00+00:00,0.75,0.75,0.87
2025-10-11 15:40:00+00:00,0.74,0.74,0.86
2025-10-11 15:45:00+00:00,0.75,0.75,0.87
2025-10-11 15:50:00+00:00,0.75,0.75,0.87
2025-10-11 15:55:00+00:00,0.76,0.76,0.88
2025-10-11 16:00:00+00:00,0.78,0.78,0.90
2025-10-11 16:05:00+00:00,0.77,0.77,0.89
2025-10-11 16:10:00+00:00,0.77,0.77,0.89
2025-10-11 16:15:00+00:00,0.77,0.77,0.89
2025-10-11 16:20:00+00:00,0.76,0.76,0.88
2025-10-11 16:25:00+00:00,0.77,0.77,0.89
2025-10-11 16:30:00+00:00,0.78,0.78,0.90
2025-10-11 16:35:00+00:00,0.74,0.74,0.86
2025-10-11 16:40:00+00:00,0.71,0.71,0.83
2025-10-11 16:45:00+00:00,0.75,0.75,0.87
2025-10-11 16:50:00+00:00,0.78,0.78,0.90
2025-10-11 16:55:00+00:00,0.77,0.77,0.89
2025-10-11 17:00:00+00:00,0.75,0.75,0.87
2025-10-11 17:05:00+00:00,0.75,0.75,0.87
2025-10-11 17:10:00+00:00,0.75,0.75,0.87
2025-10-11 17:15:00+00:00,0.74,0.74,0.86
2025-10-11 17:20:00+00:00,0.74,0.74,0.86
2025-10-11 17:25:00+00:00,0.74,0.74,0.86
2025-10-11 17:30:00+00:00,0.74,0.74,0.86
2025-10-11 17:35:00+00:00,0.72,0.72,0.84
2025-10-11 17:40:00+00:00,0.70,0.70,0.82
2025-10-11 17:45:00+00:00,0.73,0.73,0.85
2025-10-11 17:50:00+00:00,0.76,0.76,0.88
2025-10-11 17:55:00+00:00,0.75,0.75,0.87
2025-10-11 18:00:00+00:00,0.74,0.74,0.86
2025-10-11 18:05:00+00:00,0.75,0.75,0.87
2025-10-11 18:10:00+00:00,0.76,0.76,0.88
2025-10-11 18:15:00+00:00,0.77,0.77,0.89
2025-10-11 18:20:00+00:00,0.78,0.78,0.90
2025-10-11 18:25:00+00:00,0.75,0.75,0.87
2025-10-11 18:30:00+00:00,0.72,0.72,0.84
2025-10-11 18:35:00+00:00,0.73,0.73,0.85
2025-10-11 18:40:00+00:00,0.73,0.73,0.85
2025-10-11 18:45:00+00:00,0.74,0.74,0.86
2025-10-11 18:50:00+00:00,0.75,0.75,0.87
2025-10-11 18:55:00+00:00,0.94,0.94,1.06
2025-10-11 19:00:00+00:00,1.14,1.14,1.26
2025-10-11 19:05:00+00:00,1.12,1.12,1.24
2025-10-11 19:10:00+00:00,1.09,1.09,1.21
2025-10-11 19:15:00+00:00,1.08,1.08,1.20
2025-10-11 19:20:00+00:00,1.07,1.07,1.19
2025-10-11 19:25:00+00:00,1.06,1.06,1.18
2025-10-11 19:30:00+00:00,1.06,1.06,1.18
2025-10-11 19:35:00+00:00,1.09,1.09,1.21
2025-10-11 19:40:00+00:00,1.12,1.12,1.24
2025-10-11 19:45:00+00:00,1.11,1.11,1.23
