zone_id,L_min,critical,glare_weight,complaint_zone,L_min_lux,critical_flag,d_min_percent,d_max_percent,ramp_percent_per_step,min_dwell_min
ZN_001,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_002,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_003,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_004,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_005,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_006,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_007,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_008,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_009,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_010,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_011,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_012,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_013,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_014,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_015,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_016,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_017,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_018,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_019,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_020,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_021,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_022,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_023,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_024,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_025,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_026,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_027,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_028,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_029,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_030,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_031,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_032,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_033,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_034,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_035,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_036,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_037,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_038,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_039,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_040,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_041,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_042,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_043,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_044,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_045,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_046,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_047,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_048,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_049,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_050,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_051,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_052,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_053,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_054,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_055,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_056,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_057,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_058,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_059,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_060,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_061,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_062,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_063,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_064,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_065,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_066,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_067,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_068,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_069,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_070,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_071,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_072,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_073,20.0,False,0.4,0,20.0,0,10,100,15,15
