timestamp,temperature_2m_c,wind_speed_10m_mps,precipitation_mm,cloud_cover_percent,wave_height_m,sea_level_height_msl,ocean_current_velocity_kmh
2024-01-01T00:00:00Z,6.8,5.34,0.0,65.0,0.38,-1.1,2.7
2024-01-01T01:00:00Z,6.9,5.51,0.0,74.0,0.4,-0.93,1.8
2024-01-01T02:00:00Z,6.9,5.48,0.0,63.0,0.4,-0.48,2.3
2024-01-01T03:00:00Z,6.9,5.3,0.0,44.0,0.42,0.17,3.7
2024-01-01T04:00:00Z,7.0,4.98,0.0,20.0,0.38,0.79,4.4
2024-01-01T05:00:00Z,7.0,4.75,0.0,22.0,0.32,1.21,4.0
2024-01-01T06:00:00Z,7.1,4.61,0.0,9.0,0.28,1.42,2.6
2024-01-01T07:00:00Z,7.1,4.4,0.0,13.0,0.26,1.39,1.2
2024-01-01T08:00:00Z,7.1,4.2,0.0,10.0,0.24,1.11,0.8
2024-01-01T09:00:00Z,7.2,3.83,0.0,10.0,0.22,0.61,2.4
2024-01-01T10:00:00Z,7.1,3.75,0.0,6.0,0.22,0.03,3.5
2024-01-01T11:00:00Z,7.2,3.72,0.0,4.0,0.2,-0.46,3.8
2024-01-01T12:00:00Z,7.2,3.61,0.0,3.0,0.2,-0.76,2.8
2024-01-01T13:00:00Z,7.3,3.61,0.0,3.0,0.2,-0.84,1.7
2024-01-01T14:00:00Z,7.3,3.61,0.0,1.0,0.18,-0.68,0.8
2024-01-01T15:00:00Z,7.3,3.56,0.0,2.0,0.18,-0.28,2.2
2024-01-01T16:00:00Z,7.4,3.11,0.0,0.0,0.16,0.19,3.4
2024-01-01T17:00:00Z,7.4,2.52,0.0,1.0,0.16,0.51,3.6
2024-01-01T18:00:00Z,7.5,2.48,0.0,0.0,0.14,0.66,2.7
2024-01-01T19:00:00Z,7.5,2.55,0.0,23.0,0.14,0.65,1.5
2024-01-01T20:00:00Z,7.6,2.64,0.0,73.0,0.14,0.46,0.6
2024-01-01T21:00:00Z,7.7,2.42,0.0,82.0,0.14,0.09,1.1
2024-01-01T22:00:00Z,7.9,1.77,0.0,2.0,0.14,-0.36,2.2
2024-01-01T23:00:00Z,8.0,2.4,0.0,75.0,0.14,-0.75,2.4
2024-01-02T00:00:00Z,8.1,3.42,0.0,96.0,0.14,-0.93,1.9
2024-01-02T01:00:00Z,8.3,3.94,0.0,27.0,0.14,-0.87,0.9
2024-01-02T02:00:00Z,8.3,3.48,0.0,0.0,0.12,-0.58,1.9
2024-01-02T03:00:00Z,8.3,2.79,0.0,2.0,0.12,-0.06,3.3
2024-01-02T04:00:00Z,8.4,3.1,0.0,7.0,0.12,0.58,4.7
2024-01-02T05:00:00Z,8.5,3.42,0.0,2.0,0.12,1.12,5.0
2024-01-02T06:00:00Z,8.8,3.18,0.0,23.0,0.12,1.42,4.1
2024-01-02T07:00:00Z,8.9,3.86,0.0,100.0,0.12,1.53,2.7
2024-01-02T08:00:00Z,8.9,4.6,0.0,100.0,0.12,1.42,1.3
2024-01-02T09:00:00Z,8.9,4.83,0.0,100.0,0.12,1.11,0.4
2024-01-02T10:00:00Z,8.7,4.03,0.0,100.0,0.2,0.62,1.8
2024-01-02T11:00:00Z,8.6,4.9,0.0,100.0,0.26,0.11,2.8
2024-01-02T12:00:00Z,8.4,6.23,0.0,100.0,0.34,-0.28,2.7
2024-01-02T13:00:00Z,8.2,7.16,0.0,100.0,0.36,-0.47,2.0
2024-01-02T14:00:00Z,8.1,7.47,0.1,100.0,0.4,-0.44,1.0
2024-01-02T15:00:00Z,7.9,7.31,0.4,100.0,0.42,-0.2,1.4
2024-01-02T16:00:00Z,7.6,7.24,0.4,100.0,0.42,0.22,2.6
2024-01-02T17:00:00Z,7.4,7.31,0.5,100.0,0.42,0.62,3.3
2024-01-02T18:00:00Z,7.3,7.17,0.4,100.0,0.42,0.87,3.1
