#{"t_start": 1786603349.229727, "env_id": "None"}
r,l,t
-145.71781,48,0.091796
-146.401931,48,0.14812
-141.645954,48,0.206138
-147.049036,48,0.253252
-151.535355,48,0.309131
-160.065555,48,0.360107
-154.442785,48,0.407136
-143.677466,48,0.452424
-147.96176,48,0.50756
-145.769594,48,0.555871
-138.320589,48,0.604042
-151.895094,48,0.653267
-167.587023,48,0.706809
-139.999763,48,0.753496
-142.959342,48,0.804195
-159.382126,48,0.857382
-187.734442,48,0.904305
-130.521371,48,0.95117
-167.870694,48,1.011632
-150.612706,48,1.059492
-160.232283,48,1.231698
-150.231192,48,2.080792
-127.00285,48,2.87995
-127.286803,48,3.752025
-152.287364,48,4.691595
-167.907924,48,5.616137
-142.459388,48,6.478915
-139.74421,48,7.369132
-179.560589,48,8.266525
-154.741806,48,9.158614
-150.94577,48,10.037643
-124.939978,48,10.992808
-145.843677,48,11.932629
-161.165359,48,12.842818
-148.361755,48,13.773004
-159.500399,48,14.70152
-124.603243,48,15.662522
-157.62531,48,16.574003
-126.318958,48,17.511203
-149.624815,48,18.434345
-148.632226,48,19.353866
-171.45574,48,20.374928
-175.635835,48,21.587132
-175.516698,48,22.560087
-146.480371,48,23.473142
-179.34087,48,24.435764
-146.878408,48,25.374177
-153.558193,48,26.322205
-173.939116,48,27.244425
-164.468185,48,28.209291
-153.227961,48,29.159011
-147.179279,48,30.126218
-160.968626,48,31.07035
-163.50056,48,32.050509
-167.876552,48,32.96046
-161.583764,48,33.948214
-152.293721,48,34.927987
-171.433648,48,35.917997
-137.940619,48,36.861259
-125.332667,48,37.823643
-172.314919,48,38.752244
-168.454969,48,39.725611
-178.977643,48,40.663685
-159.795214,48,41.701349
-119.000961,48,42.653587
-149.60918,48,43.584953
-144.549988,48,44.599644
-128.015669,48,45.564551
-150.423058,48,46.514766
-121.718297,48,47.504256
-133.325128,48,48.474769
-157.314902,48,49.400128
-179.362954,48,50.467528
-187.418597,48,51.563178
-162.869871,48,52.558432
-186.871736,48,53.51483
-124.367015,48,54.485502
-143.372428,48,55.43425
-122.774541,48,56.396321
-122.835067,48,57.324259
-164.264028,48,58.275696
-122.993846,48,59.209326
-175.048448,48,60.192919
-181.909099,48,61.129022
-156.791831,48,62.101645
-137.010817,48,63.049303
-151.547074,48,64.012407
-156.831546,48,65.002103
-173.491617,48,65.970805
-125.436125,48,66.915122
-160.288412,48,67.927792
-166.178362,48,68.858347
-164.673114,48,69.818517
-144.670041,48,70.781488
-131.9544,48,71.767356
-132.869723,48,72.725728
-165.94589,48,73.682003
-154.994784,48,74.600125
-128.23043,48,75.533935
-134.834881,48,76.621828
-135.373068,48,77.591682
-178.172419,48,78.510202
-116.037204,48,79.414378
-159.598325,48,80.350188
-136.805965,48,81.325355
-144.684388,48,82.265515
-177.810549,48,83.207601
-168.722015,48,84.191143
-153.844969,48,85.102834
-147.235719,48,86.060063
-113.2203,48,86.977181
-146.70586,48,87.9656
-126.159983,48,88.956851
-153.449566,48,89.911364
-174.683526,48,90.808152
-163.195651,48,91.917323
-121.372191,48,92.865316
-167.871824,48,93.811528
-177.545304,48,94.736857
-159.913262,48,95.887895
-159.638349,48,96.78991
-144.894972,48,97.948946
-175.034625,48,98.886427
-175.636915,48,99.849134
-170.925832,48,100.793435
-168.42824,48,101.783542
-126.65368,48,102.73457
-135.052324,48,103.759447
-139.337196,48,104.718916
-133.499362,48,105.704959
-134.020652,48,106.650521
-124.270131,48,107.615125
-133.908324,48,108.779741
-131.855371,48,109.813454
-144.530664,48,110.843204
-141.971997,48,111.95364
-139.981918,48,112.878257
-121.302558,48,113.925002
-123.046686,48,114.858974
-172.212944,48,115.854392
-158.060523,48,116.782082
-147.402713,48,117.744658
-125.328488,48,118.6713
-155.351844,48,119.649933
-151.1537,48,120.633846
-142.048737,48,121.581364
-139.553971,48,122.534415
-128.208537,48,123.479597
-151.563592,48,124.524295
-129.346574,48,125.527379
-152.751106,48,126.481771
-133.643842,48,127.417107
-158.586691,48,128.419351
-164.307919,48,129.362815
-128.339586,48,130.32765
-128.283592,48,131.299194
-141.511472,48,132.261391
-129.93289,48,133.216489
-139.629895,48,134.236172
-163.453115,48,135.180158
-163.088108,48,136.20143
-135.917753,48,137.153833
-103.768334,48,138.124399
-124.779313,48,139.065194
-121.153358,48,140.03241
-130.031501,48,140.977152
-150.982251,48,141.950188
-148.436872,48,142.914231
-180.134697,48,143.87328
-103.482462,48,144.859405
-122.194499,48,145.817873
-129.99986,48,146.744372
-117.590221,48,147.735197
-131.739781,48,148.662403
-183.536253,48,149.612089
-164.750776,48,150.525211
-135.956582,48,151.436632
-134.47681,48,152.396674
-140.766984,48,153.336787
-135.440783,48,154.310898
-100.530448,48,155.251603
-106.951167,48,156.216254
-163.391189,48,157.129244
-116.62084,48,158.0607
-102.833185,48,158.975672
-137.217199,48,159.928186
-114.660849,48,160.839072
-146.991685,48,161.79953
-137.99126,48,162.719142
-133.616931,48,163.644564
-130.226462,48,164.582016
-167.360252,48,165.568243
-141.073224,48,166.474042
-105.142033,48,167.387702
-133.052094,48,168.324258
-104.843838,48,169.254014
-136.550964,48,170.236726
-118.834626,48,171.314371
-115.642796,48,172.373728
-129.361056,48,173.292019
-108.958411,48,174.209809
-143.458576,48,175.133101
-154.657359,48,176.076557
-138.388442,48,177.008297
-163.393951,48,177.93353
-100.40061,48,178.826996
-132.623338,48,179.762513
-142.162458,48,180.692796
