#{"t_start": 1788750264.632826, "env_id": "None"}
r,l,t
-16.668669,168,1.399542
-21.475587,168,1.523312
-17.744082,168,1.649729
-19.568729,168,1.776578
-18.384473,168,1.903465
-18.264034,168,2.03961
-19.36452,168,2.313583
-15.468531,168,2.596645
-14.993752,168,2.884208
-15.629565,168,3.155695
-15.080269,168,3.425468
-16.18823,168,3.694562
-14.191079,168,3.973266
-11.375928,168,4.247363
-11.396686,168,4.530265
-11.075093,168,4.80945
-9.624151,168,5.089673
-10.357442,168,5.379962
-9.844012,168,5.670974
-8.728952,168,5.966435
-12.283244,168,6.26233
-6.884913,168,6.576957
-5.708241,168,6.889933
-9.884251,168,7.192069
-6.639088,168,7.493147
-11.96078,168,7.796596
-6.604437,168,8.116054
-4.555955,168,8.418391
-4.745826,168,8.718643
-7.846509,168,9.03585
-4.959699,168,9.335563
-6.906934,168,9.633559
-13.765216,168,9.940706
-2.212706,168,10.248542
-4.782789,168,10.559217
-9.523646,168,10.892257
-6.143896,168,11.188512
-3.553065,168,11.498938
-2.382659,168,11.817807
-3.99991,168,12.121809
-2.393653,168,12.417801
-5.190185,168,12.721461
-2.28799,168,13.024298
-3.106919,168,13.322259
-2.64467,168,13.623141
-4.116759,168,13.930013
-3.622364,168,14.236287
-2.315954,168,14.545878
-3.631155,168,14.850884
-3.688427,168,15.159057
-2.013077,168,15.459948
-3.524717,168,15.767857
-1.47344,168,16.088325
-1.855431,168,16.413311
-2.090937,168,16.71343
-2.453337,168,17.01096
-3.145674,168,17.31071
-1.263197,168,17.60777
-1.133507,168,17.908006
-1.959285,168,19.428773
-0.712608,168,19.744687
-2.572211,168,20.045612
-2.141407,168,20.351012
-1.425773,168,20.679576
-1.709589,168,21.005
-1.670646,168,21.306134
-0.714399,168,21.612139
-0.982084,168,21.914633
-1.140418,168,22.232798
-1.852956,168,22.556385
-1.144377,168,22.877473
-1.790208,168,23.182287
-0.323847,168,23.503823
-1.626436,168,23.808583
-2.400958,168,24.122526
-1.076538,168,24.421427
-0.355033,168,24.721862
-1.336859,168,25.023586
-1.489047,168,25.330688
-1.155078,168,25.627199
-0.751602,168,25.932752
-0.698142,168,26.234941
-1.265221,168,26.542843
-0.682029,168,26.860114
-0.682449,168,27.161387
-0.742623,168,27.461831
-0.921605,168,27.764876
-1.11317,168,28.068621
-1.041339,168,28.372735
-0.806682,168,28.670408
-1.800051,168,28.979353
-0.989988,168,29.284787
-0.241297,168,29.584257
-1.718117,168,29.891312
-0.585969,168,30.199433
-1.297207,168,30.504513
-1.563703,168,30.82035
-0.748353,168,31.137844
-1.528912,168,31.439653
-0.036793,168,31.737877
-1.538573,168,32.032248
-1.372171,168,32.33078
-1.181507,168,32.625309
-1.148316,168,32.934168
-0.916634,168,33.241792
-0.857177,168,33.541448
-2.220081,168,33.843523
-0.865085,168,34.147437
-3.250784,168,34.451064
-0.807928,168,34.753174
-1.031187,168,35.075354
-1.138754,168,35.385997
-1.095089,168,35.702076
-2.470973,168,36.016614
-2.89422,168,36.308764
-0.985786,168,36.598626
-2.004858,168,36.89765
-1.496545,168,37.188341
-0.507794,168,37.483494
-0.649272,168,38.989782
-1.065719,168,39.282174
-0.687761,168,39.571974
-1.369217,168,39.869848
-1.612291,168,40.177405
-1.664881,168,40.471118
-2.133571,168,40.768132
-1.079734,168,41.067325
-0.600539,168,41.370637
-4.049454,168,41.661989
-1.288995,168,41.961089
-1.108461,168,42.258986
-1.083208,168,42.554312
-1.475906,168,42.852536
-2.615672,168,43.145811
-2.425227,168,43.437228
-0.318413,168,43.730701
-0.644712,168,44.025959
-1.212461,168,44.32042
-0.434183,168,44.611766
-0.342098,168,44.90843
-0.415703,168,45.203965
-1.589508,168,45.497329
-2.145315,168,45.791604
-1.472614,168,46.094571
-2.496019,168,46.403765
-0.957691,168,46.701251
-0.642896,168,46.998081
-0.268658,168,47.292243
-0.629729,168,47.586918
-1.078769,168,47.884209
-0.701234,168,48.288612
-3.419982,168,48.582989
-1.264851,168,48.893233
-0.775098,168,49.230431
-1.496911,168,49.524893
-0.510052,168,49.822419
-1.47437,168,50.122521
-0.547117,168,50.426344
-0.902279,168,50.731264
-0.286523,168,51.028404
-0.511952,168,51.335768
-1.276587,168,51.627911
-1.180828,168,51.920288
-1.707105,168,52.211712
-0.720918,168,52.506783
-0.669685,168,52.79819
-1.176363,168,53.093303
-0.993818,168,53.383768
-2.199092,168,53.677457
-1.617338,168,53.975917
-0.251094,168,54.274524
-0.595513,168,54.585068
-1.667303,168,54.882021
-1.452524,168,55.172075
-1.295099,168,55.464446
-1.248692,168,55.758515
-0.903606,168,56.052707
0.378992,168,56.347959
-1.661401,168,57.83283
-2.115664,168,58.130376
-1.980701,168,58.423099
-0.870442,168,58.7158
-0.943216,168,59.02021
-0.488578,168,59.316888
-0.86042,168,59.611442
-0.74236,168,59.903329
-0.943697,168,60.195566
-1.130575,168,60.490778
-1.582033,168,60.78117
-2.225401,168,61.077024
-1.652739,168,61.393338
-1.326232,168,61.694961
-0.640999,168,61.993312
-2.199196,168,62.289941
-2.015445,168,62.633765
-1.184194,168,62.925608
-1.389755,168,63.216381
-2.27335,168,63.505646
-1.587364,168,63.793507
-1.290765,168,64.080104
-1.81553,168,64.368134
-2.014441,168,64.654412
-1.325824,168,64.941948
-1.157069,168,65.230348
-2.476496,168,65.522746
-1.290722,168,65.820473
-1.8584,168,66.113809
-2.548654,168,66.406705
-2.12819,168,66.703835
-2.283034,168,66.997361
-1.315271,168,67.289047
-2.457461,168,67.578275
-1.848016,168,67.873438
-2.968371,168,68.165696
-1.583067,168,68.471046
-2.160387,168,68.757504
-1.505139,168,69.044462
-1.036279,168,69.337076
-2.507051,168,69.629544
-2.497927,168,69.917594
-1.628247,168,70.203064
-1.412319,168,70.491628
-1.534795,168,70.780571
-1.419508,168,71.071139
-1.646143,168,71.359437
-0.884171,168,71.665675
-1.089163,168,71.970388
-2.474591,168,72.262489
-2.55149,168,72.557479
-1.559785,168,72.856848
-1.143769,168,73.146759
-1.819339,168,73.434931
-2.58512,168,73.722288
-2.130167,168,74.010741
-1.489449,168,74.29894
-1.387517,168,74.588456
-1.789447,168,74.874141
-2.883354,168,75.161502
-0.943499,168,76.635112
-1.40263,168,76.924953
-0.840708,168,77.217213
-1.883932,168,77.512301
-1.975229,168,77.81213
-1.519743,168,78.10209
-1.426495,168,78.393271
-1.711933,168,78.683576
-1.18282,168,78.975065
-1.329148,168,79.265236
-2.653287,168,79.558469
-2.439754,168,79.852385
-1.8037,168,80.144399
-2.147396,168,80.438067
-1.193156,168,80.729816
-2.698323,168,81.021484
-2.445165,168,81.325268
-1.902526,168,81.658981
-1.08088,168,81.99749
-4.316674,168,82.298252
-3.891385,168,82.593316
-1.682255,168,82.890461
-2.42232,168,83.181566
-1.034717,168,83.47763
-3.004844,168,83.770439
-1.479112,168,84.058055
-1.891938,168,84.354363
-1.33632,168,84.643812
-1.287964,168,84.935042
-1.800233,168,85.228391
-0.138387,168,85.522694
-2.180308,168,85.814474
-1.505292,168,86.106691
-2.091914,168,86.394468
-1.898967,168,86.685106
-1.903352,168,86.974944
-0.979434,168,87.264623
-0.893576,168,87.555284
-2.251603,168,87.84665
-1.670105,168,88.134366
-1.535761,168,88.422168
-0.751122,168,88.713383
-1.484373,168,89.004194
-1.738204,168,89.299115
-0.761583,168,89.590685
-2.035249,168,89.88423
-2.490391,168,90.174258
-1.584658,168,90.464265
-0.93283,168,90.754224
-1.898542,168,91.048346
-1.257249,168,91.371893
-1.417832,168,91.662795
-1.456225,168,91.960986
-2.203924,168,92.253954
-1.060298,168,92.544156
-1.456955,168,92.835239
-1.847261,168,93.128409
-1.540591,168,93.424117
-2.691826,168,93.721025
-2.288821,168,95.341363
-2.498354,168,95.629792
-1.388585,168,95.919043
-1.167388,168,96.207893
-1.854995,168,96.501882
-1.679415,168,96.800902
-1.797241,168,97.092555
-1.954475,168,97.383157
-0.736331,168,97.674968
-0.806159,168,97.97018
-1.151679,168,98.274969
-1.727535,168,98.573891
-1.33228,168,98.865595
-1.325603,168,99.153296
-1.155982,168,99.442528
-1.844264,168,99.732927
-1.230239,168,100.02367
-0.960181,168,100.311955
-1.179591,168,100.60303
-1.187164,168,100.894153
-1.28207,168,101.182698
-1.314938,168,101.472867
-1.121161,168,101.761634
-0.807234,168,102.060882
-0.834068,168,102.359252
-1.455514,168,102.652202
-0.91642,168,102.94295
-1.418354,168,103.239222
-1.409566,168,103.534216
-1.229863,168,103.826288
-1.193017,168,104.119436
-1.080876,168,104.413376
-1.529306,168,104.70021
-2.409261,168,104.990128
-2.736949,168,105.276388
-0.887323,168,105.565763
-0.695767,168,105.859445
-0.405037,168,106.147643
-1.700642,168,106.43868
-1.509636,168,106.734762
-1.408155,168,107.031463
-1.695774,168,107.324984
-0.8886,168,107.619669
-3.138719,168,107.90998
-1.452706,168,108.20129
-1.37267,168,108.516119
-0.616018,168,108.806051
-2.326839,168,109.096464
-3.509291,168,109.391148
-1.649723,168,109.687399
-0.992002,168,109.989575
-1.6555,168,110.283901
-2.13273,168,110.571377
-2.663604,168,110.860244
-1.948736,168,111.151242
-0.762349,168,111.439753
-1.219897,168,111.727956
-1.491458,168,112.026968
-1.096268,168,112.316646
-1.809759,168,112.607529
