#{"t_start": 1788749726.2217238, "env_id": "None"}
r,l,t
-33.452938,168,3.097479
-44.709859,168,3.242218
-34.616261,168,3.387151
-38.282254,168,3.530232
-38.569073,168,3.672847
-41.389585,168,3.863781
-48.131273,168,4.539164
-35.526408,168,5.20032
-37.365581,168,5.899275
-19.810229,168,6.562164
-16.206576,168,7.2192
-6.831783,168,7.879564
-5.409029,168,8.55311
-4.345536,168,9.213222
-3.028832,168,9.864383
-4.677725,168,10.515363
-4.191311,168,11.16888
-2.885876,168,11.827063
-3.711312,168,12.547901
-3.492588,168,13.215153
-3.36279,168,13.873336
-3.411861,168,14.522862
-3.59183,168,15.183046
-2.276653,168,15.846849
-2.606919,168,16.519234
-3.507719,168,17.19435
-3.416365,168,17.84532
-5.102181,168,18.508516
-1.801944,168,19.158769
-2.087957,168,21.455787
-2.652972,168,22.161418
-2.831597,168,22.851849
-2.535065,168,23.502407
-3.12141,168,24.181678
-3.5023,168,24.838642
-3.076884,168,25.495544
-2.640262,168,26.147826
-3.087862,168,26.804515
-2.019642,168,27.472928
-2.494244,168,28.134726
-2.642526,168,28.801219
-1.664168,168,29.573868
-1.599193,168,30.222153
-1.794405,168,30.868696
-2.571094,168,31.52468
-2.513801,168,32.207752
-2.415575,168,32.88097
-3.076715,168,33.536966
-2.079691,168,34.201983
-2.543403,168,34.867389
-2.831506,168,35.522387
-2.254257,168,36.206416
-3.444407,168,36.887015
-2.464687,168,37.551814
-2.389885,168,38.215102
-1.644332,168,38.875909
-1.664809,168,39.568093
-2.332001,168,40.238975
-2.685963,168,40.941865
-2.792341,168,43.145386
-2.500475,168,43.803056
-2.613857,168,44.501344
-2.452051,168,45.169763
-1.32679,168,45.829325
-1.52336,168,46.488192
-1.267787,168,47.147412
-2.006336,168,47.801794
-2.385964,168,48.463478
-1.860392,168,49.120078
-2.318192,168,49.765497
-2.567099,168,50.413256
-1.603166,168,51.074556
-2.567688,168,51.723209
-2.383398,168,52.411272
-2.134364,168,53.096284
-2.24343,168,53.756089
-0.932579,168,54.450237
-2.774788,168,55.124835
-1.722218,168,55.791723
-1.644882,168,56.475331
-1.718771,168,57.148541
-1.923956,168,57.807318
-2.359978,168,58.467353
-1.657298,168,59.124219
-2.468252,168,59.79988
-2.014925,168,60.485681
-2.564904,168,61.165049
-2.363923,168,61.826429
-1.837931,168,62.485825
-1.856858,168,64.706932
-1.563197,168,65.380289
-2.664105,168,66.048317
-1.725246,168,66.701636
-1.794709,168,67.352593
-1.364973,168,68.018959
-2.195177,168,68.694203
-2.304958,168,69.351638
-1.809641,168,70.004863
-1.513558,168,70.652155
-1.074141,168,71.305984
-2.383921,168,71.964563
-2.147967,168,72.645372
-1.748617,168,73.327362
-2.7862,168,73.978119
-1.877075,168,74.630121
-1.022854,168,75.275165
-1.959266,168,75.92368
-1.396651,168,76.607378
-1.806979,168,77.262992
-2.039452,168,77.914489
-2.185726,168,78.583128
-1.980974,168,79.260567
-1.508458,168,79.916103
-2.179861,168,80.60976
-1.553521,168,81.326242
-2.426877,168,81.983209
-2.445889,168,82.660149
-1.923147,168,83.336882
-2.182015,168,84.001373
-1.84769,168,86.170736
-2.529679,168,86.835494
-1.534377,168,87.504181
-1.653764,168,88.170274
-2.01534,168,88.825658
-1.568046,168,89.503063
-2.066028,168,90.159401
-2.039271,168,90.814783
-1.996762,168,91.473456
-1.411601,168,92.159495
-1.967988,168,92.841794
-1.33774,168,93.522163
-1.648699,168,94.181584
-2.192837,168,94.841531
-1.478556,168,95.500687
-2.109941,168,96.184834
-2.407509,168,96.86615
-1.793385,168,97.529806
-1.359307,168,98.187432
-1.720811,168,98.841591
-2.254909,168,99.520941
-1.390793,168,100.200778
-1.589807,168,100.882077
-1.807055,168,101.550147
-1.046838,168,102.237023
-1.56581,168,102.892218
-1.999597,168,103.56147
-2.138367,168,104.241027
-1.686823,168,104.913637
-1.301166,168,107.091564
-1.927738,168,107.74744
-0.768526,168,108.44027
-1.492457,168,109.114612
-2.49731,168,109.960179
-1.274727,168,110.623062
-1.566957,168,111.283688
-1.356048,168,111.939622
-1.830154,168,112.613912
-1.91668,168,113.277702
-1.688211,168,113.951616
-0.904633,168,114.608076
-1.873443,168,115.271901
-2.750294,168,115.939796
-1.274965,168,116.667609
-2.362489,168,117.329592
-1.184809,168,117.988609
-2.152746,168,118.632542
-1.209226,168,119.357953
-1.945284,168,120.03676
-2.063858,168,120.728622
-1.117852,168,121.376276
-1.083649,168,122.019757
-1.333673,168,122.66976
-1.640855,168,123.325333
-2.148469,168,123.994075
-2.02459,168,124.660416
-1.004096,168,125.341051
-1.91435,168,126.070261
-1.809419,168,126.745022
