#{"t_start": 1788749854.181271, "env_id": "None"}
r,l,t
-410.672813,48,2.863435
-466.681409,48,3.014016
-299.958517,48,3.162106
-369.782243,48,3.314492
-436.588049,48,3.467492
-349.236087,48,3.634094
-319.517006,48,3.795375
-488.712713,48,3.94834
-373.387202,48,4.12193
-433.93279,48,4.315447
-369.511127,48,4.472064
-331.076675,48,4.656365
-412.575352,48,4.825074
-428.026366,48,4.980991
-425.986601,48,5.141469
-400.60463,48,5.32139
-363.049333,48,5.518091
-408.516141,48,5.742493
-475.803283,48,5.911804
-396.415269,48,6.074749
-477.378838,48,6.257321
-217.963693,48,6.617047
-178.423058,48,6.972506
-123.566307,48,7.320286
-171.317464,48,7.656461
-164.064187,48,8.007212
-209.364177,48,8.360166
-180.049433,48,8.710983
-136.125798,48,9.060488
-182.872156,48,9.401067
-145.738959,48,9.751583
-209.281721,48,10.139844
-192.1237,48,10.595655
-178.17729,48,11.072288
-161.217774,48,11.476666
-118.597631,48,11.823313
-120.280669,48,12.225116
-304.801098,48,12.579557
-152.193897,48,12.950582
-140.847539,48,13.367449
-202.079996,48,13.726056
-147.085771,48,14.065172
-182.473238,48,14.412159
-240.762162,48,14.78206
-140.531647,48,15.15574
-240.116133,48,15.500286
-118.383187,48,15.900374
-157.186347,48,16.290298
-206.169768,48,16.644842
-192.655456,48,17.056103
-109.991003,48,17.413854
-159.978136,48,17.759242
-151.164072,48,18.104666
-375.594383,48,18.499544
-160.088248,48,18.830898
-249.299074,48,19.162498
-141.84661,48,19.494759
-308.57901,48,19.828079
-294.453438,48,20.172002
-309.664002,48,20.510565
-171.245543,48,20.847094
-170.896896,48,21.185594
-202.751074,48,21.515551
-171.274006,48,21.849925
-177.799714,48,22.190771
-194.759747,48,22.518307
-187.332084,48,22.84877
-161.318323,48,23.177877
-157.271357,48,23.520146
-175.260909,48,23.870534
-199.87894,48,24.214851
-246.668386,48,24.553194
-143.405341,48,24.88479
-271.884142,48,25.219778
-132.534937,48,25.547643
-179.922483,48,25.886026
-168.506396,48,26.238243
-102.56425,48,26.570919
-171.1502,48,26.89951
-306.890499,48,27.246867
-200.057388,48,27.77375
-132.904792,48,28.150444
-168.608925,48,28.500276
-128.132909,48,28.832955
-198.633148,48,29.171907
-133.259969,48,29.504247
-217.204706,48,29.837237
-168.253021,48,30.169782
-227.715599,48,30.503239
-207.444766,48,30.844983
-209.152724,48,31.194684
-176.259267,48,31.522162
-178.879418,48,31.86234
-140.496136,48,32.21285
-234.840505,48,32.565285
-226.770413,48,32.907938
-231.555257,48,33.254819
-215.947327,48,33.614829
-211.97864,48,34.054259
-236.218061,48,34.385703
-247.667551,48,34.797205
-170.549296,48,35.165279
-282.256385,48,35.519845
-160.299546,48,35.90151
-317.190127,48,39.108842
-172.953925,48,39.432019
-365.716443,48,39.755989
-134.423647,48,40.095232
-190.342273,48,40.449022
-116.09428,48,40.782967
-136.121198,48,41.111497
-137.38308,48,41.439938
-177.800241,48,41.76572
-181.594896,48,42.136554
-297.396362,48,42.464417
-133.709619,48,42.795617
-100.55992,48,43.12493
-126.660796,48,43.450311
-158.825458,48,43.775296
-119.489694,48,44.10642
-170.254392,48,44.443028
-195.699016,48,44.794769
-295.256769,48,45.129013
-193.836252,48,45.458604
-200.267259,48,45.783165
-151.169278,48,46.121058
-162.639031,48,46.492736
-121.718032,48,46.817169
-121.032014,48,47.14384
-167.588745,48,47.470915
-239.769324,48,47.800878
-221.513532,48,48.134505
-154.39446,48,48.467235
-316.53724,48,48.801488
-226.383809,48,49.132829
-131.616354,48,49.464111
-140.482871,48,49.793034
-157.729682,48,50.118993
-176.915666,48,50.470509
-228.880824,48,50.855736
-222.013884,48,51.18152
-225.786772,48,51.508
-161.261783,48,51.849669
-108.607335,48,52.208707
-185.709094,48,52.547586
-266.507035,48,52.879962
-244.968776,48,53.210146
-319.119352,48,53.553762
-143.090346,48,53.896776
-221.513243,48,54.225949
-184.027552,48,54.549726
-134.12215,48,54.884333
-169.200556,48,55.226177
-239.051488,48,55.558715
-277.417158,48,55.908537
-427.129237,48,56.265735
-124.976053,48,56.646631
-190.981813,48,57.003429
-177.713869,48,57.34725
-251.142894,48,57.69138
-112.459827,48,58.028264
-179.366479,48,58.399634
-317.734714,48,58.747202
-141.582605,48,59.106117
-197.845952,48,59.444563
-258.631919,48,59.789726
-194.472316,48,60.163088
-136.492995,48,60.546852
-100.991255,48,60.942479
-118.313378,48,61.31266
-299.147765,48,61.695468
-341.842892,48,62.034946
-166.698473,48,62.376658
-110.9818,48,62.717014
-160.454832,48,63.049143
-184.866587,48,63.386759
-182.334578,48,63.724981
-168.574091,48,64.064646
-193.311214,48,64.41772
-157.617966,48,64.758282
-134.445973,48,65.096818
-188.47332,48,65.434195
-326.85241,48,65.767884
-196.537513,48,66.094487
-256.394104,48,66.425143
-213.926067,48,66.762118
-173.936635,48,67.106687
-150.745139,48,67.434325
-160.616267,48,67.762164
-208.16079,48,68.107077
-269.576348,48,68.481362
-237.606666,48,68.835194
-305.343648,48,69.175417
-225.340278,48,69.503265
-187.115229,48,69.83213
-128.673151,48,70.169563
-180.433841,48,70.505544
-182.705175,48,70.833403
-205.865141,48,71.165001
-130.858279,48,71.489968
-167.599142,48,71.814927
-234.629573,48,72.147197
-278.907368,48,72.505166
-117.559189,48,72.852209
-171.420142,48,73.185162
-306.787283,48,73.521167
-317.265083,48,73.868105
-168.615614,48,74.198556
-219.728365,48,77.224022
-174.7821,48,77.549114
-197.762536,48,77.879166
-228.68179,48,78.212737
-147.208008,48,78.553838
-192.834888,48,78.877038
-263.794685,48,79.19894
-217.082378,48,79.526692
-198.498522,48,79.854208
-224.154176,48,80.192229
-162.780737,48,80.526985
-569.15173,48,80.859158
-190.934928,48,81.187984
-184.550683,48,81.51821
-423.632309,48,81.894165
-187.369241,48,82.220296
-210.971497,48,82.542136
-293.091265,48,82.866645
-247.329183,48,83.193226
-304.886793,48,83.521984
-201.644685,48,83.848806
-216.781206,48,84.1808
-251.537411,48,84.510928
-251.493813,48,84.833195
-270.261887,48,85.162304
-260.994884,48,85.506208
-144.167065,48,85.832403
-142.32818,48,86.154523
-206.211483,48,86.482078
-186.774514,48,86.821832
-263.97206,48,87.159495
-195.887753,48,87.498176
-224.524112,48,87.833429
-234.151922,48,88.180746
-158.560636,48,88.706027
-123.081829,48,89.028339
-243.082835,48,89.349551
-137.644569,48,89.683492
-299.268173,48,90.004277
-181.270153,48,90.327458
-146.779806,48,90.655704
-186.923926,48,90.977928
-146.256612,48,91.295681
-172.577668,48,91.612645
-173.697021,48,91.936181
-185.764229,48,92.277019
-191.824295,48,92.600449
-200.489891,48,92.926601
