#{"t_start": 1788749730.910178, "env_id": "None"}
r,l,t
6.580689,384,0.60033
-2.133228,384,0.850862
2.517792,384,1.571673
111.250003,384,2.965632
158.586798,384,4.399084
158.233966,384,5.783536
157.280783,384,7.188361
161.682625,384,8.657302
158.297926,384,10.041041
158.694166,384,11.446637
163.891994,384,12.853978
159.041089,384,14.244143
162.693704,384,15.63993
159.971925,384,17.530089
164.156103,384,18.928952
163.89045,384,20.347041
162.525701,384,21.739199
162.486248,384,23.158275
164.741354,384,24.676995
160.876749,384,26.041742
160.649757,384,27.433421
160.662809,384,28.849571
164.414229,384,30.255833
166.005136,384,31.681043
162.782648,384,33.092517
163.955144,384,34.485494
162.630318,384,36.34587
162.254051,384,37.762766
165.183277,384,39.192
163.441727,384,40.638194
165.849275,384,42.035117
165.048068,384,43.425251
160.873255,384,44.813433
162.689548,384,46.194571
164.252928,384,47.578597
158.349379,384,49.02687
164.064698,384,50.470497
161.783057,384,51.886877
162.930464,384,53.286743
165.79753,384,55.064959
160.619148,384,56.509024
165.904418,384,57.903687
163.853813,384,59.325866
164.167509,384,60.769708
161.745522,384,62.169879
162.982518,384,63.575391
161.588619,384,64.976868
165.203083,384,66.355926
163.732802,384,67.761388
162.525678,384,69.179515
167.45508,384,70.550379
162.432993,384,71.96542
162.481753,384,73.728774
164.530673,384,75.147935
165.814428,384,76.646325
165.401536,384,78.072698
168.290474,384,79.483439
167.602101,384,80.880908
168.035218,384,82.297334
162.543973,384,83.699639
165.596138,384,85.113808
164.981836,384,86.507664
163.939737,384,87.950002
161.024953,384,89.373809
164.671428,384,90.76422
160.636916,384,92.591102
166.671844,384,93.982545
165.727829,384,95.410078
167.172643,384,96.847182
165.217722,384,98.270412
166.246594,384,99.701118
158.724689,384,101.108812
166.89738,384,102.528286
160.573217,384,103.973213
165.843722,384,105.552413
163.005411,384,106.952056
162.334321,384,108.374916
164.177373,384,109.795753
