#{"t_start": 1788749955.74087, "env_id": "None"}
r,l,t
-38.152614,168,0.968655
-28.47796,168,1.052632
-40.045252,168,1.138836
-28.993469,168,1.223841
-31.500809,168,1.306606
-34.64514,168,1.397758
-24.095695,168,1.618412
-26.738923,168,1.840313
-25.017286,168,2.067465
-32.038743,168,2.306858
-31.012656,168,2.53904
-27.907952,168,2.780019
-30.756013,168,3.014876
-35.509785,168,3.25346
-36.392576,168,3.49632
-35.259539,168,3.733713
-29.614689,168,3.975656
-33.194745,168,4.217498
-26.497048,168,4.45974
-31.725362,168,4.704343
-31.928483,168,4.950364
-29.55168,168,5.202603
-30.291669,168,5.468173
-27.551823,168,5.72429
-29.41464,168,5.984916
-19.924038,168,6.255798
-19.287679,168,6.520731
-34.217861,168,6.782508
-30.201218,168,7.041206
-16.609619,168,7.300508
-30.193118,168,7.557653
-21.342327,168,7.811561
-21.108637,168,8.067008
-28.501801,168,8.323024
-22.361738,168,8.58308
-18.43251,168,8.853072
-25.508184,168,9.108583
-22.152953,168,9.366692
-20.660854,168,9.640759
-20.053252,168,9.925314
-16.231677,168,10.211306
-31.144229,168,10.480509
-20.463489,168,10.737786
-16.725465,168,10.991653
-19.822326,168,11.25204
-21.878598,168,11.509884
-21.50096,168,11.763765
-14.834319,168,12.019793
-17.780345,168,12.27564
-18.791986,168,12.53727
-24.532568,168,12.79381
-29.68386,168,13.048703
-25.229168,168,13.3061
-18.725892,168,13.56843
-17.130584,168,13.832044
-15.591647,168,14.085229
-22.193996,168,14.344256
-24.278865,168,14.608154
-15.618859,168,14.872747
-24.152419,168,16.028395
-25.43747,168,16.288274
-16.069749,168,16.556582
-15.159121,168,16.842432
-17.011021,168,17.107044
-16.347196,168,17.383854
-20.83524,168,17.660931
-26.609166,168,17.934653
-23.159593,168,18.219714
-19.140485,168,18.487802
-12.613245,168,18.757247
-19.066507,168,19.151742
-14.069258,168,19.419472
-20.308025,168,19.682692
-14.800692,168,19.945411
-13.878377,168,20.208221
-13.989809,168,20.462801
-14.73872,168,20.721847
-17.819389,168,20.97865
-19.831552,168,21.239143
-14.350982,168,21.499693
-11.65313,168,21.762596
-13.476107,168,22.024241
-13.357248,168,22.284431
-14.255916,168,22.540483
-11.786191,168,22.79653
-15.363425,168,23.052044
-12.359996,168,23.309567
-11.690782,168,23.564103
-16.284666,168,23.821667
-12.801389,168,24.080967
-16.85328,168,24.338427
-8.027381,168,24.59304
-13.730333,168,24.858131
-16.262089,168,25.1334
-11.754419,168,25.398111
-10.551918,168,25.666446
-12.234909,168,25.933125
-11.40465,168,26.19425
-6.752756,168,26.460187
-10.413626,168,26.761081
-12.400478,168,27.048752
-13.402883,168,27.319761
-13.517431,168,27.596405
-12.147231,168,27.885461
-9.516385,168,28.159996
-9.402626,168,28.422149
-8.661044,168,28.68373
-4.718685,168,28.945121
-6.258482,168,29.205175
-12.308736,168,29.466839
-9.669112,168,29.736775
-10.432577,168,30.028934
-6.563711,168,30.289888
-7.299379,168,30.557189
-9.387397,168,30.826259
-4.996753,168,31.138999
-7.060447,168,31.422363
-11.44867,168,31.701003
-7.513519,168,31.970026
-7.417692,168,33.134737
-7.996542,168,33.414745
-4.368215,168,33.680351
-8.120437,168,33.95063
-8.02033,168,34.217696
-9.33556,168,34.484718
-6.032565,168,34.750759
-4.07075,168,35.012218
-4.905052,168,35.287325
-7.691765,168,35.554538
-5.804411,168,35.836325
-7.920033,168,36.113961
-5.977811,168,36.376819
-5.254121,168,36.64164
-9.095039,168,36.909258
-7.352301,168,37.173343
-6.344889,168,37.438316
-8.356519,168,37.704864
-2.864701,168,37.968368
-9.476888,168,38.234116
-4.950303,168,38.495812
-2.813404,168,38.759498
-6.601895,168,39.022953
-7.18506,168,39.292531
-7.988696,168,39.569726
-7.284083,168,39.84062
-6.292183,168,40.107242
-5.995413,168,40.373591
-3.389826,168,40.636123
-4.2546,168,40.902306
-6.65969,168,41.167629
-6.010789,168,41.438019
-7.021355,168,41.719913
-6.179208,168,42.013598
-5.071532,168,42.287531
-5.81267,168,42.554106
-8.025554,168,42.815793
-6.990192,168,43.079359
-6.955648,168,43.353262
-5.311408,168,43.619859
-7.030094,168,43.889079
-7.589318,168,44.155582
-7.741522,168,44.425258
-5.27756,168,44.695444
-3.362204,168,44.96807
-6.946104,168,45.236497
-9.000378,168,45.490264
-7.246217,168,45.750315
-9.322507,168,46.018908
-7.6121,168,46.276923
-6.487038,168,46.542168
-6.344046,168,46.800771
-6.091648,168,47.055749
-10.18847,168,47.315707
-8.408823,168,47.573632
-9.491497,168,47.843314
-6.078788,168,48.115112
-11.136895,168,48.370226
-7.092433,168,48.625045
-6.139542,168,49.758504
-5.830899,168,50.015371
-8.740154,168,50.292617
-11.274232,168,50.661075
-4.278628,168,50.916275
-11.709224,168,51.173245
-9.989742,168,51.435789
-10.462559,168,51.708491
-7.856448,168,51.982566
-11.158868,168,52.241757
-9.609811,168,52.497803
-10.557014,168,52.753104
-8.092344,168,53.010362
-9.279377,168,53.271885
-7.926933,168,53.528362
-10.88529,168,53.787135
-0.50935,168,54.040636
-7.363116,168,54.298667
-5.231223,168,54.55353
-7.620963,168,54.811362
-8.915434,168,55.066571
-11.296232,168,55.328792
-5.029618,168,55.587811
-7.588001,168,55.849313
-7.542002,168,56.118112
-11.506637,168,56.380728
-14.34517,168,56.636559
-9.50279,168,56.894323
-8.08194,168,57.147951
-11.197862,168,57.401822
-8.963955,168,57.657077
-11.084181,168,57.913835
-8.36112,168,58.169127
-7.601042,168,58.424255
-5.1466,168,58.681937
-7.155261,168,58.937465
-10.522029,168,59.193174
-4.057431,168,59.455976
-11.5759,168,59.719232
-7.801662,168,59.982833
-10.198705,168,60.254678
-6.322314,168,60.509644
-9.699096,168,60.766872
-12.022979,168,61.02241
-6.667583,168,61.280452
-8.426484,168,61.53662
-7.363245,168,61.793098
-7.364974,168,62.047006
-9.06844,168,62.305778
-6.966736,168,62.560017
-7.035007,168,62.816606
-9.013284,168,63.074845
-9.051827,168,63.334651
-10.968615,168,63.594026
-9.741477,168,63.856369
-12.054074,168,64.118243
-9.386343,168,64.377273
-4.66454,168,64.633758
-5.71105,168,64.886818
-6.183049,168,65.143536
-7.886006,168,66.285812
-6.013121,168,66.555424
-5.104628,168,66.81981
-8.942252,168,67.073921
-4.78289,168,67.345661
-13.288068,168,67.630956
-9.584961,168,67.899016
-7.917576,168,68.164603
-7.1305,168,68.423543
-9.609485,168,68.683
-2.615643,168,68.938127
-6.975744,168,69.192825
-6.168933,168,69.448293
-2.42488,168,69.703071
-4.330211,168,69.958473
-6.503585,168,70.213842
-6.19027,168,70.468178
-8.173079,168,70.725643
-7.112579,168,70.981539
-7.337307,168,71.255222
-5.020061,168,71.521688
-4.741594,168,71.788971
-7.048987,168,72.052846
-4.742432,168,72.316224
-4.859713,168,72.579293
-3.132712,168,72.842639
-4.617888,168,73.108455
-1.108678,168,73.364563
-1.672136,168,73.619897
-5.899323,168,73.876297
-6.239024,168,74.134402
-4.703409,168,74.391962
-5.60007,168,74.647155
-4.263591,168,74.901903
-5.223847,168,75.157234
-3.734785,168,75.422022
-4.182431,168,75.684036
-3.917812,168,75.948567
-3.023653,168,76.214599
-5.581742,168,76.488892
-7.206107,168,76.754027
-1.163146,168,77.011012
-2.254839,168,77.268456
-2.99891,168,77.522015
-5.063778,168,77.783038
-6.257339,168,78.035612
-5.493371,168,78.291969
-2.449206,168,78.557147
-5.381113,168,78.825013
-1.514118,168,79.079377
-4.548379,168,79.334262
-4.946786,168,79.592602
-2.167924,168,79.85176
-2.427664,168,80.11096
-6.970482,168,80.372749
-3.980555,168,80.633499
-5.438515,168,80.890157
-7.163623,168,81.147939
-3.578594,168,81.408406
-4.462999,168,82.530241
-5.16936,168,82.790201
-2.526509,168,83.059291
-3.900188,168,83.316622
-6.230208,168,83.573119
-5.362019,168,83.829873
-4.681752,168,84.089113
-3.07881,168,84.348262
-4.278435,168,84.61013
-2.32546,168,84.885633
-4.668945,168,85.139787
-9.127668,168,85.396346
-4.074969,168,85.651638
-4.670776,168,85.905896
-2.696065,168,86.161652
-3.264961,168,86.422928
-6.424028,168,86.702129
-4.041392,168,86.96891
-5.644249,168,87.22735
-3.625517,168,87.482396
-2.587144,168,87.74956
-1.763846,168,88.017776
-2.023616,168,88.279274
-3.414474,168,88.540522
0.738902,168,88.806809
-4.884169,168,89.068655
-3.748047,168,89.32362
-2.344174,168,89.579028
1.109228,168,89.834647
-2.20258,168,90.089095
-1.332349,168,90.349606
-4.174592,168,90.603402
-1.863329,168,90.86149
-5.898117,168,91.118175
-7.220826,168,91.377887
-4.315345,168,91.636151
-2.444432,168,91.896407
-4.238873,168,92.157468
-0.944281,168,92.422521
1.937629,168,92.688256
-2.819458,168,92.943398
-1.389943,168,93.201044
-7.398587,168,93.454697
-4.624335,168,93.715401
-3.463633,168,93.981955
