#{"t_start": 1788749631.609227, "env_id": "None"}
r,l,t
-65.158949,168,1.422685
-75.32075,168,1.527856
-78.482665,168,1.632741
-74.151921,168,1.737867
-65.970631,168,1.844391
-78.541027,168,1.964269
-76.207575,168,2.567906
-62.509365,168,3.171786
-93.011673,168,3.77543
-94.031921,168,4.404061
-90.811439,168,5.001093
-90.224682,168,5.610139
-84.137016,168,6.201247
-80.046318,168,6.801636
-74.174722,168,7.387386
-64.072903,168,8.009605
-58.242974,168,8.617683
-52.897831,168,9.218227
-45.303833,168,9.814549
-42.408301,168,10.409666
-38.08801,168,11.016375
-41.511166,168,11.616117
-38.768652,168,12.230999
-44.481654,168,12.840839
-36.446003,168,13.444526
-36.815027,168,14.044539
-34.600829,168,14.64371
-40.848128,168,15.246333
-38.013755,168,15.876834
-40.02833,168,17.681852
-36.118331,168,18.284422
-38.213984,168,18.900452
-39.043213,168,19.529806
-39.293358,168,20.203638
-40.264069,168,20.824778
-38.754258,168,21.449419
-37.575815,168,22.054343
-34.567058,168,22.65587
-42.510062,168,23.257868
-42.839393,168,23.865497
-41.792041,168,24.483541
-39.479423,168,25.086244
-41.820476,168,25.696669
-37.58766,168,26.312141
-41.105528,168,26.914254
-41.984399,168,27.514212
-38.408669,168,28.121061
-45.530866,168,28.735807
-36.312257,168,29.338836
-42.566685,168,29.940423
-41.079463,168,30.547197
-39.435379,168,31.146488
-40.374499,168,31.758678
-40.320107,168,32.371415
-40.159876,168,32.977706
-36.002091,168,33.572032
-42.517236,168,34.175819
-37.602668,168,34.838753
-35.75527,168,35.515184
-43.954173,168,37.550833
-39.468923,168,38.190548
-41.484485,168,38.846768
-35.91952,168,39.466044
-45.530517,168,40.084175
-39.270274,168,40.692447
-37.4295,168,41.314008
-34.083363,168,41.917449
-37.081446,168,42.522753
-42.849783,168,43.129544
-38.547966,168,43.742796
-35.766647,168,44.356134
-36.391958,168,44.983946
-41.011876,168,45.59051
-35.250644,168,46.21766
-33.131459,168,46.850256
-38.263353,168,47.459485
-36.689667,168,48.072402
-39.54929,168,48.679183
-39.655289,168,49.281878
-34.515155,168,49.89053
-32.44193,168,50.494036
-39.919497,168,51.109633
-34.844049,168,51.722619
-34.509299,168,52.325159
-36.29118,168,52.930284
-35.702923,168,53.533456
-39.711727,168,54.13142
-42.613346,168,54.734314
-36.917241,168,55.346461
-36.019878,168,57.129181
-32.764544,168,57.725127
-34.251477,168,58.338322
-39.573284,168,58.948693
-41.425071,168,59.557254
-34.342386,168,60.162268
-34.820765,168,60.763817
-32.812523,168,61.376177
-30.62995,168,61.977157
-36.303317,168,62.587043
-23.330325,168,63.210651
-34.445163,168,63.812163
-32.803444,168,64.41241
-31.501215,168,65.013635
-31.259768,168,65.610469
-34.414429,168,66.216355
-31.364858,168,66.831831
-33.912647,168,67.441156
-27.882408,168,68.046005
-29.304161,168,68.643264
-30.992501,168,69.244284
-34.166195,168,69.844437
-32.548913,168,70.454049
-27.98443,168,71.081618
-28.006564,168,71.689729
-28.811188,168,72.374538
-32.08594,168,73.000598
-29.293801,168,73.604976
-28.685609,168,74.20483
-32.761635,168,74.809729
-30.491512,168,76.634104
-26.28127,168,77.239349
-27.457705,168,77.857124
-31.651636,168,78.456433
-34.483264,168,79.067209
-29.62714,168,79.673644
-30.731078,168,80.282444
-33.556439,168,80.882319
-26.6141,168,81.497667
-25.894504,168,82.101895
-29.411391,168,82.704318
-29.317502,168,83.311168
-31.282023,168,83.916236
-32.244553,168,84.509646
-25.385302,168,85.10743
-30.378067,168,85.704126
-28.444018,168,86.31045
-28.669979,168,86.918558
-23.623455,168,87.528387
-28.945859,168,88.126642
-26.429575,168,88.782628
-28.913919,168,89.426593
-23.636339,168,90.136076
-25.376049,168,90.778191
-26.729102,168,91.445383
-21.932362,168,92.082419
-25.134445,168,92.708458
-25.959709,168,93.3432
-23.47738,168,93.979088
-20.489508,168,96.010199
-24.825922,168,96.64687
-24.371128,168,97.362002
-21.166366,168,97.966463
-21.489932,168,98.573524
-20.651505,168,99.220429
-21.559669,168,99.848362
-20.841429,168,100.518423
-20.559462,168,101.144256
-24.955022,168,101.767364
-23.651706,168,102.394407
-25.669816,168,103.035345
-21.64867,168,103.668306
-20.862883,168,104.286706
-23.761842,168,104.899187
-22.312575,168,105.517684
-19.732654,168,106.134123
-20.337518,168,106.782119
-20.370598,168,107.445989
-22.006276,168,108.069232
-20.896879,168,108.685832
-20.755505,168,109.300653
-21.87613,168,109.923693
-21.33011,168,110.553242
-24.648976,168,111.188238
-17.173955,168,111.81533
-19.965836,168,112.432846
-19.040475,168,113.054534
-19.842527,168,113.662416
-21.853301,168,114.26954
