#{"t_start": 1788750124.8389099, "env_id": "None"}
r,l,t
107.805607,192,1.636812
99.622752,192,1.750648
101.408145,192,1.864774
109.903406,192,1.978286
95.245961,192,2.092988
108.08137,192,2.690333
126.774857,192,3.4092
133.313153,192,4.131899
158.691295,192,4.82591
186.63105,192,5.521937
201.46846,192,6.216633
217.590496,192,6.937104
219.773678,192,7.911802
212.565234,192,8.742937
214.491708,192,9.50595
201.488195,192,10.268147
192.177543,192,11.03304
218.59446,192,11.828128
217.864835,192,12.856817
247.732705,192,13.695475
244.264918,192,14.445114
220.8762,192,15.194542
210.644175,192,16.031675
201.43748,192,16.794379
212.281609,192,17.544445
247.557983,192,18.297807
211.310835,192,19.865033
207.005907,192,20.650152
235.945093,192,21.451401
210.287012,192,22.207301
202.541713,192,22.966509
227.511434,192,23.750808
191.881333,192,24.520887
216.295212,192,25.292886
198.251172,192,26.050121
202.288527,192,26.86942
200.523383,192,27.703695
214.101102,192,28.474226
198.653772,192,29.265407
241.05616,192,30.039257
209.730419,192,30.836911
221.966536,192,31.625569
237.431672,192,32.435914
198.471956,192,33.293345
218.579484,192,34.131916
212.798154,192,34.889971
202.294923,192,35.740492
228.363468,192,36.506824
230.662347,192,37.383462
220.618451,192,38.151158
232.578168,192,38.882602
209.561723,192,39.653499
228.372787,192,41.014261
221.739448,192,41.803826
234.383287,192,42.545165
209.528428,192,43.266763
196.511225,192,44.01162
206.505985,192,44.741464
240.27699,192,45.470606
209.309816,192,46.192665
217.711022,192,46.915851
194.053858,192,47.666261
199.023104,192,48.422691
212.743612,192,49.164601
196.095258,192,49.97435
210.737804,192,50.848292
233.61959,192,51.894609
199.226736,192,53.080422
218.09856,192,53.866001
205.603048,192,54.633061
215.60825,192,55.408711
202.623349,192,56.244118
218.925856,192,57.03459
206.896105,192,57.823139
239.098302,192,58.630799
211.919703,192,59.469039
206.027441,192,60.273454
204.697925,192,61.018263
217.486437,192,62.377761
211.060533,192,63.175412
219.062247,192,64.091317
219.478705,192,64.851387
201.352719,192,65.621384
206.873358,192,66.391899
199.087483,192,67.161377
207.301108,192,67.95842
204.315589,192,68.727841
195.592013,192,69.599096
223.067226,192,70.366334
223.773951,192,71.123577
192.837181,192,71.934566
209.14782,192,72.770822
233.444943,192,73.560142
212.975195,192,74.314452
194.923264,192,75.076486
222.475175,192,75.885078
206.196194,192,76.658178
202.066248,192,77.414665
195.845965,192,78.225181
206.259302,192,79.033942
206.881836,192,79.876374
209.149093,192,80.695767
190.862052,192,81.476559
232.622161,192,82.23144
199.743236,192,83.618231
201.517361,192,84.449773
206.386169,192,85.307257
217.25976,192,86.118516
206.699816,192,87.043261
227.947179,192,87.934453
185.590553,192,88.964724
187.718797,192,89.810786
189.569278,192,90.548185
225.587293,192,91.287215
213.402272,192,92.000984
227.979742,192,92.722309
221.08115,192,93.438061
222.424408,192,94.156989
213.745347,192,94.925881
221.675488,192,95.658503
224.643077,192,96.427013
192.68749,192,97.168058
212.508522,192,97.906868
183.061429,192,98.62466
192.422049,192,99.34637
206.40705,192,100.119236
193.285529,192,100.958694
187.773476,192,101.700962
195.110195,192,102.471198
221.012993,192,103.196318
216.615062,192,104.508923
209.505364,192,105.440784
227.705247,192,106.157802
242.283555,192,106.883544
241.238454,192,107.614373
192.441483,192,108.312291
205.730382,192,109.016076
206.927038,192,109.722227
238.754979,192,110.438071
198.403462,192,111.155372
236.692017,192,111.844776
200.649616,192,112.53774
217.640797,192,113.229965
210.854102,192,113.951442
217.321463,192,114.729846
234.017104,192,115.446324
223.21032,192,116.141791
200.678975,192,116.837416
222.711613,192,117.545198
215.711983,192,118.252108
193.473376,192,118.950573
225.359732,192,119.652576
219.878839,192,120.388992
209.677081,192,121.100856
213.273427,192,121.856643
202.195475,192,122.558033
