#{"t_start": 1788749778.83323, "env_id": "None"}
r,l,t
20.705847,96,0.79468
13.940834,96,0.975373
14.796389,96,1.154079
15.290805,96,1.367144
16.391206,96,1.540599
7.79599,96,1.713138
8.583613,96,1.88494
17.695865,96,2.060625
16.134019,96,2.242305
19.556525,96,2.432537
19.088066,96,2.776439
18.884213,96,3.253208
14.131034,96,3.733733
44.130744,96,4.220547
15.109492,96,4.689664
47.137217,96,5.177518
46.492029,96,5.651658
23.212222,96,6.116916
41.598683,96,6.593979
32.185313,96,7.084177
35.909127,96,7.569707
47.216821,96,8.078005
23.133503,96,8.551647
32.135901,96,9.024328
14.533045,96,9.491121
45.308167,96,9.969881
45.399317,96,10.45756
33.077687,96,10.921537
32.228551,96,11.407463
14.434233,96,11.899111
11.195877,96,12.387941
18.725372,96,12.870393
23.104934,96,13.347153
14.407652,96,13.817203
12.857803,96,14.280311
46.951604,96,14.755322
44.605689,96,15.229234
34.226918,96,15.724154
46.236497,96,16.213432
21.88782,96,16.682479
46.720329,96,17.159324
32.172049,96,17.63179
45.778563,96,18.099002
46.77785,96,18.570402
14.401717,96,19.033146
22.917965,96,19.512759
46.974034,96,20.002797
20.601303,96,20.496639
38.403495,96,20.964289
46.530682,96,21.439001
28.30224,96,21.9043
43.901749,96,22.376866
14.251799,96,23.474884
45.317487,96,23.977087
32.183654,96,24.449244
45.897831,96,24.920261
27.988139,96,25.392014
32.456622,96,25.871341
24.205493,96,26.340199
23.07615,96,26.824111
31.895029,96,27.293271
45.368037,96,27.799511
41.772243,96,28.295297
43.702505,96,28.809675
22.98481,96,29.280566
14.174264,96,29.775461
47.087351,96,30.2609
47.179303,96,30.757756
46.99615,96,31.236628
32.244102,96,31.708555
11.502806,96,32.177917
46.696646,96,32.661852
29.437873,96,33.142526
32.930542,96,33.607941
32.850707,96,34.08261
23.071813,96,34.572977
34.134417,96,35.044041
45.796121,96,35.525503
38.377105,96,35.998329
47.711004,96,36.488646
22.905568,96,36.97254
22.297607,96,37.444552
47.269809,96,37.92174
32.064209,96,38.392451
47.325245,96,38.873896
23.018198,96,39.360729
13.61824,96,39.858579
46.374765,96,40.354717
41.203748,96,40.843072
18.755826,96,41.318443
13.155294,96,41.789862
22.969023,96,42.262238
32.758922,96,42.736009
14.320553,96,43.20833
23.017556,96,43.708054
22.534897,96,44.199199
41.229676,96,44.687771
14.247161,96,45.161123
32.951908,96,45.633209
46.311139,96,46.10916
45.750093,96,46.605327
32.334369,96,47.078304
14.384899,96,47.567069
26.184583,96,48.063014
46.623242,96,49.193936
29.839804,96,49.690176
14.426614,96,50.162139
46.71863,96,50.65249
32.505926,96,51.128219
14.774705,96,51.620311
46.066974,96,52.110203
14.56219,96,52.589393
46.632891,96,53.071194
14.306435,96,53.53635
11.222,96,54.008884
11.45198,96,54.502546
47.253612,96,54.98203
21.266144,96,55.466442
22.924929,96,55.969355
32.000966,96,56.447123
46.256035,96,56.949863
40.677081,96,57.58195
44.643949,96,58.064152
22.577198,96,58.536778
14.361532,96,59.004068
22.940748,96,59.483945
43.445494,96,59.967647
46.295375,96,60.454712
46.907961,96,60.953304
14.641243,96,61.420827
26.808786,96,61.897626
44.214965,96,62.374317
16.585789,96,62.846496
22.755913,96,63.329293
46.588658,96,63.864192
22.691024,96,64.3495
46.105823,96,64.8267
14.719728,96,65.30195
18.400308,96,65.774448
47.1588,96,66.243244
18.600529,96,66.781545
45.2046,96,67.288421
44.558969,96,67.791751
41.306213,96,68.276323
41.413587,96,68.746528
45.79962,96,69.218176
29.654953,96,69.684318
45.669556,96,70.158913
11.518702,96,70.629913
46.697437,96,71.12385
22.520985,96,71.606431
14.424429,96,72.083708
46.447411,96,72.58763
45.221538,96,73.128301
23.365899,96,73.612141
12.751586,96,74.097517
46.303782,96,75.191873
