#{"t_start": 1789183250.0822961, "env_id": "None"}
r,l,t
-373.277469,168,3.121759
-383.244082,168,3.353358
-359.959949,168,3.583356
-398.728904,168,3.820395
-363.115484,168,4.063919
-438.711595,168,4.333658
-390.133861,168,4.571867
-362.486235,168,4.800836
-384.77195,168,5.029902
-365.80882,168,5.26047
-403.363244,168,5.493116
-361.717896,168,5.886167
-108.21463,168,7.67108
-45.281588,168,9.478387
-54.016962,168,11.257373
-40.281048,168,12.987546
-36.814835,168,14.803714
-40.126341,168,16.580741
-42.849773,168,18.357088
-35.230724,168,20.121223
-34.978096,168,21.901129
-41.089157,168,23.850489
-35.619469,168,25.762307
-35.668033,168,27.533369
-35.2385,168,29.523498
-37.708262,168,31.355083
-38.84079,168,33.340255
-41.778751,168,35.126071
-49.907471,168,37.353508
-44.858848,168,39.331124
-51.218623,168,41.13904
-38.761274,168,42.902849
-50.252571,168,44.693973
-44.142501,168,46.455501
-43.36331,168,48.26381
-49.601526,168,50.068953
-44.940964,168,51.835328
-49.488335,168,53.647389
-34.121926,168,55.739169
-40.190871,168,57.869076
-48.045483,168,59.818162
-42.586882,168,61.955261
-46.867551,168,63.989809
-39.184748,168,66.063841
-44.831524,168,67.917664
-46.570005,168,69.710285
-46.050589,168,71.509426
-45.309938,168,73.300028
-32.015615,168,75.201012
-41.506302,168,76.995213
-29.090187,168,78.778394
-46.964536,168,80.581219
-48.737647,168,82.383399
-51.038683,168,84.297411
-49.104361,168,86.113592
-54.219636,168,87.892015
-47.931382,168,89.745317
-45.794629,168,91.570228
-38.398767,168,93.52734
-44.45319,168,97.00997
-41.676924,168,98.886718
-34.465266,168,100.746833
-33.408162,168,102.504659
-47.295132,168,104.520326
-26.164243,168,106.375294
-34.574311,168,108.213101
-39.263964,168,109.983052
-40.28684,168,111.795304
-32.208356,168,113.692524
-33.383044,168,115.657168
-41.071093,168,117.478984
-34.36883,168,119.289436
-35.522388,168,121.090757
-41.33787,168,122.846915
-40.830476,168,124.631303
-38.661568,168,126.42541
-30.859881,168,128.209047
-41.185002,168,129.962527
-57.963285,168,131.779756
-44.496169,168,133.544511
-44.570169,168,135.296994
-40.311354,168,137.110393
-39.940074,168,138.959808
-37.127703,168,140.777138
-42.149362,168,142.612185
-35.155656,168,144.425972
-42.216259,168,146.261841
-38.407946,168,148.35377
-50.787832,168,150.147518
-37.209853,168,152.0089
-41.314937,168,153.804168
-55.357905,168,155.594422
-34.563499,168,157.368982
-36.553417,168,159.142817
-49.284697,168,160.924261
-44.817249,168,162.706778
-45.084373,168,164.524945
-59.533364,168,166.292453
-52.973511,168,168.070883
-37.246564,168,169.845389
-57.52868,168,171.663317
-38.288344,168,173.462142
-44.116722,168,175.401403
-36.490004,168,177.209483
-47.857811,168,178.994794
-41.699003,168,180.81648
-31.805622,168,182.589918
-38.093375,168,184.377293
-61.261844,168,186.150746
-41.141876,168,187.974346
-40.394223,168,189.738705
-48.397238,168,191.545781
-70.07601,168,193.361669
-50.658553,168,195.146331
-47.530802,168,196.920664
-47.476917,168,198.702666
-48.199455,168,200.471257
-46.962249,168,202.275821
-42.51796,168,204.043523
-45.898012,168,207.308197
-42.125775,168,209.108263
-45.475598,168,210.940558
-55.699899,168,212.751759
-33.546605,168,214.696664
-57.544426,168,216.581428
-51.649366,168,218.372995
-50.378464,168,220.130284
-32.699883,168,221.952634
-48.959602,168,223.705268
-44.219099,168,225.474356
-33.906547,168,227.248363
-62.393613,168,229.069532
-46.166153,168,230.852175
-48.560504,168,232.633269
-48.036096,168,234.473886
-41.185468,168,236.447947
-27.78594,168,238.225009
-41.673349,168,240.049901
-45.87033,168,241.818674
-43.199188,168,243.619389
-43.13322,168,245.423386
-47.147996,168,247.208744
-44.142385,168,249.017922
-44.902139,168,250.77796
-48.140176,168,252.772167
-40.630922,168,254.585299
-54.254736,168,256.357638
-64.980729,168,258.143802
-49.534593,168,259.908899
-28.447226,168,261.707929
-35.616855,168,263.506945
-35.63724,168,265.318349
-41.682783,168,267.091725
-45.470016,168,268.911133
-42.028587,168,270.694795
-37.257012,168,272.475336
-50.459007,168,274.269809
-52.981294,168,276.085432
-41.894934,168,277.880632
-36.482332,168,279.643651
-40.268195,168,281.407565
-38.325171,168,283.208907
-37.194149,168,284.98644
-38.399097,168,286.775465
-45.601401,168,288.630129
-42.252728,168,290.439705
-37.47102,168,292.23578
-33.576495,168,294.026628
-46.69312,168,295.941005
-33.904327,168,297.713955
-34.153729,168,299.51564
-36.049497,168,301.285193
-42.613363,168,303.060042
-37.191349,168,304.830917
-44.486943,168,306.591857
-29.335154,168,308.373218
-32.584755,168,310.15929
-33.386549,168,311.935507
-30.319766,168,315.337198
-46.00681,168,317.311798
-54.155645,168,319.142056
-34.198051,168,321.103587
-48.309912,168,322.916219
-47.275542,168,324.951715
-67.094894,168,326.808639
-37.527487,168,328.63141
-32.229217,168,330.400404
-33.599907,168,332.208234
-33.131393,168,334.049588
-40.896866,168,336.046526
-43.388159,168,337.943317
-36.282329,168,339.757405
-42.294247,168,341.522946
-36.82225,168,343.331207
-34.773122,168,345.140518
-33.636575,168,346.911454
-40.410296,168,348.753486
-34.130871,168,350.514658
-32.35138,168,352.31174
-36.803533,168,354.129956
-46.074457,168,355.935446
-45.813615,168,357.714659
-36.533343,168,359.506027
-34.807812,168,361.337627
-35.247582,168,363.13129
-32.998495,168,364.935944
-36.453436,168,366.703767
-38.031652,168,368.495822
-33.075174,168,370.313933
-95.29569,168,372.114734
-39.26168,168,373.91389
-35.247952,168,375.71583
-42.112504,168,377.527326
-58.47121,168,379.329712
-35.291901,168,381.087697
-38.71163,168,382.90507
-31.919663,168,384.726998
-35.532255,168,386.670637
-42.507262,168,388.452741
-46.120338,168,390.251451
-31.339787,168,392.046728
-33.608843,168,393.845348
-32.46762,168,395.687823
-48.017168,168,397.474059
-29.776416,168,399.272058
-33.492035,168,401.042307
-35.793982,168,402.861573
-36.864308,168,404.864654
-41.797138,168,406.810965
-37.437029,168,408.637668
-32.64029,168,410.504032
-36.852426,168,412.334198
-37.468251,168,414.257362
-34.478764,168,418.118651
