#{"t_start": 1789183285.7647219, "env_id": "None"}
r,l,t
-345.869191,168,3.372156
-366.406015,168,3.612803
-354.126678,168,3.846076
-390.016792,168,4.076091
-368.052461,168,4.30594
-420.405766,168,4.546328
-414.901709,168,4.78136
-334.170938,168,5.004073
-370.410526,168,5.226566
-359.935671,168,5.449144
-403.186615,168,5.671554
-392.181983,168,6.142048
-36.268036,168,8.760458
-53.822346,168,11.349286
-57.820807,168,14.023818
-44.696225,168,16.611141
-44.811307,168,19.278761
-42.613298,168,22.599965
-44.611184,168,25.591885
-40.687172,168,28.622212
-39.844108,168,31.611988
-39.871559,168,34.264742
-38.291619,168,36.907696
-41.077974,168,39.652819
-37.751787,168,42.300092
-39.933233,168,44.952004
-47.168545,168,47.601009
-48.367655,168,50.397465
-54.003218,168,53.057193
-51.235371,168,55.762055
-53.533844,168,58.63142
-41.710727,168,61.502851
-40.059473,168,64.265185
-39.743807,168,66.903676
-41.988369,168,69.796533
-71.508121,168,72.503341
-51.035067,168,75.114476
-37.248722,168,77.869977
-64.093782,168,80.70266
-65.850258,168,83.351292
-54.006993,168,86.011793
-38.981329,168,88.618657
-64.888037,168,91.246814
-109.055736,168,93.865209
-111.942835,168,96.53791
-85.450411,168,99.116504
-41.404729,168,101.823455
-43.249877,168,104.494728
-38.253,168,107.203371
-45.066785,168,109.877817
-46.00551,168,112.864883
-57.175688,168,115.519913
-48.288191,168,118.205082
-44.805728,168,120.830483
-58.023316,168,123.444604
-45.422925,168,126.072223
-47.879755,168,128.727338
-51.524066,168,131.319201
-56.944383,168,133.948083
-97.708221,168,138.233329
-50.93549,168,141.047173
-69.118387,168,143.680133
-62.050501,168,146.3591
-67.384996,168,148.980116
-59.774033,168,151.635406
-58.079302,168,154.264775
-42.886345,168,156.91168
-49.59081,168,159.589594
-45.96557,168,162.203527
-69.366445,168,164.820866
-66.470196,168,167.462124
-67.466932,168,170.182811
-52.626652,168,172.865787
-40.379491,168,175.55367
-102.952354,168,178.204386
-48.817949,168,181.087984
-42.895836,168,183.711275
-45.240526,168,186.376354
-54.142556,168,188.954715
-45.604168,168,191.588186
-58.408448,168,194.267464
-43.417321,168,196.88402
-52.396389,168,199.70767
-40.840459,168,202.397368
-56.880743,168,205.06178
-41.78753,168,207.704305
-41.700781,168,210.365695
-33.240348,168,213.033189
-54.550266,168,215.647912
-57.410603,168,218.505205
-47.361965,168,221.133436
-77.688643,168,223.746589
-59.743579,168,226.395239
-54.09268,168,229.060303
-47.185214,168,231.704686
-40.647224,168,234.386885
-45.272026,168,237.018609
-52.955538,168,239.675553
-35.076161,168,242.333578
-41.322807,168,244.931253
-54.353896,168,247.580481
-41.968137,168,250.200532
-37.475046,168,252.918357
-37.822841,168,255.584234
-68.087147,168,258.24859
-42.530301,168,261.032674
-33.462975,168,263.683299
-47.759948,168,266.293102
-38.82434,168,268.929303
-40.600398,168,271.534332
-50.737364,168,274.18998
-57.07227,168,276.818968
-43.731858,168,279.720013
-46.880764,168,282.572253
-58.847552,168,285.404013
-60.914155,168,288.231407
-48.644732,168,291.044063
-40.407708,168,293.720926
-46.821171,168,296.358326
-40.605633,168,300.909302
-43.095439,168,303.564217
-41.83253,168,306.198698
-40.905124,168,308.899371
-57.109317,168,311.532658
-51.583366,168,314.213651
-70.778403,168,316.856194
-42.727113,168,319.542253
-36.467806,168,322.179638
-53.404647,168,324.856851
-44.518297,168,327.513996
-41.333441,168,330.165893
-42.370322,168,332.798059
-52.840724,168,335.4774
-53.030866,168,338.11505
-50.492799,168,340.793463
-40.348787,168,343.462767
-42.071805,168,346.096637
-39.616471,168,348.766318
-43.297656,168,351.549463
-49.244187,168,354.194227
-26.304628,168,356.83931
-39.981628,168,359.54138
-41.617782,168,362.189956
-43.739034,168,364.826456
-41.484067,168,367.497396
-70.369456,168,370.498029
-52.922641,168,373.198052
-73.177476,168,375.971925
-47.079725,168,378.801455
-39.551562,168,384.084099
-38.421975,168,387.011267
-53.16316,168,389.672719
-45.964184,168,392.330494
-36.371749,168,394.983779
-49.516829,168,397.649426
-48.93558,168,400.329803
-47.695326,168,402.968267
-46.784809,168,405.646066
-55.783757,168,408.29929
-63.632435,168,411.082762
-49.725643,168,413.801848
-39.810112,168,416.729745
-42.906227,168,419.476276
-49.191979,168,422.135674
-51.579214,168,424.792374
-45.24364,168,427.514035
-39.225178,168,430.183311
-40.638557,168,432.840229
-51.287421,168,435.496328
-42.163273,168,438.205866
-42.354176,168,441.06433
-56.995259,168,443.741957
-35.982623,168,446.382573
-41.499549,168,449.126513
-73.442153,168,451.786849
-47.137306,168,454.415561
-42.98234,168,457.055483
-45.787508,168,459.764719
-38.577073,168,464.125458
-49.688828,168,466.841913
-51.393949,168,469.498444
-42.083292,168,472.152477
-43.637973,168,474.967112
-43.707814,168,477.631818
-45.395959,168,480.289779
-43.29864,168,482.92754
-45.948719,168,485.576991
-43.940204,168,488.232374
-45.98178,168,490.884689
-36.84782,168,493.528677
-42.421994,168,496.178134
-38.40747,168,498.8633
-46.52056,168,501.574177
-39.216661,168,504.293767
-40.823297,168,506.978648
-41.038442,168,509.69465
-30.501539,168,512.340621
-32.389853,168,515.009113
