#{"t_start": 1789177950.573259, "env_id": "None"}
r,l,t
-292.991263,168,1.978466
-307.011954,168,2.108511
-267.109988,168,2.237607
-284.430647,168,2.366806
-312.972835,168,2.495877
-309.925742,168,2.62607
-323.513899,168,2.756314
-296.222564,168,2.886997
-320.266585,168,3.017629
-317.785134,168,3.149026
-265.313482,168,3.278468
-305.11384,168,3.442709
-299.572146,168,3.710669
-317.032063,168,3.986744
-271.722612,168,4.260383
-259.420848,168,4.540543
-321.973532,168,4.82055
-267.802335,168,5.094449
-291.637789,168,5.370884
-316.307441,168,5.64452
-262.280895,168,5.920205
-295.767725,168,6.189228
-320.4944,168,6.461303
-240.764159,168,6.741692
-332.752084,168,7.017093
-294.229656,168,7.287933
-307.251824,168,7.560391
-291.924378,168,7.837378
-310.1724,168,8.118084
-289.771913,168,8.407641
-239.694925,168,8.68922
-296.806011,168,8.965131
-243.78247,168,9.245897
-246.807594,168,9.517485
-258.626376,168,9.794664
-269.674267,168,10.0708
-252.286859,168,10.347099
-249.955821,168,10.622031
-220.771704,168,10.901966
-242.797142,168,11.18305
-264.672068,168,11.458006
-261.212304,168,11.733907
-228.497319,168,12.019636
-247.220659,168,12.303413
-282.969177,168,12.597396
-226.608248,168,12.899108
-235.210977,168,13.178453
-251.92737,168,13.538918
-214.682709,168,13.81985
-277.886225,168,14.107388
-207.582021,168,14.403434
-268.932735,168,14.688798
-251.146594,168,14.963658
-246.807477,168,15.244271
-283.352337,168,15.521069
-230.615912,168,15.805395
-255.852893,168,16.09379
-261.460045,168,16.385646
-242.047071,168,16.675923
-196.623521,168,18.104999
-282.5385,168,18.415138
-235.418347,168,18.814551
-246.395113,168,19.100458
-249.667797,168,19.39314
-230.561898,168,19.685437
-220.218076,168,19.971214
-231.143156,168,20.262131
-202.736388,168,20.551475
-252.683835,168,20.841382
-261.247778,168,21.130965
-184.632786,168,21.419046
-236.277644,168,21.70688
-163.988678,168,22.010179
-197.311029,168,22.3273
-206.339923,168,22.632642
-215.952829,168,22.929743
-249.516625,168,23.224385
-212.949728,168,23.517634
-235.041642,168,23.802289
-175.613354,168,24.09408
-259.068944,168,24.388646
-218.328893,168,24.682355
-170.403554,168,24.974333
-193.792727,168,25.268321
-204.518087,168,25.559022
-172.733114,168,25.861304
-226.256023,168,26.174874
-218.49121,168,26.475379
-179.111469,168,26.771893
-219.070034,168,27.068342
-167.097863,168,27.369605
-176.20679,168,27.690113
-179.89168,168,28.00397
-223.219288,168,28.30479
-166.650403,168,28.615659
-190.051916,168,28.932175
-200.211566,168,29.238087
-207.747943,168,29.535608
-217.833958,168,29.833069
-151.476708,168,30.133259
-179.675866,168,30.433515
-182.531333,168,30.737363
-215.646962,168,31.038111
-157.638259,168,31.3397
-194.563202,168,31.644608
-173.904144,168,31.944462
-176.465934,168,32.252682
-190.648628,168,32.567175
-113.792126,168,32.887381
-188.04006,168,33.213732
-205.944381,168,33.51266
-164.395731,168,33.816224
-182.975002,168,34.115758
-198.877998,168,34.420904
-149.564634,168,34.721977
-167.051058,168,35.024817
-173.589413,168,35.328251
-154.510132,168,35.629419
-174.21401,168,35.932047
-167.4274,168,37.208541
-133.685864,168,37.531124
-151.833155,168,37.835426
-119.27333,168,38.140522
-164.26205,168,38.444816
-155.097066,168,38.747771
-193.368566,168,39.050512
-134.524395,168,39.353654
-140.038526,168,39.656312
-151.06782,168,39.963116
-177.950801,168,40.268785
-187.30201,168,40.583465
-181.416266,168,40.899784
-136.093655,168,41.222979
-128.701788,168,41.529034
-142.979955,168,41.840974
-85.565201,168,42.151593
-137.713539,168,42.458264
-86.27896,168,42.770477
-135.76317,168,43.082564
-108.690222,168,43.395284
-157.284244,168,43.69727
-137.380409,168,44.003113
-98.461847,168,44.324264
-99.556433,168,44.657443
-160.355978,168,44.973428
-134.241399,168,45.287133
-130.944714,168,45.592453
-173.316243,168,45.895486
-124.256624,168,46.198135
-142.00557,168,46.501459
-94.055371,168,46.806873
-71.300763,168,47.113134
-147.218966,168,47.423929
-157.350483,168,47.727571
-92.602756,168,48.033545
-106.573042,168,48.348632
-92.653544,168,48.669825
-122.493459,168,49.091393
-43.139089,168,49.410905
-122.637298,168,49.723717
-102.489463,168,50.042352
-112.882584,168,50.348434
-113.291872,168,50.651384
-46.038469,168,50.960162
-63.169014,168,51.285573
-34.383177,168,51.594901
-45.670058,168,51.904408
-102.658612,168,52.215072
-84.270931,168,52.540008
-34.095752,168,52.866388
-90.305858,168,53.192878
-93.191885,168,53.507251
-25.043424,168,53.819152
-31.796664,168,54.129617
-64.831764,168,54.440678
-30.94574,168,54.749387
-34.00383,168,55.061758
-23.946191,168,55.37748
-23.894151,168,56.624082
-27.943924,168,56.965768
-30.134286,168,57.294265
-31.47309,168,57.612043
-31.656433,168,57.922053
-39.591441,168,58.231537
-43.091689,168,58.542585
-105.976196,168,58.851054
-30.27365,168,59.166321
-86.021418,168,59.478374
-20.54814,168,59.79114
-41.780143,168,60.107289
-37.921046,168,60.433413
-27.236703,168,60.755332
-30.288405,168,61.078179
-27.899054,168,61.396408
-20.990207,168,61.707059
-37.664989,168,62.018331
-35.300243,168,62.32904
-84.322956,168,62.641133
