#{"t_start": 1789177878.63998, "env_id": "None"}
r,l,t
-292.991263,168,1.879477
-307.011954,168,2.008013
-267.109988,168,2.136551
-284.430646,168,2.267635
-312.972835,168,2.397199
-309.925742,168,2.532641
-323.513899,168,2.662311
-296.222564,168,2.790998
-320.266585,168,2.919526
-317.785134,168,3.049458
-265.313482,168,3.17646
-305.11384,168,3.37831
-299.572147,168,3.641097
-317.032063,168,3.90431
-271.722612,168,4.168434
-259.420848,168,4.435209
-321.973532,168,4.699441
-267.802335,168,4.966341
-291.637789,168,5.233114
-316.307441,168,5.500899
-262.280894,168,5.767617
-295.767725,168,6.046231
-320.4944,168,6.321454
-240.764159,168,6.597628
-332.752084,168,6.870475
-294.229656,168,7.134558
-307.251824,168,7.402766
-291.924378,168,7.67102
-310.1724,168,7.94467
-289.771913,168,8.226451
-239.694925,168,8.497663
-296.80601,168,8.769098
-243.78247,168,9.045793
-246.807593,168,9.316682
-258.626376,168,9.586531
-269.674267,168,9.862985
-252.28686,168,10.144704
-249.955821,168,10.429693
-220.771704,168,10.714878
-242.797142,168,10.991129
-264.687822,168,11.266246
-262.252617,168,11.540105
-228.497319,168,11.815408
-247.220659,168,12.087198
-282.969177,168,12.357783
-226.53154,168,12.63333
-235.164756,168,12.908578
-251.944307,168,13.179326
-213.502458,168,13.459786
-277.886225,168,13.733169
-207.772243,168,14.024633
-268.932734,168,14.315358
-252.166456,168,14.604106
-246.388435,168,14.894235
-283.352336,168,15.182804
-230.519767,168,15.458304
-255.852893,168,15.742049
-261.460045,168,16.028881
-242.047071,168,16.316454
-196.761959,168,17.586278
-282.5385,168,17.873394
-238.87049,168,18.157496
-246.472311,168,18.443175
-249.570707,168,18.727042
-230.561898,168,19.008184
-220.060596,168,19.283489
-230.700159,168,19.568802
-202.736388,168,19.858459
-253.906861,168,20.153734
-261.60653,168,20.447876
-184.632786,168,20.737678
-236.277644,168,21.018962
-165.044855,168,21.300712
-196.437843,168,21.583487
-206.354068,168,21.867239
-215.919659,168,22.150969
-249.307456,168,22.431538
-212.949728,168,22.711706
-235.937084,168,22.995395
