#{"t_start": 1789182637.93774, "env_id": "None"}
r,l,t
-5.189657,168,3.357421
-0.066405,168,3.590115
-0.012162,168,3.844331
-0.079693,168,4.07043
-3.541607,168,4.294552
-4.126752,168,4.522174
1.533314,168,4.748685
1.206138,168,4.973047
-4.347692,168,5.204701
-2.126977,168,5.439919
-5.479039,168,5.669534
-1.077141,168,6.143294
-6.767883,168,8.930254
7.51307,168,11.528881
4.445888,168,14.126096
-9.68643,168,16.724475
-0.713867,168,19.345649
-3.85167,168,21.928043
2.775888,168,24.540293
6.318955,168,27.159879
8.716539,168,29.757926
6.063076,168,32.371129
10.178701,168,34.977261
0.446388,168,37.608515
4.356754,168,40.199216
2.934238,168,42.797834
4.738592,168,45.38619
10.888148,168,47.990644
10.91408,168,50.576233
3.319353,168,54.829791
7.818524,168,57.59414
8.68392,168,60.194592
8.725334,168,62.780206
11.511855,168,65.398762
4.010615,168,68.007448
6.3203,168,70.584527
13.340953,168,73.190251
11.199531,168,75.792485
12.765336,168,78.356713
14.053622,168,80.939695
9.342772,168,83.573728
2.388928,168,86.142893
7.72395,168,88.74001
13.916598,168,91.320971
14.425432,168,94.36417
11.08848,168,97.401343
13.269677,168,100.354705
-0.726418,168,103.369077
13.348557,168,106.213127
8.283824,168,109.265184
8.014367,168,111.8998
3.381386,168,114.621989
10.097425,168,117.720987
6.230885,168,121.49064
3.99363,168,125.042065
6.794676,168,128.206786
4.93035,168,130.95685
8.817659,168,133.774545
11.833928,168,136.761412
9.485251,168,141.463746
4.588184,168,144.328131
8.696763,168,146.894757
13.208296,168,149.462659
11.588547,168,152.031898
9.393746,168,154.630249
14.661661,168,157.222466
13.809283,168,159.840511
8.317049,168,162.388333
14.273319,168,164.960682
13.464462,168,167.715768
1.547278,168,170.275207
8.662844,168,172.844707
9.057847,168,175.401921
11.945955,168,177.968317
2.24343,168,180.557394
14.910317,168,183.102176
10.890182,168,185.693894
12.162886,168,188.286735
12.25208,168,190.871993
12.03146,168,193.546719
7.428237,168,196.1318
10.511044,168,198.703591
10.340406,168,201.289041
10.502838,168,203.865273
13.092862,168,206.427027
10.245595,168,208.988
7.608492,168,211.540788
3.809886,168,214.12144
7.85789,168,216.824914
11.187784,168,221.180188
11.945725,168,223.842697
9.700662,168,226.440637
11.294623,168,229.034372
10.760204,168,231.582972
9.966759,168,234.128173
8.294334,168,236.712824
5.36036,168,239.297656
11.07169,168,241.954557
13.245449,168,244.514878
8.956076,168,247.09101
10.414891,168,249.817251
9.5045,168,252.623595
12.11966,168,255.214125
9.896514,168,257.81397
4.587544,168,260.398207
7.890038,168,262.968241
11.175643,168,265.589173
13.800984,168,268.18421
13.553803,168,270.752685
8.907636,168,273.3662
10.802172,168,275.984064
7.386445,168,278.609046
7.825258,168,281.212869
9.155562,168,283.808177
9.769277,168,286.421652
9.198779,168,289.035891
6.533371,168,291.608569
10.793936,168,294.157523
10.04922,168,296.908316
7.536235,168,301.179169
8.469569,168,303.783619
8.490638,168,306.378923
15.162366,168,309.12752
10.338033,168,311.854304
5.339556,168,314.430803
7.831163,168,317.04128
3.456424,168,319.630136
8.825979,168,322.232088
10.655797,168,324.875054
9.100122,168,327.477884
11.682322,168,330.092352
3.020366,168,332.726089
6.365247,168,335.334167
9.757131,168,338.03938
7.401647,168,341.075618
16.692857,168,343.674512
7.459389,168,346.266904
16.233572,168,348.918398
10.809346,168,351.513882
10.961398,168,354.073427
11.819137,168,356.705424
8.127635,168,359.283589
8.108641,168,361.877523
6.69235,168,364.472024
6.988034,168,367.087889
8.179915,168,369.832636
6.768446,168,372.431369
4.551487,168,374.998976
8.757647,168,379.225706
8.996906,168,381.854966
11.152884,168,384.440723
6.189671,168,387.014286
7.358831,168,389.743888
9.951297,168,392.369482
11.710747,168,394.94624
14.469909,168,397.550153
9.061902,168,400.181686
5.409846,168,402.761115
2.378576,168,405.373753
10.79864,168,407.989183
11.449144,168,410.565347
8.72034,168,413.141942
7.494023,168,415.73061
7.002488,168,418.304351
8.063352,168,420.893541
10.589383,168,423.519773
10.545326,168,426.176429
12.557153,168,428.952694
1.741789,168,431.539401
7.2782,168,434.118895
6.778317,168,436.707342
6.854543,168,439.465805
10.869977,168,442.031353
12.886516,168,444.616021
7.390254,168,447.182809
15.234647,168,449.790896
15.439278,168,452.388548
8.329654,168,454.94672
