episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
1,168,0,0,after_environment_step_before_replay_storage_and_optimizer,9518.591389364137,0.0,-0.742378437984371,2151607.386604475,0.0,221389.0699508319,2717952.4723800085,1046.8399605240497,0.0,0.0,0.0,12.0,0.0,0.0,0.8154761904761905,137.0,25332.818859505438,0.0,1.0,0.005952380952380952,0.0,-0.0009507248020674633,0.0,0.58,0.58,32.0,0.0,0.0,2939341.5423308406,-5.1896570963411905
2,336,0,0,after_environment_step_before_replay_storage_and_optimizer,8731.818426599677,0.0,7.7215698571617395,2174036.8141079647,0.0,223972.82110241114,2748331.912896124,-79.37781695949332,0.0,0.0,0.0,12.0,0.0,0.0,0.7797619047619048,131.0,25628.468956032477,0.0,1.0,0.005952380952380952,0.0,0.0043788182103942875,0.0,0.58,0.58,24.0,0.0,0.0,2972304.733998535,-0.06640510663224125
3,504,0,0,after_environment_step_before_replay_storage_and_optimizer,8861.128035189808,0.0,-0.339442841734126,2063571.934031945,0.0,211212.95522730495,2608051.22567402,6.50567278285439,0.0,0.0,0.0,12.0,0.0,0.0,0.8392857142857143,141.0,24168.39971703419,0.0,0.0,0.0,0.0,-0.0010577174204299475,0.0,0.58,0.58,32.0,0.0,0.0,2819264.1809013253,-0.012161793410221874
4,672,0,0,after_environment_step_before_replay_storage_and_optimizer,9810.459179568154,0.0,-4.778836466944995,2105408.43666211,0.0,215009.68768050725,2661026.3824781547,73.28470886936725,0.0,0.0,0.0,12.0,0.0,0.0,0.8511904761904762,143.0,24602.847251035488,0.0,0.0,0.0,0.0,-0.0131407168998037,0.0,0.58,0.58,24.600000381469727,0.0,0.0,2876036.070158662,-0.07969335633013652
5,840,0,0,after_environment_step_before_replay_storage_and_optimizer,9021.0511192611,0.0,3.4910391637604334,2103187.1756692207,0.0,213957.84882077435,2659383.422319834,666.4289520412678,0.0,0.0,0.0,12.0,0.0,0.0,0.8511904761904762,143.0,24482.488810083905,0.0,0.0,0.0,0.0,-0.0043318060412261515,0.0,0.58,0.58,27.799999237060547,0.0,0.0,2873341.2711406085,-3.5416071100319697
6,1008,0,0,after_environment_step_before_replay_storage_and_optimizer,8439.293192782781,0.0,8.32749793601215,2049837.849569589,0.0,207755.23044215486,2590240.700742297,725.4204698805142,0.0,0.0,0.0,12.0,0.0,0.0,0.8333333333333334,140.0,23772.743708958977,0.0,1.0,0.005952380952380952,0.0,0.010953734388652266,0.0,0.58,0.58,24.0,0.0,0.0,2797995.9311844516,-4.126752225563302
7,1176,0,0,after_environment_step_before_replay_storage_and_optimizer,9394.913930101917,0.0,-26.6523360760566,2026462.9323537685,0.0,208403.90082085383,2561202.3595260447,13.165272730570905,0.0,0.0,0.0,12.0,0.0,0.0,0.8095238095238095,136.0,23846.96891441631,0.0,1.0,0.005952380952380952,0.0,-0.01385188418570655,0.0,0.58,0.58,24.0,0.0,0.0,2769606.2603468983,1.5333138009105356
8,1344,0,0,after_environment_step_before_replay_storage_and_optimizer,9795.373387986221,0.0,22.70622665092924,2088372.7629145472,0.0,213097.6378234687,2637741.872473536,-513.7023511504738,0.0,0.0,0.0,12.0,0.0,0.0,0.8630952380952381,145.0,24384.05771147304,0.0,0.0,0.0,0.0,0.014615594858532874,0.0,0.58,0.58,28.899999618530273,0.0,0.0,2850839.5102970046,1.2061381566966147
9,1512,0,0,after_environment_step_before_replay_storage_and_optimizer,11736.605109806918,0.0,22.449447188844715,2193264.59234019,0.0,221538.66863371254,2770697.2815325954,600.1450250428697,0.0,0.0,0.0,12.0,0.0,0.0,0.8630952380952381,145.0,25349.936941874534,0.0,1.0,0.005952380952380952,0.0,0.022956937957270385,0.0,0.58,0.58,32.0,0.0,0.0,2992235.950166308,-4.34769195654503
10,1680,0,0,after_environment_step_before_replay_storage_and_optimizer,9216.61464651698,0.0,37.02170610272697,2100883.621627749,0.0,215549.1748988941,2655229.989785407,-18.86516334341036,0.0,0.0,0.0,12.0,0.0,0.0,0.7857142857142857,132.0,24664.578988665748,0.0,1.0,0.005952380952380952,0.0,0.01198120768627316,0.0,0.58,0.58,24.0,0.0,0.0,2870779.1646843012,-2.1269765494465616
11,1848,0,0,after_environment_step_before_replay_storage_and_optimizer,11283.362219897881,0.0,-13.368786113458555,2082086.5277431002,0.0,215497.658834556,2631407.5286531528,1256.233285895626,0.0,0.0,0.0,12.0,0.0,0.0,0.8571428571428571,144.0,24658.684175852624,0.0,0.0,0.0,0.0,-0.008466952139029784,0.0,0.58,0.58,24.0,0.0,0.0,2846905.187487709,-5.479039262670615
12,2016,30,15,after_environment_step_before_replay_storage_and_optimizer,10663.972535698542,0.0,-9.854106400140154,2081536.6745827824,0.0,214612.74344987428,2630509.3004619014,333.6774498819977,0.0,0.0,0.0,12.0,0.0,0.0,0.8630952380952381,145.0,24557.426235923114,0.0,1.0,0.005952380952380952,0.0,-0.017832359572566406,0.0,0.58,0.58,24.0,0.0,0.0,2845122.0439117756,-1.0771408654015808
13,2184,366,183,after_environment_step_before_replay_storage_and_optimizer,23339.059584672632,0.0,158.06320516367668,2181287.594710694,0.0,223616.6913601565,2756023.9556727083,-543.1818630653552,0.0,0.0,0.0,12.0,0.0,0.0,0.9583333333333334,161.0,25587.71820779986,0.0,0.0,0.0,0.0,0.11482934006108209,0.0,0.58,0.58,24.0,0.0,0.0,2979640.647032865,-6.76788299449382
14,2352,702,351,after_environment_step_before_replay_storage_and_optimizer,25214.7343180103,0.0,319.9645310363085,2236805.3610755736,0.0,229913.75551993345,2820528.178280075,-5342.188448922447,0.0,0.0,0.0,12.0,0.0,0.0,1.0,168.0,26308.27042721043,0.0,0.0,0.0,0.0,0.20408206313216543,0.0,0.58,0.58,32.0,0.0,0.0,3050441.9338000086,7.5130703824337255
15,2520,1038,519,after_environment_step_before_replay_storage_and_optimizer,22311.607433748715,0.0,310.67080258133683,2072594.0572884758,0.0,212037.4447880178,2614521.4965481735,-4617.227260930069,0.0,0.0,0.0,12.0,0.0,0.0,0.9702380952380952,163.0,24262.743329831923,0.0,1.0,0.005952380952380952,0.0,0.17740373137247697,0.0,0.58,0.58,26.5,0.0,0.0,2826558.9413361913,4.445888149770141
16,2688,1374,687,after_environment_step_before_replay_storage_and_optimizer,21081.549928121065,0.0,190.78165816245019,2162000.532814519,0.0,224441.8313904343,2733099.668744603,-352.0939346438413,0.0,0.0,0.0,12.0,0.0,0.0,0.8452380952380952,142.0,25682.136251677985,0.0,0.0,0.0,0.0,0.22477319064454782,0.0,0.58,0.58,24.0,0.0,0.0,2957541.5001350376,-9.686429816527808
17,2856,1710,855,after_environment_step_before_replay_storage_and_optimizer,18160.737199414583,0.0,44.00253790102579,2081525.6780735315,0.0,212059.37288748284,2629125.1475088825,-385.25706206750885,0.0,0.0,0.0,12.0,0.0,0.0,0.7738095238095238,130.0,24265.25248970962,0.0,0.0,0.0,0.0,0.11259353810962067,0.0,0.58,0.58,24.0,0.0,0.0,2841184.5203963653,-0.7138669637239969
18,3024,2046,1023,after_environment_step_before_replay_storage_and_optimizer,24502.058982163773,0.0,324.1423945741644,2252892.588452236,0.0,229912.69697982696,2843696.525425563,-3119.3747374037666,0.0,0.0,0.0,12.0,0.0,0.0,0.9880952380952381,166.0,26308.149301967984,0.0,0.0,0.0,0.0,0.5764295000496928,0.0,0.58,0.58,32.0,0.0,0.0,3073609.22240539,-3.8516699874310305
19,3192,2382,1191,after_environment_step_before_replay_storage_and_optimizer,15291.790010442093,0.0,142.08518663966424,2064010.6987938057,0.0,209209.06827515402,2606035.3965533474,-2260.1997830561977,0.0,0.0,0.0,12.0,0.0,0.0,0.6904761904761905,116.0,23939.1015625,0.0,0.0,0.0,0.0,0.11273691628841156,0.0,0.58,0.58,24.0,0.0,0.0,2815244.4648285015,2.7758877169011376
20,3360,2718,1359,after_environment_step_before_replay_storage_and_optimizer,15729.882661487707,0.0,148.6792682131727,2099674.1774200895,0.0,212443.38488453513,2651204.5336752594,-3047.9421331980056,0.0,0.0,0.0,12.0,0.0,0.0,0.7857142857142857,132.0,24309.19371211668,0.0,1.0,0.005952380952380952,0.0,0.16437469532940951,0.0,0.58,0.58,24.0,0.0,0.0,2863647.918559795,6.3189545731996715
21,3528,3054,1527,after_environment_step_before_replay_storage_and_optimizer,14701.221662501808,0.0,158.73871004250032,2064015.974414729,0.0,210489.94437342638,2604379.1622549784,-3648.1723188534515,0.0,0.0,0.0,12.0,0.0,0.0,0.7083333333333334,119.0,24085.66797694047,0.0,1.0,0.005952380952380952,0.0,0.16944247276881555,0.0,0.58,0.58,25.700000762939453,0.0,0.0,2814869.106628405,8.716538991717243
