#{"t_start": 1789177933.663836, "env_id": "None"}
r,l,t
-355.465895,168,2.216934
-323.020469,168,2.447435
-280.918963,168,2.678799
-320.986148,168,2.911054
-269.506372,168,3.140841
-337.82668,168,3.373959
-259.97209,168,3.605343
-325.725322,168,3.83665
-312.721574,168,4.488696
-289.990216,168,4.722584
-273.120975,168,4.954853
-299.15031,168,5.186257
-296.959598,168,5.419311
-231.137185,168,5.648214
-282.725216,168,5.87807
-205.692297,168,6.108339
-329.853949,168,6.720803
-314.829558,168,6.949158
-308.497072,168,7.183926
-294.471905,168,7.429114
-298.169708,168,7.657014
-259.943665,168,7.886181
-286.663368,168,8.126009
-276.487748,168,8.364511
-291.578892,168,8.993801
-284.533451,168,9.226089
-345.907288,168,9.458359
-286.940959,168,9.68946
-281.617895,168,9.921725
-265.300833,168,10.152898
-285.608616,168,10.383151
-298.082845,168,10.614467
-239.953369,168,11.23292
-270.4047,168,11.46311
-232.882102,168,11.69177
-290.385476,168,11.921989
-267.92474,168,12.154316
-247.500265,168,12.386924
-298.739156,168,12.713587
-301.26885,168,12.970955
-278.111974,168,13.634461
-221.439952,168,13.873732
-301.618348,168,14.105947
-240.949678,168,14.336613
-336.653493,168,14.566014
-306.525314,168,14.798295
-277.868808,168,15.02865
-261.858622,168,15.260313
-237.454321,168,15.88411
-293.041535,168,16.112473
-229.694764,168,16.34324
-263.776803,168,16.574343
-294.081301,168,16.811269
-300.870687,168,17.048441
-295.539226,168,17.28855
-268.154576,168,17.531363
-256.272077,168,18.219193
-270.271829,168,18.461852
-303.907033,168,18.696253
-319.900474,168,18.928165
-268.538802,168,19.161428
-276.9119,168,19.394024
-267.209844,168,19.624579
-315.435417,168,19.85812
-274.215724,168,21.639884
-298.699321,168,21.870952
-297.551749,168,22.104509
-293.197175,168,22.337398
-281.378814,168,22.570802
-306.625117,168,22.808171
-303.454863,168,23.037975
-329.11126,168,23.26934
-268.481683,168,23.914324
-305.361254,168,24.148266
-316.799992,168,24.379251
-324.0962,168,24.610242
-213.465442,168,24.848626
-317.727134,168,25.084371
-301.758866,168,25.322403
-289.768974,168,25.557496
-270.876467,168,26.185562
-289.398735,168,26.414364
-263.000677,168,26.64396
-299.510645,168,26.878863
-236.632836,168,27.110265
-297.849968,168,27.3392
-271.204154,168,27.569172
-300.203053,168,27.798318
-291.757428,168,28.428224
-242.998264,168,28.661295
-266.050308,168,28.89418
-305.514021,168,29.127654
-292.20977,168,29.36261
-258.010472,168,29.606038
-283.09799,168,29.834817
-244.818145,168,30.065303
-289.616418,168,30.760714
-229.717114,168,30.99825
-265.646304,168,31.235788
-259.1253,168,31.482003
-319.259614,168,31.714186
-272.21181,168,31.943914
-306.331319,168,32.175035
-276.226234,168,32.405419
-281.053167,168,33.04322
-293.726683,168,33.281098
-255.969775,168,33.520451
-240.185709,168,33.837146
-261.564711,168,34.097623
-291.429853,168,34.363196
-277.392125,168,34.60425
-288.906785,168,34.84347
-274.852492,168,35.613533
-289.30567,168,35.864013
-255.953585,168,36.102364
-260.731867,168,36.340711
-271.810387,168,36.579609
-255.897372,168,36.813743
-326.590299,168,37.049151
-328.543526,168,37.284795
-221.758027,168,39.025502
-296.235765,168,39.278218
-290.749078,168,39.522963
-248.980246,168,39.759069
-311.911313,168,39.996251
-291.248366,168,40.237346
-240.990745,168,40.470766
-307.418196,168,40.700936
-276.355234,168,41.339764
-301.967697,168,41.575955
-263.527628,168,41.807315
-290.357801,168,42.044167
-287.100059,168,42.272703
-257.657428,168,42.507553
-270.803912,168,42.749334
-265.166776,168,42.999714
-270.939266,168,43.654018
-286.561583,168,43.888211
-247.442434,168,44.128221
-290.143603,168,44.362179
-280.447968,168,44.625252
-300.29865,168,44.87226
-277.992897,168,45.109436
-286.119625,168,45.353621
-283.828287,168,46.02454
-271.386888,168,46.26403
-288.440749,168,46.50199
-293.534139,168,46.736865
-276.931783,168,46.972398
-296.991556,168,47.204724
-250.572754,168,47.438855
-255.036709,168,47.678731
-274.888048,168,48.317309
-250.377205,168,48.55428
-226.939872,168,48.788599
-299.889086,168,49.024752
-315.907292,168,49.270361
-276.608245,168,49.513155
-220.364895,168,49.762606
-278.458725,168,50.021914
-232.768948,168,50.664317
-249.156567,168,50.899524
-282.866766,168,51.13474
-261.460428,168,51.370158
-268.19308,168,51.60248
-236.744389,168,51.834436
-266.460008,168,52.072531
-243.316124,168,52.306743
-195.172523,168,52.939548
-237.936304,168,53.176642
-269.779037,168,53.417123
-257.83618,168,53.663359
-212.518983,168,53.909128
-225.710853,168,54.164119
-242.011952,168,54.414662
-227.501709,168,54.649944
-213.306174,168,55.294626
-277.811844,168,55.534172
-229.374465,168,55.766051
-233.918621,168,55.999484
-262.442616,168,56.233241
-246.628482,168,56.465495
-199.221054,168,56.700917
-236.99949,168,56.935198
-228.947351,168,58.678368
-147.132448,168,58.917934
-239.752688,168,59.155081
-232.692299,168,59.390204
-212.631467,168,59.629282
-253.501862,168,59.869613
-238.190013,168,60.106291
-262.413857,168,60.342909
-196.51165,168,60.976636
-219.7386,168,61.222705
-257.92774,168,61.47028
-285.216186,168,61.72081
-241.369591,168,61.958841
-288.950947,168,62.195173
-202.449739,168,62.428518
-198.447752,168,62.662327
-260.201483,168,63.291234
-200.381799,168,63.523214
-212.50527,168,63.75711
-233.065971,168,63.991074
-237.298256,168,64.220807
-215.762883,168,64.462149
-258.895373,168,64.695926
-225.625611,168,64.928735
-233.390895,168,65.58311
-282.930874,168,65.923263
-231.988021,168,66.166008
-252.031952,168,66.397267
-236.249078,168,66.633965
-272.016949,168,66.87273
-236.052223,168,67.105373
-283.413679,168,67.336122
-212.794187,168,67.962671
-224.466512,168,68.209141
-232.219676,168,68.441423
-193.030921,168,68.674117
-265.208978,168,68.903583
-200.75119,168,69.137271
-250.286449,168,69.378759
-230.393396,168,69.61995
-250.617094,168,70.277882
-259.931059,168,70.510376
-305.632085,168,70.740734
-210.303042,168,70.973018
-249.733899,168,71.202069
-233.507523,168,71.434184
-183.105233,168,71.6667
-199.019606,168,71.898613
-248.251344,168,72.529663
-250.912318,168,72.763044
-282.638739,168,72.994855
-229.753573,168,73.231743
-248.766462,168,73.473419
-245.241435,168,73.72817
-215.489303,168,73.980829
-161.058349,168,74.220516
-247.284352,168,75.919676
-178.526369,168,76.156336
-236.396867,168,76.388683
-120.605897,168,76.622543
-219.878682,168,76.857388
-182.915834,168,77.094338
-221.762629,168,77.334734
-234.148937,168,77.573099
-236.563131,168,78.222875
-219.415471,168,78.455711
-204.505118,168,78.688187
-158.563889,168,78.921328
-192.596602,168,79.15347
-254.928592,168,79.38468
-174.161275,168,79.61534
-194.162583,168,79.846918
-198.430964,168,80.477065
-235.246868,168,80.709601
-183.193749,168,80.942757
-180.254829,168,81.176204
-235.65116,168,81.486317
-180.720674,168,81.725746
-205.544074,168,81.964631
-257.815157,168,82.207632
-175.815401,168,82.850952
-187.240013,168,83.094761
-237.108295,168,83.339059
-201.413205,168,83.579004
-164.151831,168,83.81484
-208.160591,168,84.048148
-249.178462,168,84.278583
-209.185777,168,84.508506
-226.465836,168,85.156616
-192.369433,168,85.399945
-150.871552,168,85.642615
-204.931051,168,85.88442
-131.06931,168,86.11844
-198.376579,168,86.350364
-221.529288,168,86.582538
-178.244925,168,86.816873
-153.229165,168,87.518649
-171.789545,168,87.753748
-141.766203,168,87.987753
-167.965286,168,88.220329
-171.498603,168,88.45037
-180.905937,168,88.682034
-203.347529,168,88.916959
-211.192059,168,89.159686
-198.532319,168,89.830619
-131.960023,168,90.064874
-223.73059,168,90.300367
-167.059317,168,90.532185
-244.822091,168,90.762751
-176.416786,168,90.992905
-137.533729,168,91.222602
-179.624592,168,91.461271
-170.827165,168,92.088202
-214.270263,168,92.322374
-223.08587,168,92.556815
-137.687908,168,92.790863
-215.163481,168,93.031227
-135.240554,168,93.274624
-186.779365,168,93.522652
-197.886434,168,93.771153
-200.125432,168,95.517515
-181.837608,168,95.760434
-176.578457,168,95.998131
-184.314072,168,96.236472
-217.612512,168,96.468829
-208.214984,168,96.709448
-153.311541,168,96.940107
-138.557527,168,97.173736
-180.861711,168,97.819606
-176.872008,168,98.055377
-179.25713,168,98.293235
-130.8371,168,98.52591
-139.09165,168,98.759607
-172.474407,168,98.991334
-176.961277,168,99.223268
-112.143127,168,99.454917
-151.900912,168,100.081882
-131.820706,168,100.312776
-189.473296,168,100.547348
-173.960137,168,100.778394
-182.432636,168,101.011124
-134.651076,168,101.243513
-217.617722,168,101.482443
-178.87476,168,101.72244
-183.658999,168,102.395756
-228.701093,168,102.627832
-157.9452,168,102.861829
-181.032494,168,103.0952
-199.957299,168,103.327824
-173.978459,168,103.563646
-169.818246,168,103.797037
-177.426805,168,104.030724
-149.923601,168,104.657716
-221.097689,168,104.896703
-120.030841,168,105.131107
-234.835379,168,105.36862
-116.67306,168,105.612519
-176.004844,168,105.850423
-187.67843,168,106.089534
-152.711117,168,106.327813
-182.06844,168,106.956959
-161.033811,168,107.189482
-145.834455,168,107.425102
-156.022082,168,107.742837
-157.223976,168,107.977559
-176.956451,168,108.209157
-94.706552,168,108.440679
-165.046618,168,108.672267
-186.922109,168,109.301153
-169.460119,168,109.54181
-144.277737,168,109.779641
-165.916154,168,110.019765
-197.758398,168,110.257642
-139.367201,168,110.488838
-150.446265,168,110.722445
-162.187388,168,110.958596
