#{"t_start": 1789179932.494526, "env_id": "None"}
r,l,t
-276.146952,168,2.931025
-306.930967,168,3.151375
-301.186858,168,3.366043
-322.98402,168,3.695655
-305.390512,168,4.081474
-367.378082,168,4.328739
-357.901489,168,4.552954
-277.739085,168,4.76814
-321.797069,168,4.981572
-297.056325,168,5.194225
-344.698254,168,5.410015
-336.227347,168,5.863425
-32.408804,168,8.45186
-37.556561,168,11.035223
-44.869977,168,13.633567
-32.183534,168,16.234221
-31.71127,168,18.922949
-31.901573,168,21.530142
-31.998051,168,24.081785
-30.558799,168,26.669509
-29.075921,168,29.314206
-34.881248,168,31.971089
-26.933845,168,34.913276
-32.817976,168,37.565176
-29.905476,168,40.195309
-31.785549,168,42.94975
-39.454202,168,45.571835
-44.971086,168,48.219812
-36.824945,168,50.911776
-31.16838,168,53.510871
-44.543622,168,56.127443
-35.100965,168,58.725848
-35.418096,168,61.383657
-35.43552,168,64.196615
-36.296287,168,66.81718
-53.717151,168,69.448075
-46.913087,168,72.095263
-31.496559,168,74.828573
-34.575516,168,77.481876
-79.307754,168,80.103133
-49.294718,168,82.760766
-54.429025,168,85.433992
-90.170251,168,88.066728
-171.244942,168,90.701866
-98.266376,168,93.341566
-89.321751,168,96.010741
-46.095201,168,98.66855
-36.16796,168,101.327656
-34.100766,168,104.107348
-36.527813,168,106.76536
-37.208878,168,109.708039
-44.172766,168,112.364017
-34.849163,168,115.079739
-59.519815,168,117.733214
-52.560008,168,120.345888
-52.434714,168,123.00549
-58.301866,168,125.634127
-47.895199,168,128.283607
-33.66653,168,130.948038
-35.754687,168,135.358618
-50.216657,168,138.03267
-68.057024,168,140.663353
-59.971816,168,143.438268
-67.950152,168,146.113848
-77.425683,168,148.780174
-36.1453,168,151.418561
-42.553924,168,154.066543
-32.358915,168,156.743481
-42.506497,168,159.382922
-73.223326,168,162.050048
-62.416686,168,164.837358
-70.39052,168,167.658273
-38.609176,168,170.435405
-35.033451,168,173.102775
-83.591733,168,175.774425
-31.932446,168,178.545545
-46.976848,168,181.166734
-57.477803,168,183.875753
-79.937973,168,186.494101
-34.451195,168,189.131751
-50.915056,168,191.854917
-30.628622,168,194.584792
-31.293294,168,197.259938
-40.775499,168,199.900027
-59.176794,168,203.048095
-41.296008,168,206.315874
-49.992917,168,209.189336
-47.492943,168,211.986203
-44.749409,168,214.940745
-54.22702,168,217.804084
-69.858396,168,220.620373
-69.784707,168,223.527152
-76.356716,168,226.346185
-34.57749,168,229.221211
-42.060207,168,232.061526
-66.610225,168,235.390196
-55.520751,168,238.274063
-33.884593,168,241.078519
-36.926781,168,243.88187
-35.746524,168,246.781008
-28.01513,168,249.831408
-45.164348,168,252.79144
-22.494118,168,255.618504
-28.366639,168,258.339853
-34.496444,168,261.091015
-51.671355,168,263.891064
-42.320318,168,266.66223
-38.565167,168,269.375081
-40.801689,168,272.000082
-38.374658,168,274.674624
-34.404864,168,277.358276
-42.901231,168,280.002426
-44.670301,168,282.670119
-37.99404,168,285.474265
-41.196872,168,288.116527
-45.022072,168,291.014601
-41.061917,168,293.690911
-30.273161,168,296.551596
-35.017351,168,299.204171
-41.09032,168,303.380547
-31.933791,168,306.044627
-43.235329,168,308.67269
-33.909157,168,311.634633
-32.822469,168,314.320036
-38.032205,168,317.021154
-38.63655,168,319.718118
-35.604893,168,322.363713
-38.094304,168,325.004234
-42.683001,168,327.663432
-33.636629,168,330.333274
-39.836924,168,332.978729
-31.033307,168,335.640826
-39.593521,168,338.282409
-38.871393,168,340.938653
-40.655855,168,343.716991
-28.530601,168,346.396566
-31.287602,168,349.044611
-35.579928,168,351.769654
-32.342582,168,354.44157
-27.051851,168,357.09322
-29.725728,168,359.899475
-28.807431,168,362.543926
-31.590173,168,365.396659
-38.441234,168,368.042674
-31.306688,168,370.683271
-51.334841,168,373.676035
-38.380957,168,377.050756
-44.053054,168,379.779645
-36.593297,168,382.502488
-27.063453,168,385.197794
-31.349953,168,388.155391
-29.694267,168,390.963516
-29.657207,168,394.310426
-28.110003,168,399.026471
-37.372044,168,401.983457
-31.062091,168,405.949153
-34.193563,168,408.963653
-38.580858,168,412.06046
-47.215402,168,414.976366
-31.325508,168,417.890006
-40.367649,168,420.91081
-27.659257,168,423.92349
-28.60827,168,426.866153
-38.417461,168,429.737023
-36.631463,168,432.699333
-40.389841,168,435.593459
-32.556341,168,438.469786
-33.031273,168,441.302356
-32.16293,168,444.186499
-36.57464,168,447.078518
-36.016309,168,449.952774
-26.052191,168,452.768427
-33.30933,168,455.66096
-23.648905,168,458.522306
-44.327396,168,461.383706
-31.112385,168,464.435352
-34.177012,168,468.292844
-38.752493,168,471.478377
-32.539151,168,476.394784
-41.641437,168,479.566378
-29.120472,168,482.737439
-32.253444,168,485.848635
-31.032868,168,489.074167
-31.817159,168,492.219403
-30.579195,168,495.158798
-30.35295,168,497.985558
-29.231849,168,500.82986
-38.137969,168,503.670809
-38.006998,168,506.68323
-30.508119,168,509.536106
-30.075722,168,512.367351
-34.130611,168,515.261782
-30.410601,168,518.163403
-27.948566,168,521.017023
-29.695725,168,524.007796
-27.29023,168,526.914038
-26.16984,168,529.769153
-34.377336,168,532.603195
-24.910275,168,535.628333
-31.14361,168,538.444277
-29.699366,168,541.266973
-25.262933,168,544.071045
-25.874737,168,546.876565
-31.61215,168,549.700629
-36.520689,168,552.597513
-28.881087,168,555.448782
-25.035789,168,558.261346
-23.660201,168,561.233625
-31.42586,168,564.068059
-25.861243,168,566.89201
-27.873519,168,569.689769
-37.505755,168,572.515875
-27.341996,168,575.372541
-46.441859,168,578.178682
-23.125906,168,581.02422
-26.571856,168,584.01466
-28.395916,168,586.849204
-29.568895,168,589.670462
-40.473241,168,592.628702
-23.495631,168,595.762704
-23.394888,168,598.722463
-29.065436,168,601.674181
-26.654097,168,604.560792
-32.792817,168,607.579922
-28.511848,168,610.564661
-26.943665,168,613.626161
-29.851262,168,616.480337
-30.392135,168,619.30311
-37.716764,168,622.142059
-40.92181,168,625.041004
-27.817885,168,627.85992
-26.561108,168,630.78621
-27.155979,168,633.636832
-28.803291,168,636.48519
-26.320691,168,639.500916
-20.046323,168,642.419384
-25.641501,168,645.463068
-21.72641,168,648.281426
-29.099767,168,652.89108
-24.713162,168,655.885648
-35.2811,168,658.723672
-27.239875,168,661.774852
-31.147084,168,664.619902
-25.594726,168,667.554394
-30.246739,168,670.470262
-26.722117,168,673.385565
-26.078629,168,676.307124
-19.886129,168,679.359035
-24.992142,168,682.228986
-29.490527,168,685.022834
-23.133396,168,687.91547
-27.426031,168,690.766227
-26.270579,168,693.638416
-21.471827,168,696.451266
-28.199844,168,699.454965
-28.346776,168,702.386675
-44.417046,168,705.390988
-27.374594,168,708.274168
-24.076848,168,711.149268
-26.446301,168,713.911097
-29.602712,168,716.66643
-21.378114,168,719.459961
-33.086849,168,722.350438
-42.372276,168,725.059253
-24.922079,168,727.858319
-23.22631,168,730.629484
-29.344365,168,733.459831
-28.011541,168,736.266984
-22.859126,168,739.03749
-25.949277,168,741.76026
-26.905936,168,744.502067
-23.58559,168,747.222289
-33.830832,168,749.953503
-24.622549,168,752.717999
-26.40507,168,755.48519
-32.188981,168,758.230286
-12.30976,168,760.994975
-41.832064,168,764.002096
-26.976212,168,766.819362
-31.864793,168,769.554365
-32.130022,168,772.292645
-29.082911,168,775.090961
-21.188025,168,777.901311
-26.168238,168,780.660218
-23.798886,168,783.437038
-33.795236,168,786.19549
-22.882863,168,789.085704
-27.484419,168,791.878195
-25.628044,168,794.664482
-22.424829,168,797.548076
-27.481863,168,800.42507
-26.486531,168,803.348738
-30.601095,168,806.083306
-29.263701,168,808.900781
-18.364882,168,811.724917
-28.844412,168,814.591126
-30.394727,168,817.507551
-20.803813,168,821.875719
-25.231003,168,824.985602
-24.867209,168,827.829757
-34.328503,168,830.579614
-24.786945,168,833.380078
-26.974261,168,836.141531
-19.742979,168,838.860757
-21.00945,168,841.616847
-21.275882,168,844.404527
-29.620285,168,847.159229
-25.369443,168,849.922572
-26.163028,168,852.719814
-27.424899,168,855.509645
-25.26531,168,858.42441
-22.773469,168,861.204489
-24.86578,168,863.955164
-20.911592,168,866.77743
-23.161453,168,869.652311
-24.991467,168,872.47745
-14.51838,168,875.23538
-48.647122,168,877.995801
-30.912073,168,880.758851
-25.204153,168,883.550691
-23.321289,168,886.342366
-24.083938,168,889.124893
-27.449108,168,891.876122
-23.696522,168,894.64816
-26.804898,168,897.394597
-23.718299,168,900.238509
-24.39545,168,902.984131
-23.150035,168,905.728949
-24.16539,168,908.626653
-30.428681,168,911.391029
-28.837893,168,914.213045
-23.197471,168,917.014625
-23.595571,168,919.800388
-26.024497,168,922.625246
-25.269069,168,925.455148
-22.360446,168,928.210338
-23.260397,168,931.178887
-22.947784,168,934.326737
-22.804083,168,937.745262
-24.991247,168,940.554932
-22.582528,168,943.31911
-26.32232,168,945.957895
-21.956802,168,948.593171
-24.951923,168,951.173242
-31.308438,168,953.761211
-17.809419,168,956.374156
-24.421584,168,958.960239
-27.909404,168,961.571467
-25.165981,168,964.308788
-29.077168,168,966.922369
-24.523609,168,969.54162
-23.484782,168,972.153449
-23.666399,168,974.800637
-21.220502,168,977.424139
-23.494078,168,980.016198
-21.603773,168,982.640233
-31.873569,168,985.254695
