#{"t_start": 1789178551.918089, "env_id": "None"}
r,l,t
-276.146952,168,2.486843
-306.930967,168,2.691084
-301.186858,168,2.895382
-322.98402,168,3.097522
-305.390512,168,3.302412
-367.378082,168,3.603779
-357.901489,168,3.813019
-277.739085,168,4.014437
-321.797069,168,4.213706
-297.056325,168,4.413035
-344.698254,168,4.614685
-336.235711,168,5.032145
-33.48014,168,7.440838
-38.77428,168,9.810874
-41.570957,168,12.207884
-44.099911,168,14.607073
-36.152949,168,16.973817
-36.61009,168,19.322588
-35.091127,168,21.654067
-28.397113,168,24.037324
-27.846076,168,26.372976
-35.086775,168,28.727473
-28.679226,168,31.082445
-29.164048,168,33.608012
-24.722785,168,35.993346
-36.000686,168,38.337989
-36.812344,168,40.731981
-34.727571,168,43.113849
-41.670335,168,45.507564
-37.297628,168,47.936072
-51.904656,168,50.362832
-51.113004,168,52.770892
-43.017698,168,55.139694
-41.181114,168,57.508291
-46.038289,168,59.881018
-32.733651,168,62.345074
-37.16806,168,64.716659
-39.113569,168,67.158175
-38.245292,168,69.668308
-27.816212,168,72.22807
-39.562102,168,74.617145
-35.242006,168,76.978892
-43.173931,168,79.336963
-39.16472,168,81.700492
-48.407652,168,84.050205
-41.666032,168,86.426054
-42.560214,168,88.826229
-45.364546,168,91.236755
-41.394364,168,93.684083
-46.497606,168,96.138709
-44.528369,168,98.493543
-40.258282,168,100.866078
-41.526096,168,103.2967
-41.826292,168,105.76568
-45.878111,168,108.223371
-40.208969,168,110.764668
-40.268752,168,113.307223
-35.010554,168,115.61002
-30.067374,168,117.993944
-34.931822,168,122.161525
-37.33878,168,124.639773
-34.759114,168,127.127317
-42.546006,168,129.602663
-50.350111,168,132.572783
-22.8189,168,134.955081
-34.335409,168,137.311197
-39.688437,168,139.638804
-24.267311,168,143.458618
-25.336932,168,146.501373
-46.890906,168,148.993347
-43.870341,168,151.361347
-74.654945,168,153.744734
-36.520181,168,156.078628
-39.899421,168,158.456194
-42.385048,168,160.975155
-37.798665,168,163.445493
-50.833927,168,165.949332
-48.122969,168,168.445637
-49.735227,168,170.925288
-45.821888,168,173.327228
-58.541878,168,175.68092
-34.698525,168,178.030889
-43.186791,168,180.379233
-45.971971,168,182.910838
-37.37989,168,185.293519
-50.36687,168,187.704729
-58.199827,168,190.085728
-46.134867,168,192.401248
-76.596887,168,194.858942
-51.615591,168,197.235205
-60.924183,168,199.6135
-47.361627,168,201.981915
-40.123957,168,204.348364
-45.796661,168,206.650782
-59.86257,168,208.923522
-62.823102,168,211.342079
-55.458248,168,213.738595
-55.684233,168,216.093321
-45.789445,168,218.506612
-44.339371,168,220.866569
-36.175857,168,223.311271
-44.627227,168,226.025913
-44.521116,168,229.458964
-40.147495,168,233.668044
-39.435537,168,237.624296
-49.941888,168,240.630259
-45.369151,168,243.771061
-41.974764,168,246.953072
-37.068008,168,249.827739
-37.257353,168,252.914962
-33.047753,168,255.80583
-48.470996,168,258.563018
-36.620779,168,261.436203
-35.669017,168,264.135316
-44.54796,168,266.873384
-36.489895,168,269.743275
-53.59106,168,272.582459
-31.535614,168,275.288392
-42.392999,168,278.1547
-43.482817,168,282.660482
-48.57586,168,285.438062
-34.409402,168,288.295458
-36.409413,168,291.084553
-35.959195,168,293.785014
-38.313018,168,296.696791
-34.623709,168,299.32763
-32.92091,168,302.175262
-36.137469,168,304.990956
-60.992542,168,307.843491
-25.58268,168,310.960215
-36.43604,168,313.867232
-33.497548,168,316.595837
