episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
1,168,0,0,after_environment_step_before_replay_storage_and_optimizer,10273.763796134941,115829.15274015995,3398.5251725869693,2155006.6541555007,9266.33221921281,232784.0812233669,2711041.724384445,14797.435456708863,0.0,0.0,0.0,12.0,0.875,147.0,0.8511904761904762,143.0,26636.712301639964,0.0,0.0,0.0,0.0,-3.3196016916112723,0.0,0.687931673609494,0.48603999601360126,32.267992465496064,0.0,0.0,2953092.137827025,-345.8691910905016
2,336,0,0,after_environment_step_before_replay_storage_and_optimizer,9184.135134550334,117945.3651443667,2896.7380016725965,2176925.8305397783,9435.629211549343,239601.0879293859,2750280.7897365596,26933.395062000087,0.0,0.0,0.0,12.0,0.8988095238095238,151.0,0.8511904761904762,143.0,27416.759826506324,0.0,0.0,0.0,0.0,-3.7843914283447826,0.0,0.6819319885817233,0.43889735219857007,25.167960573399167,0.0,0.0,2999317.5068774945,-366.40601544380814
3,504,0,0,after_environment_step_before_replay_storage_and_optimizer,8201.007338135789,122754.13997358216,2538.2187673158787,2066110.492242103,9820.331197886562,227663.16801165894,2611988.0112633733,30213.835244375543,0.0,0.0,0.0,12.0,0.9345238095238095,157.0,0.8095238095238095,136.0,26050.743144191234,0.0,1.0,0.005952380952380952,0.0,-3.6339196448418476,0.0,0.6866565528361817,0.43911545746428887,32.0,0.0,0.0,2849471.510472919,-354.12667760714805
4,672,0,0,after_environment_step_before_replay_storage_and_optimizer,7793.511499502022,131812.03884597748,3220.443971506278,2108633.6594700827,10544.96310767819,228448.42111063484,2663445.6560195736,26476.25478809409,0.0,0.0,0.0,12.0,0.9345238095238095,157.0,0.7857142857142857,132.0,26140.597058477248,0.0,0.0,0.0,0.0,-3.8563403351635404,0.0,0.6875545716976768,0.4672870994854223,25.221606869971502,0.0,0.0,2902439.0402378864,-390.0167916609725
5,840,0,0,after_environment_step_before_replay_storage_and_optimizer,10707.926359209481,118120.49621673704,3005.2494850022504,2106188.9341150587,9449.639697338966,225114.51240646665,2663637.190621177,25526.500536413467,0.0,0.0,0.0,12.0,0.9285714285714286,156.0,0.8154761904761905,137.0,25759.108914931683,0.0,0.0,0.0,0.0,-3.5557066519009752,0.0,0.7351167597678617,0.4175776757560457,27.799999237060547,0.0,0.0,2898201.3427249826,-368.05246148224734
6,1008,0,0,after_environment_step_before_replay_storage_and_optimizer,10416.578912121731,125298.94149603277,2529.501017661494,2052359.0230893143,10023.915319682605,233032.73401805034,2597822.9983524224,43609.13697558381,0.0,0.0,0.0,12.0,0.8988095238095238,151.0,0.8869047619047619,149.0,26665.16481832484,0.0,1.0,0.005952380952380952,0.0,-3.748221465145271,0.0,0.7206087988909133,0.41331974877311645,25.542247609981363,0.0,0.0,2840879.647690155,-420.4057662908383
7,1176,0,0,after_environment_step_before_replay_storage_and_optimizer,11065.78846870357,129914.54735244966,2738.4648904567657,2029228.0495803014,10393.163788195976,229646.14460520583,2568718.6903026104,39164.903621842685,0.0,0.0,0.0,12.0,0.9047619047619048,152.0,0.8273809523809523,139.0,26277.64859556749,0.0,1.0,0.005952380952380952,0.0,-3.6872238908337636,0.0,0.7091760211295096,0.45971457126618037,25.626924615055238,0.0,0.0,2808757.9986960124,-414.90170934575474
8,1344,0,0,after_environment_step_before_replay_storage_and_optimizer,11361.316934673689,111401.72676890543,2679.1908256110855,2091029.2475135084,8912.138141512438,222886.71376225862,2643521.495136552,23967.13439216845,0.0,0.0,0.0,12.0,0.8988095238095238,151.0,0.875,147.0,25504.189286235887,0.0,0.0,0.0,0.0,-3.3483403905251494,0.0,0.7493097497902538,0.5072397925649121,28.899999618530273,0.0,0.0,2875320.347040323,-334.17093800972924
9,1512,0,0,after_environment_step_before_replay_storage_and_optimizer,8325.878453716987,123551.01309219528,2304.9830440853584,2195547.1259370884,9884.081047375625,242318.79849660295,2776635.302081646,37202.376484359134,0.0,0.0,0.0,12.0,0.9285714285714286,156.0,0.7797619047619048,131.0,27727.7384557908,0.0,1.0,0.005952380952380952,0.0,-4.615471931370117,0.0,0.715904525425225,0.4737205876271184,32.3174795680139,0.0,0.0,3028838.1816256247,-370.41052594862435
10,1680,0,0,after_environment_step_before_replay_storage_and_optimizer,9091.535830701112,120019.77979736181,2992.537697724454,2103839.13761937,9601.582383788942,226495.52073936892,2658807.4578299704,24106.531105483624,0.0,0.0,0.0,12.0,0.9047619047619048,152.0,0.7857142857142857,132.0,25917.13312971632,0.0,1.0,0.005952380952380952,0.0,-3.504993172369304,0.0,0.6843742027920506,0.4258003736219494,25.28293451704771,0.0,0.0,2894904.5609531286,-359.93567134537454
