#{"t_start": 1789181366.903182, "env_id": "None"}
r,l,t
-400.866412,168,2.815995
-324.808238,168,3.058235
-304.193151,168,3.300271
-329.661676,168,3.542638
-301.039219,168,3.78511
-384.794218,168,4.027458
-333.030775,168,4.263792
-306.566482,168,4.503866
-334.152465,168,4.740365
-306.19645,168,4.978643
-349.372279,168,5.217169
-308.473366,168,5.616246
-89.713922,168,7.390317
-165.182254,168,9.145456
-139.028416,168,11.026094
-37.782814,168,12.837145
-38.392614,168,14.598821
-137.42488,168,16.425725
-103.966144,168,18.222939
-39.251788,168,20.019907
-40.887518,168,21.784956
-35.24031,168,23.641326
-61.601679,168,26.247248
-40.608524,168,28.106506
-40.943482,168,29.955142
-36.402165,168,31.738751
-132.288545,168,33.499862
-138.60693,168,35.283244
-263.271282,168,37.052675
-37.795894,168,38.836137
-94.050753,168,40.615164
-139.122184,168,42.374855
-125.574262,168,44.166032
-97.6215,168,45.925978
-213.970958,168,47.722577
-137.812733,168,49.50723
-161.708385,168,51.288309
-117.294816,168,53.184216
-159.174199,168,55.049276
-36.532186,168,56.858406
-109.731458,168,58.700851
-92.978837,168,60.544659
-39.284485,168,62.362782
-49.411289,168,64.137402
-38.867447,168,66.01006
-131.602756,168,67.818735
-32.716987,168,69.683147
-43.821834,168,71.529767
-134.980805,168,73.30849
-41.236603,168,75.081861
-130.377472,168,76.887856
-100.201418,168,78.707906
-35.422346,168,80.489088
-125.229888,168,82.41878
-42.303247,168,84.223916
-65.473003,168,86.042821
-59.610893,168,87.829167
-124.845372,168,89.706811
-34.944578,168,91.488729
-209.928622,168,94.657657
-97.274513,168,96.446784
-136.804456,168,98.237944
-74.526548,168,100.023172
-140.666256,168,101.818205
-158.25464,168,103.708615
-105.249187,168,105.476007
-70.476331,168,107.325213
-136.512393,168,109.147722
-146.306805,168,110.921975
-178.698221,168,112.710255
-136.065645,168,114.483262
-181.834923,168,116.269875
-40.925207,168,118.035811
-33.300577,168,119.829916
-55.349,168,121.602011
-86.033933,168,123.373565
-41.304054,168,125.175598
-145.290655,168,126.948457
-109.273437,168,128.734921
-59.061539,168,130.507866
-78.198354,168,132.423874
-115.465856,168,134.20226
-77.897009,168,136.028956
-89.647191,168,137.864368
-35.306017,168,139.670998
-32.608664,168,141.48555
-34.821253,168,143.269548
-96.653641,168,145.052443
-61.65965,168,146.852553
-38.087317,168,148.639409
-136.082035,168,150.435423
-121.278872,168,152.215295
-38.364284,168,153.984756
-37.774066,168,155.771981
-143.705581,168,157.554666
-160.840587,168,159.33219
-117.778109,168,161.106947
-36.860995,168,162.869851
-120.43293,168,164.650393
-164.435052,168,166.423531
-43.928133,168,168.225829
-230.975483,168,170.008228
-222.866119,168,171.786716
-44.437207,168,173.554836
-39.935422,168,175.358009
-141.363142,168,177.144096
-125.014688,168,178.953993
-123.515336,168,180.752614
