#{"t_start": 1789179966.3130612, "env_id": "None"}
r,l,t
-400.866412,168,2.812693
-324.808238,168,3.042994
-304.193151,168,3.282119
-329.661676,168,3.507792
-301.039219,168,3.736843
-384.794218,168,3.977285
-333.030775,168,4.213214
-306.566482,168,4.459092
-334.152465,168,4.684423
-306.19645,168,4.909356
-349.372279,168,5.1359
-308.479607,168,5.524485
-98.789906,168,7.278493
-33.181746,168,9.160317
-43.948963,168,10.913056
-37.352116,168,12.685494
-27.792136,168,14.481711
-31.641288,168,16.275138
-30.140216,168,18.068195
-28.184785,168,19.803622
-27.496387,168,21.577029
-35.660537,168,23.328876
-27.189273,168,25.104934
-28.364661,168,26.892448
-129.68685,168,28.815704
-36.712052,168,30.647546
-34.540106,168,32.43282
-41.459462,168,34.196162
-42.238596,168,35.982128
-41.646511,168,37.771564
-48.740485,168,39.625113
-42.459933,168,41.452005
-49.034507,168,43.234691
-41.377057,168,45.026451
-50.956133,168,46.798388
-49.310997,168,48.601149
-37.81183,168,50.372127
-39.979867,168,52.221035
-38.375537,168,53.981229
-37.934201,168,55.763702
-39.335059,168,57.52755
-31.403725,168,59.312807
-36.283116,168,61.118815
-41.043858,168,62.904782
-30.394973,168,64.706188
-40.38884,168,66.504189
-38.071247,168,68.276149
-39.152026,168,70.203644
-30.331861,168,71.981205
-31.030173,168,74.00987
-37.308605,168,75.867654
-40.647745,168,77.63674
-24.523778,168,79.484204
-41.472282,168,81.295223
-31.663013,168,83.114992
-39.778374,168,84.871603
-40.952261,168,86.632199
-38.096083,168,88.43212
-33.532788,168,90.207108
-34.70801,168,93.388701
-32.946465,168,95.203632
-22.208438,168,96.993701
-30.289882,168,98.848302
-33.900951,168,100.758905
-22.169165,168,102.561316
-26.600185,168,104.35498
-30.517343,168,106.116998
-28.850913,168,108.038507
-26.288071,168,109.814822
-23.078345,168,111.62531
-33.894015,168,113.397054
-29.518861,168,115.21489
-29.077485,168,116.986915
-28.49008,168,118.759589
-32.49796,168,120.544982
-31.014037,168,122.338606
-29.810914,168,124.130631
-31.897169,168,125.91257
-55.707183,168,127.721286
-32.887319,168,129.614206
-33.32391,168,131.424972
-29.764953,168,133.344618
-34.114407,168,135.233146
-29.795157,168,137.114741
-35.282609,168,138.891962
-27.177299,168,140.708289
-27.905201,168,142.469574
-27.641426,168,144.378859
-31.911806,168,146.146376
-28.806351,168,147.916904
-37.536534,168,149.743356
-45.36682,168,151.51587
-27.265886,168,153.291912
-29.673675,168,155.072472
-38.540808,168,156.855907
-43.190034,168,158.767764
-39.213705,168,160.573379
-34.690207,168,162.385307
-48.72277,168,164.185593
-56.620227,168,165.96871
-73.034818,168,168.045738
-51.064085,168,170.427214
-48.971399,168,172.451709
-52.500494,168,174.384992
-74.519043,168,176.310922
-35.436483,168,178.199751
-25.937599,168,180.226802
-62.940756,168,182.197117
-22.879876,168,184.106778
-23.892907,168,185.986094
-55.434051,168,187.898855
-37.814446,168,189.853545
-49.337772,168,191.739116
-37.313326,168,193.696757
-43.36726,168,195.640135
-65.931852,168,197.531929
-24.524222,168,199.882619
-48.549083,168,201.876366
-52.773812,168,203.799271
-27.700852,168,207.140205
-53.756317,168,209.033092
-34.557486,168,210.951336
-43.40927,168,212.859561
-58.518543,168,214.921942
-45.970512,168,216.949875
-42.090906,168,218.925579
-45.046835,168,220.845321
-47.999827,168,222.701765
-40.013997,168,224.515789
-28.672969,168,226.353162
-42.274321,168,228.22773
-35.113283,168,230.131831
-73.784694,168,232.011981
-62.779797,168,233.882428
-40.806283,168,235.661592
-33.892759,168,237.420255
-40.388448,168,239.266265
-36.254487,168,241.036324
-68.790967,168,242.855415
-42.961721,168,244.629166
-47.264049,168,246.422572
-52.073235,168,248.198691
-41.606458,168,250.144153
-43.418637,168,251.943926
-45.712408,168,253.717316
-38.137333,168,255.699162
-47.49817,168,257.566684
-51.190003,168,259.365803
-53.389035,168,261.309319
-45.908894,168,263.157269
-38.944735,168,264.955739
-60.24744,168,266.764634
-44.575159,168,268.566064
-47.532756,168,270.341816
-44.570551,168,272.156229
-41.140221,168,273.933859
-50.18249,168,275.769686
-46.950754,168,277.795228
-39.516383,168,279.629417
-47.630605,168,281.425585
-37.182892,168,283.240311
-32.112412,168,285.042072
-36.743657,168,286.880669
-43.738719,168,288.647406
-39.644254,168,290.433405
-43.208267,168,292.225408
-43.648711,168,294.010149
-39.428134,168,295.827449
-45.783872,168,297.627369
-44.239268,168,299.392462
-68.75399,168,301.190173
-69.781943,168,302.972397
-58.045251,168,304.747793
-41.677824,168,306.542211
-68.874262,168,308.326425
-29.050324,168,310.254379
-37.453624,168,312.043731
-29.15046,168,313.844537
-34.135053,168,316.955687
-37.639044,168,318.815288
-32.414913,168,320.633525
-44.987783,168,322.430404
-39.626804,168,324.316287
-33.255037,168,326.146201
-28.971881,168,327.926833
-41.042483,168,329.749412
-33.961251,168,331.706321
-31.656719,168,333.491706
-27.984667,168,335.252273
-30.455902,168,337.07052
-30.136521,168,338.973902
-37.213263,168,341.580461
-28.573859,168,343.488313
-40.132544,168,345.324488
-34.595157,168,347.136773
-33.377223,168,348.966346
-31.921603,168,350.777753
-47.252816,168,352.669396
-21.950762,168,354.677615
-38.258041,168,356.550102
-51.247877,168,358.543463
-34.088716,168,361.813994
-39.098017,168,364.611808
-46.717008,168,366.603711
-37.496447,168,368.630979
-36.693752,168,371.621562
-39.291917,168,373.677106
-47.683518,168,375.662134
-32.932562,168,377.784308
-62.587477,168,379.710323
-51.187662,168,381.700082
-46.427987,168,383.665543
-36.973294,168,385.637101
-51.048876,168,387.764626
-36.706355,168,389.740337
-31.998413,168,391.640898
-26.935893,168,393.733624
-43.396836,168,395.632782
-36.67392,168,397.576264
-67.529145,168,399.589856
-27.584916,168,401.52185
-33.467821,168,403.464552
-39.55094,168,405.388419
-34.266018,168,407.291832
-29.092154,168,409.196084
-37.504174,168,411.153493
-41.270777,168,413.116587
-38.093648,168,415.074411
-38.721084,168,416.974215
-48.446301,168,418.876741
-49.46693,168,420.774873
-35.96249,168,422.750135
-58.914714,168,424.68469
-61.0977,168,426.619636
-29.070194,168,428.51062
-42.728449,168,430.6467
-37.630371,168,433.226095
-32.751292,168,435.700885
-48.792078,168,439.388859
-44.112808,168,441.455136
-41.377591,168,443.593403
-32.373996,168,445.71021
-41.587652,168,447.875665
-48.34804,168,449.933248
-36.12611,168,452.058127
-35.823815,168,454.203844
-31.845365,168,456.381148
-35.239677,168,458.485432
-58.498764,168,460.48522
-29.635441,168,462.37978
-44.531863,168,464.30145
-40.309678,168,466.210389
-49.125026,168,468.153747
-32.677842,168,470.110873
-35.686913,168,472.169452
-39.776019,168,474.052253
-41.42372,168,476.006093
-29.795363,168,477.904044
-35.081661,168,479.805762
-41.742652,168,481.782657
-36.378819,168,483.72269
-33.406484,168,485.666013
-26.436366,168,487.554978
-38.434941,168,489.62522
-42.086715,168,491.552754
-35.921925,168,493.508529
-65.563835,168,495.423221
-30.317753,168,497.346419
-22.993809,168,499.404101
-35.750153,168,501.327072
-49.734082,168,503.225412
-31.610803,168,505.126995
-51.941777,168,507.023629
-30.919147,168,508.915001
-39.86657,168,510.788812
-31.882628,168,512.672266
-33.133154,168,514.582352
-37.679547,168,516.486094
-51.716791,168,518.428541
-28.860021,168,520.344655
-44.106063,168,522.242953
-50.900807,168,524.142623
-31.387349,168,526.081236
-31.060534,168,528.13745
-32.681775,168,530.034241
-33.953521,168,531.903479
-37.822237,168,533.812685
-41.724122,168,535.692467
-29.643227,168,537.625207
-27.823884,168,539.497586
-31.430008,168,541.426606
-30.521286,168,543.318267
-53.659219,168,545.231876
-40.954099,168,547.14426
-39.256184,168,549.200144
-29.376188,168,551.083565
-46.201419,168,553.01668
-37.066125,168,556.341089
-43.086133,168,558.354124
-36.976232,168,560.391606
-25.456393,168,562.547986
-29.377405,168,564.521111
-46.100866,168,566.482372
-39.972807,168,568.448103
-43.559905,168,570.386212
-38.689032,168,572.462237
-47.62914,168,574.437382
-39.191106,168,576.446134
-47.063559,168,578.5203
-40.624562,168,580.51918
-48.722265,168,582.423582
-39.241631,168,584.346368
-29.470862,168,586.221149
-65.360682,168,588.143684
-33.154795,168,590.046956
-39.255179,168,592.012996
-33.871565,168,593.917608
-33.279552,168,595.894117
-34.288933,168,597.839334
-28.164847,168,599.755303
-33.425906,168,601.678856
-29.371467,168,603.608108
-23.820757,168,605.668077
-30.999862,168,607.664019
-37.677923,168,609.752373
-34.946442,168,611.683053
-33.503467,168,613.580715
-35.470668,168,615.4889
-29.282882,168,617.474355
-34.633739,168,619.492673
-31.324747,168,621.520946
-26.218484,168,623.42445
-24.428014,168,625.325525
-50.935261,168,627.448973
-25.243309,168,629.379268
-34.172619,168,631.296445
-31.859598,168,633.279462
-35.143551,168,635.266122
-33.348708,168,637.212954
-31.315154,168,639.174222
-34.061216,168,641.108543
-46.056705,168,643.111919
-25.182042,168,645.188172
-34.71213,168,647.132173
-57.467974,168,649.062398
-43.934328,168,650.946696
-26.752203,168,652.88198
-29.710817,168,654.808566
-35.615171,168,656.746938
-33.200614,168,658.669181
-30.230859,168,660.590715
-34.083993,168,662.484711
-42.745544,168,664.574843
-28.971113,168,666.527658
-30.837766,168,668.470613
-31.043205,168,670.54977
-40.9915,168,672.470988
