#{"t_start": 1789182623.314692, "env_id": "None"}
r,l,t
-302.643698,168,2.879519
-326.211108,168,3.121641
-306.079013,168,3.364259
-332.910327,168,3.606106
-303.797398,168,3.852341
-386.642169,168,4.10692
-335.462516,168,4.360613
-309.078924,168,4.603869
-336.501587,168,4.854008
-307.097848,168,5.099884
-351.20099,168,5.345446
-311.122186,168,5.749944
-90.587776,168,7.518779
-137.089967,168,9.32128
-143.307418,168,11.206685
-37.784701,168,13.084687
-38.581682,168,14.936801
-139.119539,168,17.366819
-104.028133,168,19.211817
-39.312119,168,21.041589
-40.954225,168,23.056336
-35.860236,168,24.904275
-59.236369,168,26.747694
-40.427164,168,28.591211
-40.651677,168,30.438742
-36.402153,168,32.260011
-32.288603,168,34.110974
-38.606927,168,35.92132
-166.23193,168,37.757424
-37.795884,168,39.596234
-95.656901,168,41.442934
-140.756559,168,43.268794
-126.283592,168,45.107383
-98.456739,168,46.944335
-114.933179,168,48.777491
-37.786776,168,50.625687
-163.357749,168,52.461859
-117.561836,168,54.287773
-58.636305,168,56.110001
-36.743241,168,57.944172
-109.9404,168,59.753062
-91.023053,168,61.576199
-39.282704,168,63.407859
-49.654702,168,65.230905
-38.980597,168,67.050396
-132.054884,168,68.888993
-32.871196,168,70.887147
-43.821828,168,72.6996
-136.563253,168,74.537185
-41.167396,168,76.349303
-30.377436,168,78.196955
-103.54949,168,80.029408
-35.633506,168,81.87898
-129.152209,168,83.695579
-42.302834,168,85.518351
-65.669652,168,87.360516
-59.754137,168,89.188784
-125.144999,168,91.003032
-34.927432,168,92.806056
-112.145893,168,96.077132
-99.211704,168,97.926952
-137.079906,168,99.749951
-73.262532,168,101.571749
-143.621862,168,103.400795
-159.798101,168,105.220699
-106.665212,168,107.150044
-69.406079,168,109.361615
-36.511447,168,111.488001
-146.765633,168,113.640652
-180.229005,168,115.606595
-136.091912,168,117.782205
-184.156731,168,119.794399
-41.195549,168,121.76362
-33.393595,168,123.991491
-55.348343,168,125.84881
-87.423356,168,127.694099
-41.474227,168,129.755168
-147.386173,168,131.892084
-114.250658,168,134.624255
-59.055831,168,137.14965
-78.196667,168,139.529181
-116.371762,168,141.707522
-81.215909,168,143.833029
-89.597124,168,145.754667
-35.259225,168,147.743076
-32.74057,168,149.790928
-35.017654,168,151.882629
-93.508884,168,153.950572
-63.96565,168,156.013036
-38.044027,168,158.075817
-139.049335,168,159.954852
-126.091261,168,161.750362
-38.549957,168,163.565288
-37.757243,168,165.38399
-146.137851,168,167.200587
-163.560009,168,169.028794
-118.12344,168,170.862382
-36.973583,168,172.69359
-121.791183,168,174.555633
-166.007707,168,176.362836
-37.171073,168,178.163437
-121.893826,168,180.000157
-118.783158,168,181.989806
-41.150219,168,183.81824
-36.771178,168,185.617921
-133.867738,168,187.444987
-122.171009,168,189.244416
-116.515163,168,191.067108
-69.396875,168,192.883323
-61.827809,168,194.699723
-58.967543,168,196.512624
-89.576652,168,198.322791
-47.457828,168,200.153035
-37.700517,168,201.989713
-39.253843,168,203.831408
-38.214914,168,205.64404
-41.696156,168,207.493534
-88.412535,168,209.382024
-110.073873,168,211.213178
-50.503398,168,214.433212
-155.243131,168,216.239262
-35.610787,168,218.052264
-157.763711,168,219.876826
-37.64102,168,221.670276
-87.51202,168,223.483489
-36.567329,168,225.273304
-68.576282,168,227.119136
-41.288647,168,228.928762
-153.318769,168,230.891707
-35.033194,168,232.742032
-38.399223,168,234.644037
-37.917839,168,236.554375
-39.495384,168,238.44357
-55.967713,168,240.298165
-69.394405,168,242.120076
-97.367023,168,243.940814
-116.360043,168,245.73129
-30.396873,168,247.549314
-114.903954,168,249.353241
-140.086966,168,251.187914
-99.731091,168,252.99252
-83.361724,168,254.882113
-32.249763,168,256.726536
-85.415504,168,258.530941
-38.191961,168,260.350547
-36.394448,168,262.295393
-149.915295,168,264.140779
-130.098262,168,266.187587
-131.573159,168,268.024081
-142.50887,168,269.842894
-121.172586,168,271.693753
-136.276795,168,273.505589
-35.184685,168,275.337821
-36.595621,168,277.161541
-92.32656,168,279.014235
-36.248769,168,280.850967
-151.817861,168,282.675128
-140.723865,168,284.496154
-38.511956,168,286.32555
-37.246878,168,288.173603
-103.686643,168,289.99877
-97.2332,168,291.898988
-32.748911,168,293.713787
-37.689852,168,295.565482
-42.96166,168,297.385135
-144.815907,168,299.214138
-40.75563,168,301.062129
-41.431006,168,302.909429
-114.339834,168,304.739818
-62.422868,168,306.567208
-87.226888,168,308.376401
-37.847522,168,310.333485
-104.807071,168,312.171855
-34.861059,168,314.063515
-163.930871,168,315.962807
-174.544898,168,317.792038
-101.697426,168,319.617638
-84.361576,168,321.480341
-71.512672,168,324.914818
-184.709569,168,326.800544
-105.038397,168,328.628753
-59.77071,168,330.466661
-110.273287,168,332.310555
-99.886466,168,334.149223
-47.522219,168,335.990554
-37.02693,168,337.84062
-40.455464,168,339.716014
-75.718966,168,341.550747
-84.562843,168,343.40513
-40.228815,168,345.266922
-82.068156,168,347.107775
-151.642483,168,348.965915
-103.663341,168,350.817636
-37.185581,168,352.75465
-62.587725,168,355.039823
-38.169728,168,356.857032
-104.113997,168,358.720454
-37.710388,168,360.562009
-38.262097,168,362.424364
-102.42026,168,364.279937
-64.729999,168,366.127741
-30.419575,168,367.951223
-37.473004,168,369.824177
-146.044897,168,371.66217
-37.419118,168,373.495134
-87.069211,168,375.358382
-36.931609,168,377.183318
-38.339425,168,379.044224
-153.664696,168,380.896346
-126.380926,168,382.912285
-154.551867,168,384.745837
-38.944732,168,386.603084
-147.361744,168,388.411105
-149.932338,168,390.251579
-32.593655,168,392.076213
-93.776428,168,393.995284
-56.26458,168,395.881279
-38.192139,168,397.713154
-155.589062,168,399.551139
-111.503025,168,401.382538
