#{"t_start": 1789178550.602507, "env_id": "None"}
r,l,t
-400.866412,168,2.522109
-324.808238,168,2.727845
-304.193151,168,2.935514
-329.661676,168,3.143026
-301.039219,168,3.351163
-384.794218,168,3.560348
-333.030775,168,3.771246
-306.566482,168,3.985261
-334.152465,168,4.193545
-306.19645,168,4.405071
-349.372279,168,4.618297
-308.479823,168,5.090264
-87.131219,168,6.642723
-38.66044,168,8.233018
-40.610582,168,9.905015
-41.936694,168,11.472297
-27.41039,168,13.110576
-36.628496,168,14.759408
-41.733204,168,16.330901
-127.833029,168,17.933239
-22.425127,168,19.499156
-38.623507,168,21.106252
-21.743785,168,22.673827
-22.674213,168,24.258503
-25.604761,168,25.849632
-29.513398,168,27.421671
-32.87667,168,29.007245
-34.35638,168,30.571061
-39.390875,168,32.147997
-36.589808,168,33.772148
-56.508567,168,35.474266
-46.716892,168,37.087032
-46.708063,168,38.676062
-44.621037,168,40.258121
-50.423365,168,41.880353
-139.637796,168,43.464664
-44.11713,168,45.096833
-37.57909,168,46.6951
-27.097363,168,48.311208
-38.955737,168,49.967604
-38.603256,168,51.579735
-40.389164,168,53.207504
-36.110257,168,54.833142
-48.850591,168,56.421161
-27.152906,168,58.022556
-34.813028,168,59.607735
-43.579049,168,61.22001
-48.80502,168,62.925114
-45.227418,168,64.505105
-29.596822,168,66.116275
-40.770425,168,67.710768
-57.190313,168,69.384702
-39.555412,168,71.217041
-48.530211,168,72.901815
-39.367661,168,74.504711
-43.475876,168,76.113775
-35.54682,168,77.704172
-37.655142,168,79.30314
-35.247854,168,80.868199
-37.211266,168,83.715122
-52.549623,168,85.299371
-47.715412,168,86.897522
-42.728343,168,88.502852
-44.636949,168,90.13029
-41.042943,168,91.752461
-146.198492,168,93.368022
-42.401887,168,95.038273
-43.362566,168,96.71101
-22.593645,168,98.303001
-34.447989,168,99.890022
-96.728744,168,101.482275
-118.650183,168,103.107421
-42.325612,168,104.745802
-49.315971,168,106.417722
-37.858193,168,108.012209
-102.133163,168,109.711914
-25.283633,168,111.414767
-37.454628,168,113.143258
-33.902712,168,114.818926
-37.968676,168,116.367851
-31.269407,168,117.947811
-44.283453,168,119.582564
-39.326816,168,121.387964
-40.161542,168,123.088836
-37.369871,168,124.758369
-33.096083,168,126.360265
-41.567905,168,128.080482
-26.388799,168,129.673299
-123.151166,168,131.385809
-57.803356,168,133.5449
-29.89339,168,135.17951
-31.201633,168,136.726723
-72.732446,168,138.319793
-67.209573,168,139.845302
-43.385987,168,141.46325
-47.2558,168,144.051549
-41.445012,168,146.559156
-57.54205,168,148.390233
-61.502865,168,150.07319
-53.332775,168,151.668083
-61.910438,168,153.257197
-54.019535,168,154.855941
-48.501033,168,156.419763
-64.214302,168,157.966474
-43.581236,168,159.564926
-33.347857,168,161.213601
-46.384931,168,162.938788
-76.01797,168,164.60301
-55.007914,168,166.27014
-67.037656,168,167.95806
-51.218738,168,169.644067
-51.280594,168,171.34133
-58.494541,168,172.96328
-40.199775,168,174.565296
-54.539762,168,176.156495
-41.276012,168,177.721453
-55.166466,168,179.296045
-47.615485,168,180.861371
-37.198197,168,182.468449
-63.408278,168,185.410624
-33.43861,168,187.047473
-48.364842,168,188.653662
-37.772895,168,190.242101
-46.773671,168,191.844773
-57.601118,168,193.38315
-46.087077,168,195.03335
-49.326623,168,196.649553
-42.017593,168,198.23088
-38.637404,168,199.821129
-36.12158,168,201.420252
-42.992499,168,203.007755
-38.181543,168,204.603215
-51.471458,168,206.17242
-38.031662,168,207.723813
-48.424165,168,209.237555
-37.550312,168,210.781728
-42.217602,168,212.434984
-34.630329,168,214.010796
-80.351647,168,215.648464
-51.912109,168,217.222725
-43.759391,168,218.754578
-47.18659,168,220.443565
-45.825406,168,222.021788
-54.30965,168,223.666621
-60.532124,168,225.271385
-42.530583,168,227.157484
-46.462101,168,229.563539
-57.487587,168,231.73717
-38.748922,168,234.758958
-43.281925,168,237.328453
-36.894617,168,239.853168
-85.798828,168,241.768165
-55.49583,168,243.822405
-50.762843,168,245.990014
-55.775656,168,248.097387
-38.786729,168,250.111023
-36.063636,168,251.962552
-103.454152,168,254.123161
-46.319608,168,255.994014
-41.023942,168,257.992256
-95.342807,168,259.787278
-44.398157,168,261.663609
-48.621621,168,263.590411
-78.860929,168,265.385672
-41.851799,168,267.185748
-52.153221,168,269.140724
-61.17933,168,271.027492
-46.940516,168,273.004287
