episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
1,168,0,0,after_environment_step_before_replay_storage_and_optimizer,9913.312291922026,119578.67610490225,3531.688520425778,2155139.8175033387,9566.29408839218,235815.9027926282,2711060.982900708,18148.477411414806,0.0,0.0,0.0,12.0,0.9226190476190477,155.0,0.8273809523809523,139.0,26983.633613724138,0.0,0.0,0.0,0.0,-3.399317892104432,0.0,0.7023714677743066,0.5007513310761177,32.253015904426576,0.0,0.0,2956443.1797817284,-373.2774686911365
2,336,0,0,after_environment_step_before_replay_storage_and_optimizer,9367.596269377547,118884.58949514569,2851.648658286451,2176880.7411963926,9510.767159611665,243011.88898850096,2750883.893436487,31022.437769101685,0.0,0.0,0.0,12.0,0.8630952380952381,145.0,0.8333333333333334,140.0,27807.046507847735,0.0,0.0,0.0,0.0,-3.889239337787133,0.0,0.6324252645898482,0.42647596238753,25.25188343620291,0.0,0.0,3003406.549584599,-383.2440815084247
3,504,0,0,after_environment_step_before_replay_storage_and_optimizer,7917.698308800316,127333.97657704506,2694.0468289297187,2066266.320303716,10186.718126163609,225469.9476332243,2612488.250052198,28887.240583041006,0.0,0.0,0.0,12.0,0.9345238095238095,157.0,0.8035714285714286,135.0,25799.78019205363,0.0,1.0,0.005952380952380952,0.0,-3.6710279649054183,0.0,0.6952982767417665,0.44000150725118514,32.0,0.0,0.0,2848144.915811586,-359.9599492295823
4,672,0,0,after_environment_step_before_replay_storage_and_optimizer,8153.057292729955,132408.98886588687,3290.928863142766,2108704.1443617195,10592.71910927096,229173.66515486754,2663287.320241191,27090.919055536753,0.0,0.0,0.0,12.0,0.9404761904761905,158.0,0.7619047619047619,128.0,26223.584335155192,0.0,1.0,0.005952380952380952,0.0,-3.788398686747201,0.0,0.7186535433770762,0.47551483513175796,25.34421617445422,0.0,0.0,2903053.7045053295,-398.7289043291052
5,840,0,0,after_environment_step_before_replay_storage_and_optimizer,11272.159561440341,118003.47813736332,2965.904299568585,2106149.5889296248,9440.27825098906,223679.48486418545,2664723.7070979928,25168.62802460066,0.0,0.0,0.0,12.0,0.9107142857142857,153.0,0.8214285714285714,138.0,25594.903460727986,0.0,1.0,0.005952380952380952,0.0,-3.5305329894264137,0.0,0.7338947098414768,0.4179806668988159,27.799999237060547,0.0,0.0,2897843.4702131674,-363.11548408849
6,1008,0,0,after_environment_step_before_replay_storage_and_optimizer,10450.593631461337,127456.70130554754,2603.471321959525,2052432.993393613,10196.536104443805,234599.74729100583,2598561.005165282,46086.77784616047,0.0,0.0,0.0,12.0,0.9107142857142857,153.0,0.8333333333333334,140.0,26844.47296304507,0.0,0.0,0.0,0.0,-3.84807139700125,0.0,0.7205079468215713,0.4336868019542662,25.62244512912867,0.0,0.0,2843357.288560732,-438.7115949875646
7,1176,0,0,after_environment_step_before_replay_storage_and_optimizer,11383.594309998627,125676.18102675563,2733.567207301401,2029223.1518971457,10054.094482140448,225757.14524925718,2568071.552139152,34289.696796379554,0.0,0.0,0.0,12.0,0.875,147.0,0.7976190476190477,134.0,25832.64326512882,0.0,1.0,0.005952380952380952,0.0,-3.5056757569708057,0.0,0.7114970059880239,0.44859444782590363,25.786290954120354,0.0,0.0,2803882.79187055,-390.13386056600996
8,1344,0,0,after_environment_step_before_replay_storage_and_optimizer,11177.681469611085,114543.05994197809,2670.3655518174,2091020.4222397136,9163.444795358257,228284.47716177892,2643676.688828709,29771.398137690914,0.0,0.0,0.0,12.0,0.9285714285714286,156.0,0.875,147.0,26121.837494780626,0.0,1.0,0.005952380952380952,0.0,-3.4958992883599427,0.0,0.7555102715986262,0.507131207298868,28.899999618530273,0.0,0.0,2881124.6107858466,-362.48623483384654
9,1512,0,0,after_environment_step_before_replay_storage_and_optimizer,8114.211008983155,127675.26220765423,2413.5181374928943,2195655.661030495,10214.02097661234,243094.3196711676,2776665.564218617,38338.09972513307,0.0,0.0,0.0,12.0,0.9404761904761905,158.0,0.7797619047619048,131.0,27816.478778162273,0.0,1.0,0.005952380952380952,0.0,-4.670107890838828,0.0,0.7246030997389613,0.4711377245508982,32.4405880916573,0.0,0.0,3029973.904866397,-384.77194962509685
10,1680,0,0,after_environment_step_before_replay_storage_and_optimizer,9586.524003608745,122992.89681647733,2935.5485747827315,2103782.1484964294,9839.431745318192,227385.05743817068,2659766.5274414322,26192.98677727662,0.0,0.0,0.0,12.0,0.9464285714285714,159.0,0.7857142857142857,132.0,26018.91987133203,0.0,0.0,0.0,0.0,-3.6846766226930145,0.0,0.6701737875565554,0.4255493873674163,25.475345763348894,0.0,0.0,2896991.016624921,-365.80881986900135
